beta,permeability,xi,init_days,delay,value
0.0453871,0.987105,0.0503082,0.0986304,19.4997,18.6106
0.0454793,0.969261,0.0501013,0.641251,19.7802,18.624
0.0453285,0.995883,0.0503086,0.373918,19.656,18.629
0.0453037,0.99352,0.0516361,0.336808,19.528,18.6337
0.0452512,0.996098,0.0524562,0.2377,19.9937,18.6377
0.0454209,0.974228,0.051192,0.0317909,19.4727,18.639
0.0453296,0.987093,0.0513168,0.297829,19.8226,18.6403
0.0453962,0.979787,0.0511756,0.345011,19.4556,18.641
0.0453132,0.994305,0.0506271,0.647738,19.0935,18.6439
0.0453874,0.979442,0.0506286,0.864991,19.671,18.6454
0.045415,0.979819,0.0508595,0.957898,19.3077,18.6458
0.0453193,0.992561,0.0506196,0.429088,19.3831,18.6474
0.0453255,0.987759,0.051957,0.621045,19.7496,18.6533
0.0454967,0.959795,0.0504013,0.482849,19.9499,18.6555
0.0453616,0.977264,0.0517098,0.0187014,19.2004,18.6564
0.0453457,0.975527,0.0526404,0.526098,19.5272,18.6576
0.0453263,0.986699,0.0510344,0.757961,19.9356,18.6579
0.0454552,0.96272,0.0510526,0.499953,19.2459,18.6636
0.0455597,0.94805,0.0502241,0.817443,19.5431,18.665
0.0455662,0.946976,0.0500704,0.467705,19.7526,18.6688
0.0453903,0.974813,0.0505446,0.345051,19.1104,18.6713
0.0455286,0.952253,0.0512545,0.138771,19.6308,18.6724
0.0456693,0.927782,0.0502093,0.70512,19.4006,18.6735
0.0455617,0.941992,0.0512454,0.813148,19.2574,18.6768
0.045485,0.951094,0.0520249,0.905826,19.7548,18.6796
0.0452457,0.982176,0.0542438,0.537333,19.1269,18.6833
0.0453303,0.973996,0.0525362,0.0289335,19.5535,18.6878
0.0454412,0.95903,0.0514747,0.662084,19.1759,18.6886
0.0454093,0.96696,0.0505526,0.0544135,19.9319,18.6909
0.0452122,0.98566,0.054897,0.66846,19.3719,18.6918
0.0453314,0.967539,0.0538181,0.165103,19.782,18.6922
0.0453983,0.970081,0.050269,0.12209,19.4227,18.6933
0.045702,0.924216,0.0504318,0.205588,19.5385,18.6941
0.045457,0.956014,0.0512579,0.621432,19.4757,18.6949
0.0453954,0.966619,0.0527988,0.795989,19.3509,18.6951
0.0455005,0.969278,0.0504108,0.153984,19.266,18.6955
0.0452413,0.989329,0.0521376,0.477086,19.1142,18.6957
0.0454392,0.951842,0.0528713,0.978432,19.3653,18.6958
0.0452759,0.974329,0.054363,0.814223,19.6494,18.6959
0.045478,0.968763,0.0509067,0.777334,19.2287,18.6965
0.0452777,0.992212,0.0507691,0.873969,19.5912,18.6968
0.0453276,0.982397,0.050569,0.0828416,19.8127,18.6974
0.0456657,0.924184,0.0501445,0.418796,19.4534,18.6975
0.0452416,0.990734,0.0517891,0.303961,19.2062,18.6976
0.0451944,0.995587,0.0525417,0.446618,19.7345,18.6982
0.0454245,0.957091,0.0522196,0.11096,19.3314,18.6985
