beta,permeability,xi,init_days,delay,value
0.0455281,0.0125773,0.094117,33.0463,19.4516,118.812
0.0461613,0.014002,0.115534,31.1846,19.3328,120.648
0.0501846,0.0210061,0.139162,21.2104,16.9769,120.905
0.0476548,0.0217857,0.125009,27.9356,18.1706,121.061
0.0500439,0.0440481,0.152934,21.8966,16.993,121.064
0.0458069,0.0176942,0.106494,32.3471,19.6945,121.354
0.0476413,0.0250765,0.144997,27.8931,19.7884,121.631
0.0472226,0.0255422,0.142877,28.2255,19.7816,121.673
0.0492955,0.016482,0.144081,23.4481,17.2651,121.932
0.0458979,0.0165326,0.0950526,32.4539,19.4664,122.047
0.0478806,0.0575318,0.143451,26.1847,18.3454,122.072
0.0473247,0.0301824,0.105069,28.8395,18.1161,122.11
0.0492799,0.0167496,0.148985,23.2522,17.2794,122.121
0.0487111,0.0157884,0.0754578,25.7488,15.5034,122.165
0.0497124,0.0208465,0.159376,22.443,17.5692,122.263
0.0448462,0.0214657,0.0827737,35.4669,19.2502,122.282
0.0512084,0.00244373,0.131777,19.4341,15.4064,122.35
0.0481252,0.00526703,0.151249,26.6791,19.226,122.485
0.0465668,0.0148416,0.113681,30.2862,19.3004,122.487
0.0465245,0.00669219,0.124092,30.0263,19.9149,122.502
0.0470693,0.0613058,0.160313,28.4865,19.0193,122.538
0.0502412,0.00314134,0.137471,21.5561,16.3117,122.576
0.0474835,0.0570309,0.160198,27.2646,19.4532,122.586
0.0488162,0.0245271,0.137541,24.6091,17.3209,122.601
0.0481617,0.00198663,0.127454,26.6517,18.5731,122.628
0.04934,0.00513457,0.145355,23.2888,17.4626,122.669
0.0462319,0.00260486,0.107791,31.0051,19.0332,122.697
0.0479042,0.0641756,0.116488,26.0691,17.2075,122.732
0.0472682,0.0247455,0.115952,28.624,18.3406,122.757
0.0476369,0.0490762,0.0988639,27.3594,17.9512,122.757
0.0483865,0.0406511,0.12103,25.4014,17.5542,122.776
0.0471937,0.0564605,0.113937,28.2539,18.9298,122.785
0.0479721,0.05258,0.110378,26.4456,17.4647,122.801
0.0470852,0.021364,0.0787144,29.2257,17.0762,122.803
0.0476923,0.00669995,0.127516,27.6876,18.8484,122.842
0.0471857,0.0580388,0.113404,28.6658,18.5079,122.874
0.0483087,0.00766082,0.0801045,26.4128,16.0101,122.899
0.0470545,0.0621501,0.162988,28.8607,19.3953,122.904
0.0466841,0.0654409,0.145619,29.1671,19.6949,122.923
0.0471019,0.0786834,0.117827,28.896,18.6451,122.934
0.0469591,0.026632,0.0987992,29.7313,18.7556,122.941
0.0479215,0.0547994,0.117511,26.3778,17.4925,122.945
0.0458444,0.0225526,0.102062,32.6584,19.9648,123.076
0.0466233,0.0885897,0.143383,29.2213,19.4498,123.161
0.0468305,0.0309124,0.137174,29.2449,19.7585,123.189
0.0474083,0.0265247,0.0854714,28.5551,17.015,123.227
0.0475689,0.043223,0.126585,27.9991,18.915,123.279
0.0477789,0.0817838,0.14848,26.5406,18.8084,123.288
0.0467869,0.0371558,0.134404,29.7853,19.3467,123.295
0.0471805,0.00820086,0.163948,28.595,19.932,123.295
0.0483233,0.051738,0.153836,25.0405,18.2012,123.326
0.0499077,0.0785026,0.130787,21.4274,15.0817,123.369
0.0484737,0.0100804,0.144346,25.0987,18.7931,123.415
0.0470812,0.0851013,0.118731,28.3385,18.4677,123.422
0.0475433,0.0402382,0.136684,27.9637,18.0036,123.427
0.0460731,0.0784256,0.0899571,31.9994,18.3324,123.436
0.0468508,0.026299,0.125646,29.9415,19.6203,123.437
0.046168,0.12102,0.134155,30.716,19.4364,123.454
0.047493,0.158655,0.140374,26.2241,17.1388,123.538
0.0475268,0.148378,0.141211,26.2867,17.1505,123.545
0.0468803,0.0542013,0.100181,29.3075,18.42,123.562
0.0457635,0.0402554,0.0970905,32.6357,19.0396,123.588
0.046224,0.0993072,0.130901,30.7842,19.717,123.589
0.0477813,0.0831277,0.151421,26.3558,18.5057,123.599
0.0468282,0.00272747,0.147057,29.3817,19.3095,123.607
0.0470109,0.0797775,0.152496,28.5295,19.7359,123.616
0.0482176,0.0128618,0.099933,26.2597,17.9147,123.664
0.046539,0.0928519,0.164396,29.2486,19.5758,123.672
0.0472392,0.0257754,0.134852,28.2183,19.9092,123.69
0.0466969,0.0803785,0.111634,29.5175,18.1655,123.7
0.0458982,0.00873508,0.0951058,32.1547,19.06,123.702
0.0492215,0.0273329,0.149538,23.4499,17.8684,123.714
0.0480286,0.0121552,0.141495,26.5521,18.9099,123.744
0.0474325,0.081904,0.132605,27.6381,18.1243,123.761
0.0455347,0.0201588,0.0845791,33.3935,19.4282,123.802
0.0461888,0.0320016,0.102707,31.2302,19.0422,123.882
0.0497285,0.0208283,0.133724,22.2476,16.3245,123.932
0.0472679,0.126824,0.120737,27.7514,17.1009,123.933
0.0468197,0.0213752,0.0681077,30.8741,17.0725,123.947
0.0470377,0.170045,0.138961,27.4165,17.6788,123.953
0.0485365,0.107833,0.125111,24.0999,16.1705,123.961
0.0467514,0.0379682,0.137568,29.44,19.8087,123.962
0.0461997,0.0114307,0.102876,31.3405,19.9465,123.978
0.0472943,0.108095,0.145883,27.454,18.5193,123.981
0.0464351,0.0434719,0.118104,30.2844,19.2494,124.008
0.0457653,0.0469816,0.100795,32.0028,19.9456,124.024
0.0464921,0.040603,0.100424,30.7755,18.7102,124.046
0.0455151,0.0339668,0.0891846,33.2191,19.9382,124.067
0.0506845,0.0232487,0.120046,20.8984,15.6543,124.071
0.0502603,0.00335162,0.133509,21.7675,16.4494,124.103
