beta,permeability,xi,init_days,delay,value
0.0410345,0.00441222,0.166507,18.9415,4.11651,19.6463
0.0430419,0.0010536,0.165789,14.2074,3.36287,19.6821
0.0410136,0.00217811,0.163792,18.9154,4.14766,19.6972
0.0414842,0.00294206,0.163887,17.452,4.01378,19.7008
0.0410277,0.00196676,0.163087,18.0377,4.95406,19.7028
0.0410133,0.0010398,0.162892,18.4041,4.65086,19.7175
0.0424945,0.00409961,0.166169,15.6389,3.02814,19.727
0.041481,0.00813156,0.165276,17.2831,4.922,19.7299
0.0414724,0.00987781,0.1657,17.8155,4.25296,19.7386
0.0425636,0.00537349,0.165557,15.7386,3.88335,19.7478
0.0409787,0.00712634,0.165059,18.106,4.08066,19.7584
0.0406279,0.00190559,0.165755,19.1496,4.22654,19.7598
0.0406283,0.00439462,0.16604,19.3655,4.0793,19.7648
0.0410692,0.0047718,0.164291,18.4618,4.13608,19.7653
0.0414463,0.00565702,0.163575,17.6712,4.18782,19.7661
0.0419214,0.00795879,0.16635,16.1431,4.33494,19.7694
0.0431061,0.00349221,0.164676,14.086,3.78244,19.7696
0.0425115,0.0117288,0.165679,15.7748,3.7221,19.7773
0.0414563,0.00191017,0.161581,17.2929,4.56225,19.7786
0.0409758,0.00568189,0.164325,18.0333,4.27372,19.7794
0.0419141,0.00504341,0.164719,16.3749,4.6755,19.7834
0.0419198,0.00836703,0.166055,16.1567,4.73924,19.7841
0.0430729,0.00197813,0.162049,14.7857,3.62418,19.7841
0.0419312,0.00324136,0.163702,16.6909,4.22854,19.7851
0.0409842,0.0110961,0.162901,18.0983,4.02198,19.7929
0.041496,0.0027657,0.161728,17.6528,4.94579,19.7948
0.0414186,0.00489668,0.164466,17.4984,4.62718,19.7949
0.0411354,0.00257188,0.166389,18.7098,4.72751,19.8054
0.0405473,0.0070955,0.166172,19.8837,4.53381,19.806
0.0430102,0.00418215,0.163446,14.4469,3.92207,19.8064
0.0431171,0.00517165,0.166097,14.4146,3.48223,19.8075
0.0414245,0.0114743,0.164525,17.007,4.92391,19.8103
0.0410933,0.00199557,0.163125,18.769,4.90174,19.8143
0.0410647,0.00287105,0.161507,18.9173,4.36652,19.8156
0.0426095,0.00127935,0.163482,15.0836,3.40172,19.8177
0.0409875,0.0155202,0.163415,18.4158,4.67535,19.8182
0.0414397,0.00257645,0.160645,17.3006,4.50225,19.8286
0.0415091,0.0116817,0.166246,17.2849,4.9644,19.8297
0.0435956,0.00190648,0.164459,13.2419,3.38098,19.8316
0.0406307,0.00487265,0.164133,19.6371,4.35644,19.8318
0.0419071,0.0107765,0.165402,16.0686,4.16316,19.8366
0.0414106,0.0158397,0.165247,17.9497,4.45152,19.8422
0.0406409,0.0070395,0.165261,19.3831,4.87207,19.8429
0.040583,0.00220779,0.161784,19.9005,4.87905,19.8435
