beta,permeability,xi,init_days,delay,value
0.0299742,0.00878772,0.0548516,13.6413,19.338,29.7205
0.030036,0.00868144,0.0513582,13.9989,19.7087,29.7336
0.0302876,0.0190444,0.0522434,12.369,19.0658,29.7387
0.0300015,0.0136391,0.0532985,13.1977,19.1291,29.7448
0.0297275,0.04352,0.0502202,14.7969,19.7874,29.7489
0.030417,0.00690851,0.0636649,11.7691,19.5709,29.749
0.0300189,0.0118202,0.0513197,13.3341,19.2509,29.7491
0.0303395,0.00425103,0.0509153,12.1701,19.9988,29.7499
0.0302637,0.0332852,0.0524812,12.0846,19.027,29.7517
0.0302065,0.0170446,0.0569136,12.7816,19.1072,29.7541
0.0299706,0.00227289,0.0546197,13.982,19.0256,29.7567
0.029684,0.0639174,0.0514269,14.5278,19.3147,29.7592
0.0305292,0.00289209,0.0568177,11.4262,19.4351,29.7637
0.0302061,0.0179527,0.0580092,12.2662,19.9471,29.7657
0.0302287,0.0263754,0.0552946,12.4625,19.6321,29.7657
0.0299572,0.0310691,0.0545956,13.3065,19.2638,29.7658
0.030469,0.017725,0.0586153,11.8344,19.9299,29.7667
0.0297076,0.0236316,0.0526076,14.8059,19.1465,29.7676
0.0298981,0.0470658,0.0561853,13.3677,19.2927,29.7677
0.0307618,0.0083328,0.0601223,10.0065,19.537,29.7684
0.0307496,0.00623844,0.0607316,10.9387,19.3713,29.7694
0.029682,0.0579173,0.0521241,14.5846,19.3956,29.7695
0.0302082,0.0102924,0.0568912,12.0964,19.1215,29.77
0.030254,0.0284022,0.052631,12.1567,19.4012,29.7718
0.0302161,0.0252695,0.0563709,12.4727,19.7789,29.7723
0.0304403,0.012311,0.0623541,11.3122,19.6251,29.775
0.0301605,0.0409243,0.0578687,12.3851,19.264,29.7753
0.0301716,0.0620539,0.0553497,12.4683,19.3171,29.7755
0.0303549,0.0397311,0.0652546,11.5607,19.7289,29.7761
0.0302398,0.0470685,0.0529655,12.3537,19.2174,29.7767
0.0302065,0.0220755,0.0577834,12.7665,19.0928,29.7802
0.0296426,0.0746962,0.0530671,14.3057,19.0891,29.7803
0.0303099,0.00449266,0.0529348,12.284,19.1588,29.7813
0.0300153,0.00535548,0.0511344,13.9444,19.5678,29.7818
0.0301821,0.0498761,0.0554008,12.3408,19.8211,29.7828
0.0296564,0.0744362,0.0524122,14.0723,19.1325,29.7837
0.0299045,0.0903622,0.0525286,13.9518,19.1785,29.7855
0.0304114,0.0514894,0.0594024,11.127,19.3811,29.7857
0.030158,0.0451414,0.0583575,12.6145,19.7651,29.7863
0.0303139,0.0221913,0.051227,12.1474,19.0136,29.7866
0.0302878,0.0174523,0.0530884,12.8552,19.0429,29.7871
0.0298942,0.0485265,0.0557539,13.0522,19.1358,29.7875
0.0307069,0.0182293,0.0624779,10.6503,19.6098,29.7876
0.0299475,0.0232209,0.053964,13.9802,19.8975,29.7878
0.0298844,0.0868049,0.0538521,13.8224,19.6171,29.788
0.0301628,0.0419419,0.0585229,12.709,19.3733,29.7894
0.030663,0.012063,0.0670057,10.7727,19.9151,29.7896
0.0302189,0.0150824,0.0553302,12.6122,19.7503,29.7896
0.0297069,0.0484194,0.0502821,14.2651,19.4717,29.7908
0.0296995,0.0268867,0.0521983,14.2456,19.8236,29.7911
0.0304174,0.0500652,0.0595567,11.428,19.348,29.7925
0.0299378,0.0305554,0.0540072,13.6847,19.1436,29.7932
0.0299674,0.0263629,0.0524462,13.5333,19.3719,29.7933
0.0307666,0.0112496,0.0593778,10.2683,19.4775,29.7935
0.0299452,0.0121889,0.0546181,13.6359,19.8215,29.7935
0.0299731,0.00623172,0.0559024,13.6132,19.0808,29.7937
0.0302203,0.0118427,0.0553218,12.7994,19.3437,29.7944
0.0296883,0.0605135,0.0520039,14.8391,19.3186,29.7948
0.0304777,0.0107246,0.0573449,11.2445,19.4249,29.7953
0.0296494,0.0893627,0.05116,14.1064,19.6688,29.7955
0.0305307,0.0205561,0.055623,11.2413,19.4951,29.7966
0.030348,0.0435546,0.0659057,11.2322,19.5341,29.7974
0.0297377,0.0137097,0.0526635,14.0276,19.0261,29.7974
0.0296727,0.0574436,0.053217,14.6341,19.0232,29.7989
0.0299187,0.0142191,0.0565978,13.1586,19.409,29.7995
0.0304408,0.0211557,0.0593874,11.1783,19.3124,29.8007
0.0306502,0.00893218,0.0680502,10.7741,19.5499,29.8007
0.0300577,0.00104306,0.052654,13.5714,19.3185,29.8008
0.0306631,0.0415977,0.0633145,10.3604,19.8249,29.8008
0.0304974,0.00166089,0.0564661,11.1854,19.3479,29.8009
0.0303603,0.0266049,0.0652194,11.1931,19.8402,29.8022
0.0306066,0.0242357,0.0703757,10.5939,19.0127,29.8025
0.0301158,0.0945375,0.0564049,12.5329,19.638,29.8028
0.0307434,0.00263759,0.0629977,10.8253,19.7018,29.8032
0.0304888,0.0377918,0.0561316,11.5088,19.5731,29.8039
0.0303458,0.0460101,0.0647768,11.6327,19.6968,29.8048
0.030493,0.0143975,0.0587277,11.2762,19.9139,29.8049
0.0298572,0.105897,0.0536902,13.1243,19.027,29.8051
0.030701,0.00203481,0.0670441,10.5418,19.4998,29.806
0.030459,0.013933,0.0615265,11.2696,19.5865,29.8065
0.0303478,0.0569196,0.0636382,11.8813,19.6825,29.8065
0.0309549,0.00786158,0.068415,9.44255,19.5263,29.8066
0.029657,0.0971302,0.0508528,14.259,19.738,29.8067
0.029581,0.118613,0.0533591,14.3367,19.2933,29.8073
0.0301039,0.0829655,0.0577523,12.6905,19.6968,29.8075
0.0293696,0.100931,0.0514965,15.5172,19.9149,29.8076
0.0304126,0.0356694,0.0618979,11.0619,19.9113,29.8079
0.0306518,0.0159902,0.0691346,10.7823,19.8019,29.808
0.0298333,0.0757368,0.0577435,13.6883,19.3554,29.8081
0.0301071,0.0786889,0.0578615,12.2621,19.8301,29.8084
0.030328,0.00736835,0.0521878,12.2705,19.7058,29.8089
0.0301422,0.0693291,0.0557762,12.9034,19.4849,29.809
0.0302219,0.00744036,0.0550144,12.1519,19.1291,29.8091
0.0297119,0.0392666,0.0526021,14.1318,19.0224,29.8102
0.0299467,0.00783937,0.0543156,13.7273,19.7585,29.8104
0.0300994,0.0851918,0.0577464,12.7773,19.0309,29.8119
0.030109,0.0797188,0.0582893,12.6898,19.659,29.8121
0.0304456,0.00862091,0.0597221,11.7363,19.0076,29.8121
0.0294716,0.0255156,0.0507494,15.6076,19.8835,29.8123
0.0300996,0.0599749,0.0598366,12.8875,19.4563,29.813
0.0301286,0.064246,0.0572693,12.8525,19.305,29.8131
0.0299009,0.0959996,0.0520375,13.4952,19.4581,29.8146
0.0296439,0.0699428,0.0521564,14.6599,19.897,29.815
0.0300408,0.0217132,0.0515516,13.7807,19.0774,29.8151
0.0306959,0.0414135,0.0615092,10.673,19.0912,29.8154
0.0300913,0.0771392,0.0590265,12.9419,19.0047,29.8156
0.0296399,0.0683991,0.0525664,14.0688,19.3242,29.8157
0.0306436,0.0472095,0.0649643,10.3266,19.2937,29.816
0.030085,0.00874538,0.0503171,13.6782,19.2709,29.8161
0.0304533,0.0531638,0.0571861,11.2527,19.3775,29.8161
0.0300916,0.0058043,0.0502789,13.531,19.438,29.8167
0.0299103,0.018719,0.0561119,13.3954,19.4534,29.8171
0.0298415,0.117558,0.0542626,13.6585,19.2797,29.8174
0.0303458,0.0812236,0.0607146,11.8399,19.4685,29.8175
0.0300829,0.107807,0.05741,12.5693,19.2558,29.8179
0.0298706,0.100225,0.0540458,13.5453,19.9917,29.818
0.030458,0.0355071,0.0589436,11.1271,19.8817,29.8182
0.0296093,0.0936353,0.0527805,14.6026,19.3966,29.8189
0.0298299,0.0663276,0.0586015,13.6008,19.5903,29.819
0.030086,0.0708616,0.0598338,12.7572,19.798,29.8194
0.0303297,0.0636422,0.0641508,11.3615,19.1807,29.8198
0.0296068,0.117932,0.0512499,14.7209,19.9029,29.8207
0.0296294,0.084524,0.0520409,14.6483,19.9877,29.8212
0.0305709,0.00493718,0.0514507,12.708,19.3447,29.8216
0.0309127,0.0273254,0.069674,9.03458,19.3918,29.822
0.0298498,0.0581147,0.0575209,13.7352,19.0789,29.822
0.029925,0.0511455,0.0525248,13.8118,19.4812,29.8231
0.029882,0.0289711,0.0573794,13.4525,19.4388,29.8231
0.0299139,0.00883537,0.0585806,13.0383,19.0974,29.8232
0.0305896,0.0148815,0.0507331,12.4317,19.1195,29.8233
0.0309341,0.0223758,0.0690204,9.99605,19.916,29.8241
0.0306644,0.00217192,0.0666849,10.2508,19.3084,29.8248
0.0309146,0.00462225,0.0508667,11.0733,19.6437,29.8251
0.030697,0.0139832,0.0656824,10.1277,19.089,29.8251
0.0296062,0.074447,0.0556108,14.9636,19.647,29.826
0.0300763,0.103073,0.0583334,12.2464,19.4757,29.826
0.0291722,0.00723147,0.0563699,15.4245,19.6076,29.8262
0.0308641,0.0141425,0.0765697,9.59736,19.5309,29.8268
0.0297781,0.138396,0.0563131,13.1508,19.5107,29.827
0.0305586,0.0217201,0.0514175,12.5493,19.5093,29.827
0.0293843,0.0828827,0.0521531,15.7229,19.2381,29.8271
0.0306642,0.0225173,0.0672331,10.7294,19.9712,29.8275
0.0307127,0.0100127,0.0650762,10.4185,19.0679,29.8277
0.0300368,0.0887553,0.0628161,12.5668,19.3604,29.8278
0.029818,0.0936389,0.0581584,13.4164,19.5005,29.8279
0.0309329,0.019189,0.0697378,9.09031,19.1763,29.8288
0.0303473,0.066717,0.0632435,11.6699,19.4244,29.8293
0.0308893,0.00859472,0.0757834,9.93593,19.8104,29.8293
0.0299585,0.0821745,0.0504097,13.6011,19.4873,29.8297
0.0308093,0.00743962,0.0547001,11.0579,19.5956,29.8299
0.0306974,0.0325674,0.0631789,10.3029,19.2787,29.8299
0.0299556,0.0549863,0.0535533,13.0714,19.6844,29.8305
0.0299011,0.0140039,0.0568051,13.8922,19.9503,29.8306
0.0309824,0.0176419,0.0655922,9.64499,19.8164,29.8313
0.0308518,0.0267644,0.0757637,9.8045,19.6131,29.8317
0.0301947,0.0195611,0.0548576,12.9153,19.1801,29.832
0.0299597,0.0469681,0.0543326,13.6051,19.8509,29.8322
0.0295273,0.159902,0.0532899,14.7005,19.93,29.8323
0.0301177,0.0809484,0.0562716,12.3164,19.2796,29.8324
0.0308134,0.00217334,0.0558173,11.7285,19.5242,29.8325
0.0300479,0.0891671,0.0609108,12.53,19.1267,29.8328
0.0304349,0.00236799,0.0603274,11.0871,19.2342,29.8328
0.0297127,0.00819096,0.0512008,14.0348,19.8878,29.833
0.0305808,0.0313512,0.0711345,10.8253,19.0329,29.8336
0.0297799,0.132646,0.0564347,13.9679,19.7687,29.8338
0.0299869,0.0317213,0.0543728,13.6876,19.8045,29.8344
0.0299335,0.0394205,0.0563391,13.7174,19.9556,29.8345
0.0293296,0.151344,0.0504155,15.0608,19.0734,29.8348
0.0303592,0.0865572,0.0604043,11.0383,19.7992,29.8349
0.029915,0.00726493,0.0560219,13.1456,19.4794,29.835
0.030144,0.0404178,0.0572764,12.2144,19.2829,29.8351
0.0300927,0.0997962,0.0577825,12.4492,19.3601,29.8351
0.0303846,0.0584937,0.0616624,11.1094,19.1627,29.8352
0.030072,0.0670555,0.0628946,12.3499,19.9113,29.8358
0.0304749,0.0133028,0.0615409,11.2037,19.5398,29.836
0.030565,0.0815253,0.0669049,10.8267,19.5735,29.8361
0.0298528,0.0848898,0.0547401,13.981,19.5148,29.8362
0.0295837,0.0801147,0.0554388,14.3867,19.3014,29.8364
0.0296477,0.0888637,0.0525888,14.7796,19.8873,29.8364
0.0305789,0.0310235,0.0728414,10.4332,19.7524,29.8368
0.0296111,0.011364,0.0637317,13.0761,19.6682,29.8372
0.0298873,0.0215333,0.0570749,13.824,19.7696,29.8373
0.0308482,0.0206444,0.0767525,9.25388,19.8749,29.8375
0.030028,0.0142591,0.0536776,13.7128,19.6673,29.8375
0.0308667,0.0407718,0.0722066,9.77973,19.4628,29.8376
0.0300827,0.0755042,0.0613836,12.0067,19.6213,29.8377
0.0299898,0.0250211,0.0547062,13.6263,19.8124,29.8379
0.0295484,0.10631,0.0560239,14.8435,19.5128,29.8381
0.0303242,0.0723425,0.0645202,11.4206,19.2832,29.8382
0.0308502,0.0338186,0.0518456,11.5236,19.39,29.8386
0.0307581,0.00651551,0.0623189,10.4314,19.0513,29.8387
0.0308574,0.0191028,0.0771713,9.44512,19.9357,29.8389
0.0300345,0.0744837,0.0631782,12.3121,19.1969,29.8392
0.0299152,0.086477,0.0530459,13.0491,19.0526,29.8395
0.0300693,0.0041877,0.0740937,11.4445,19.7057,29.8398
0.0303164,0.0630213,0.0646958,11.7141,19.5391,29.8401
0.0307424,0.00148302,0.0644611,10.3669,19.2985,29.8401
0.0299086,0.0364664,0.0541612,13.7871,19.4558,29.8404
0.0304865,0.0434123,0.0559129,11.7623,19.2633,29.8417
0.0310175,0.00821132,0.0637806,9.59575,19.1007,29.8417
