beta,permeability,xi,init_days,delay,value
0.0625082,0.219426,0.0633989,0.555199,6.98381,21.0491
0.0626273,0.214849,0.0601263,0.98178,6.41151,21.0516
0.0626574,0.211686,0.0592243,0.288455,6.88177,21.0748
0.0626984,0.210744,0.0534582,0.286873,6.29169,21.0958
0.0627634,0.206589,0.0573125,0.22161,6.66529,21.1086
0.0625017,0.221742,0.05804,0.439229,6.88007,21.1558
0.062426,0.222399,0.05852,0.842645,7.01157,21.1569
0.0625105,0.218858,0.0584526,0.700498,6.15698,21.157
0.0620295,0.25982,0.0693168,0.262263,6.20102,21.1616
0.0628159,0.191666,0.0552057,0.642679,7.77871,21.1701
0.0620722,0.248255,0.0711139,0.948253,7.71776,21.1769
0.0623702,0.22988,0.0597674,0.70507,6.98332,21.1867
0.0620123,0.257508,0.0679649,0.20377,6.11663,21.1873
0.0612198,0.24006,0.0611656,1.69379,6.40553,21.1918
0.0617999,0.271782,0.0734954,0.800633,6.44594,21.1926
0.0622175,0.234776,0.0692445,0.550419,7.14477,21.2324
0.061517,0.228614,0.051599,1.39308,6.3003,21.2374
0.0619707,0.260729,0.0709268,0.333761,7.38652,21.2539
0.0607152,0.283176,0.0694641,1.04077,6.53026,21.2559
0.0619417,0.25693,0.0708646,0.313941,7.6075,21.2579
0.061656,0.205461,0.0545956,1.64377,6.44251,21.2596
0.0609667,0.257779,0.0625662,1.68521,6.96717,21.2669
0.0624692,0.23468,0.0551365,0.483465,6.1574,21.2681
0.061895,0.257475,0.0779808,0.0276669,8.01781,21.2689
0.0618885,0.262837,0.0733912,0.604122,8.82071,21.2772
0.0606091,0.286089,0.0745573,1.1244,7.00924,21.2794
0.0604821,0.293121,0.0774745,1.24675,7.72093,21.292
0.0611525,0.253801,0.05624,1.94329,6.43007,21.2952
0.0616166,0.283491,0.0764712,0.971343,6.79615,21.2952
0.0610569,0.249869,0.0625627,1.37303,6.22571,21.2963
0.0618359,0.260972,0.0728881,0.0435578,8.95091,21.3017
0.0615924,0.280927,0.0791301,0.873069,7.8399,21.3023
0.0628461,0.201919,0.0587506,0.986118,6.09255,21.3028
0.0621265,0.251503,0.0622223,0.278351,7.89973,21.3057
0.0623177,0.243484,0.0589135,0.809681,6.17855,21.3077
0.0607411,0.273547,0.0701322,1.96697,7.90475,21.3135
0.0600497,0.258459,0.0551977,2.74494,6.20764,21.3153
0.0621313,0.247777,0.0609368,0.0878354,7.20326,21.3165
0.0619717,0.178385,0.0523125,1.97487,7.33179,21.3191
0.0614178,0.295135,0.0876153,0.459492,7.80442,21.322
0.0618297,0.266395,0.0751055,0.158302,6.06179,21.3225
0.0627683,0.205709,0.0520833,0.971904,5.92263,21.3236
0.0600103,0.256124,0.0584563,2.08244,7.36783,21.3254
0.0616162,0.219848,0.0535701,1.44599,6.26461,21.3263
0.0619571,0.195012,0.0512934,1.61313,6.86077,21.3277
0.0598305,0.274988,0.0596846,2.25862,7.69948,21.3286
0.0614039,0.241632,0.0511149,1.30086,6.79888,21.3297
0.0603957,0.304328,0.0779031,1.25198,7.88589,21.3298
0.0608818,0.259053,0.0663176,1.18259,8.63139,21.3325
0.0603539,0.240458,0.0554648,2.36062,6.91718,21.3361
0.0614549,0.217701,0.0597949,1.86005,7.27511,21.3372
0.060403,0.223132,0.0517634,2.99001,7.41627,21.3446
0.060392,0.297993,0.0787025,1.11523,8.72671,21.3466
0.0607161,0.276998,0.0735616,1.65086,7.54706,21.3476
0.0626168,0.203438,0.0558791,0.707312,7.60963,21.3505
0.0613948,0.220291,0.0594749,1.67561,8.17641,21.3517
0.0596056,0.288714,0.0703,2.06887,8.56538,21.3524
0.0620855,0.25926,0.0609345,0.0421235,6.47505,21.3592
0.0615673,0.282246,0.0776216,0.737396,8.40107,21.3599
0.0623143,0.223816,0.0632089,0.285718,7.01277,21.3661
0.0617908,0.277933,0.0698349,0.843579,6.42586,21.3663
0.0599558,0.265739,0.05512,2.14114,7.58169,21.3664
0.0616048,0.281266,0.0737748,0.513629,8.91494,21.3693
0.0600225,0.256609,0.0546957,2.33367,7.55734,21.3698
0.0596282,0.288992,0.0621149,2.08775,7.39341,21.37
0.0615252,0.288311,0.0762522,0.594731,8.5823,21.3704
0.0623261,0.241401,0.0594684,0.52217,7.91386,21.3741
0.0623967,0.242232,0.0572948,0.974414,6.24472,21.3743
0.0619317,0.255202,0.0653999,0.460331,7.82757,21.3743
0.0616471,0.277812,0.0729933,0.879387,8.25456,21.3768
0.0594931,0.299242,0.070708,2.73131,7.28217,21.3779
0.0613769,0.222266,0.0605121,1.88906,7.16476,21.3785
0.0617354,0.276756,0.075283,0.154232,8.53228,21.3828
0.0619945,0.251606,0.075187,0.540769,7.50864,21.383
0.0602633,0.245787,0.0521248,2.2268,7.06594,21.3839
0.0627583,0.213815,0.0556905,0.777437,6.60257,21.3849
0.0616814,0.274594,0.0747907,0.0554305,6.95597,21.3862
0.0603658,0.238089,0.0510454,2.52866,7.72554,21.3878
0.0623987,0.217551,0.0598058,0.331124,7.48241,21.3884
0.0602501,0.251318,0.0529494,2.1338,6.80666,21.392
0.0624202,0.234186,0.0566582,0.209509,7.04291,21.3922
0.0627457,0.1989,0.0614991,0.334787,6.93283,21.3923
0.0612681,0.307511,0.0915957,0.139409,8.96126,21.3937
0.0608853,0.256799,0.0702383,1.15321,8.129,21.3948
0.0629899,0.177422,0.0586047,0.714733,7.54392,21.3955
0.0605652,0.295547,0.0723816,1.04924,6.81406,21.396
0.0618829,0.181947,0.0517577,1.88915,7.79758,21.3986
0.0611918,0.237909,0.064628,1.70549,8.20024,21.3993
0.0607993,0.277449,0.061493,1.30646,6.81369,21.4023
0.0621805,0.238164,0.0694575,0.697053,6.17998,21.4028
0.0621883,0.248192,0.0592208,0.391163,7.78789,21.4035
0.0625773,0.233453,0.0516959,0.604273,6.07276,21.4049
0.0627672,0.191013,0.0591033,0.887539,7.16413,21.4061
0.0620799,0.252296,0.0610265,0.03674,7.97576,21.4061
0.0612459,0.307378,0.0897565,0.74147,8.34024,21.4062
0.0606875,0.28693,0.0651137,1.79876,6.85675,21.4075
0.0612907,0.305377,0.0840311,0.241619,8.95736,21.4076
0.0622783,0.245966,0.060047,0.262673,7.43706,21.4103
0.0598159,0.270705,0.0639143,2.37978,8.14688,21.4136
0.06162,0.284049,0.0838924,0.509975,8.09286,21.4137
0.0600375,0.254709,0.0597883,2.94564,8.0604,21.4196
0.0627825,0.213056,0.0563881,0.929156,6.88671,21.4217
0.0631986,0.178638,0.0544391,0.181371,6.8787,21.4221
0.0618272,0.276883,0.0698975,0.1337,7.54867,21.4236
0.0624286,0.233843,0.0600333,0.483787,7.29099,21.4258
0.0618546,0.256319,0.0774856,0.464913,8.34392,21.4261
0.0627475,0.209467,0.0593337,0.604712,7.92561,21.4264
0.0623672,0.24286,0.0616087,0.488792,6.46815,21.4268
0.0611306,0.313647,0.102,0.213079,9.86662,21.4275
0.0601137,0.267627,0.0513506,2.47739,6.53157,21.4301
0.0579195,0.284711,0.0522049,4.90359,7.41631,21.4311
0.0617098,0.283124,0.0687668,0.482444,7.48711,21.4353
0.0614032,0.217663,0.0589368,1.49453,8.63105,21.439
0.0609987,0.256929,0.0626652,1.3426,8.5469,21.4393
0.0607985,0.265594,0.0716213,1.38987,7.5057,21.4395
0.0610998,0.260959,0.0543699,1.0508,6.90856,21.4398
0.0610682,0.241445,0.0631812,1.36222,8.35226,21.441
0.0615549,0.295885,0.0760634,0.534841,6.9847,21.441
0.0613309,0.239827,0.0588853,1.63775,7.00647,21.445
0.0603443,0.308266,0.0750338,1.06056,7.42162,21.4465
0.0632758,0.177877,0.0517542,0.204562,5.48907,21.4484
0.0627137,0.197157,0.0589998,0.429791,6.51776,21.4485
0.0618071,0.268697,0.0791232,0.158104,7.27598,21.4498
0.0617249,0.214372,0.0511864,1.47031,5.56658,21.4519
0.058952,0.347655,0.0832332,2.62415,7.08185,21.4519
0.060957,0.271782,0.0612933,1.90173,6.48175,21.4531
0.0621294,0.26155,0.0611905,0.64142,6.35557,21.4563
0.0616915,0.217712,0.0526983,1.19753,6.6486,21.4575
0.0613959,0.305546,0.0832621,0.506921,7.70154,21.4599
0.0580092,0.275448,0.0519095,4.30159,7.82093,21.4623
0.061738,0.275084,0.0804225,0.712107,7.88441,21.4624
0.0613796,0.219806,0.0600682,1.99834,7.03525,21.4635
0.0580023,0.275336,0.0511926,4.42104,7.46216,21.4655
0.0614879,0.228731,0.0543237,1.52608,5.70284,21.4661
0.0585466,0.300288,0.063243,3.82148,8.01973,21.4675
0.0604239,0.234347,0.0556926,2.27701,6.00149,21.468
0.0598211,0.341311,0.10142,1.96642,9.05111,21.4694
0.0588461,0.354542,0.0863342,2.83114,7.76028,21.4722
0.0611226,0.247203,0.05594,1.18623,7.20578,21.4771
0.0597556,0.281711,0.0575448,2.75632,6.86939,21.4788
0.0614383,0.240294,0.053008,1.23765,6.94615,21.4789
0.0616151,0.293151,0.0723558,0.557602,6.10006,21.479
