beta,permeability,xi,init_days,delay,value
0.0318012,0.967984,0.0570024,34.842,19.9996,46.616
0.0318606,0.950189,0.0555908,34.4594,19.7585,46.9378
0.0323053,0.932936,0.0608315,32.6742,19.9937,47.1532
0.0328998,0.796424,0.0539293,31.1926,19.945,47.177
0.0336719,0.762289,0.0604953,28.387,19.4133,47.2061
0.0334329,0.79733,0.0543204,29.5502,19.9488,47.2153
0.0330405,0.840329,0.0576708,30.2249,19.2022,47.3932
0.0342431,0.67698,0.0547173,27.2158,19.2157,47.3962
0.0333114,0.751735,0.0512175,30.8418,19.3607,47.397
0.0318125,0.967565,0.0513282,34.7214,18.3231,47.4089
0.0339325,0.753678,0.0648112,27.1847,19.106,47.4319
0.0315936,0.98606,0.0519539,35.7942,19.6269,47.4342
0.0321426,0.944902,0.0545403,33.5346,19.9239,47.5109
0.0333223,0.72805,0.0517102,30.8029,19.1022,47.529
0.0338747,0.766886,0.0664929,27.5933,19.5412,47.5581
0.0335538,0.760228,0.0526234,29.5812,19.5117,47.584
0.0329072,0.864525,0.0614665,30.2378,19.8218,47.5892
0.0324255,0.906591,0.0512931,32.7764,18.3892,47.6266
0.0335227,0.729664,0.0560257,29.8323,19.1095,47.633
0.0330299,0.897891,0.0687678,29.7618,19.9722,47.6353
0.0328897,0.817281,0.0534088,31.1158,19.4798,47.6404
0.0321943,0.889798,0.0543283,33.3156,19.3064,47.7067
0.0340538,0.719979,0.05923,27.8044,19.4859,47.7394
0.0348232,0.636222,0.0612473,25.1218,19.6131,47.7575
0.0341516,0.707306,0.0569788,27.5638,19.7017,47.763
0.0335931,0.799494,0.062856,28.786,19.1643,47.7973
0.0339171,0.746894,0.0656664,27.1681,19.8821,47.8146
0.0333575,0.791604,0.0579442,29.0978,19.1228,47.8389
0.0347307,0.676956,0.0555895,25.962,18.9348,47.8725
0.0323967,0.949211,0.0715161,31.006,19.731,47.8822
0.0321438,0.912628,0.0544127,33.5652,19.2613,47.9224
0.0336447,0.785106,0.0588092,28.7172,19.2791,47.9242
0.0328603,0.881659,0.065448,30.6514,19.3091,47.9492
0.0318753,0.986039,0.0685093,33.4042,19.5899,47.9693
0.0330247,0.756446,0.0514552,31.1961,19.8277,47.98
0.0339945,0.762614,0.0593704,27.9948,19.758,47.9887
0.0336984,0.791647,0.0520469,28.9401,18.9467,48.0052
0.0330502,0.876025,0.0706083,29.2064,19.855,48.022
0.0327757,0.835343,0.0549797,31.8242,19.3411,48.0638
0.0339849,0.67513,0.0504961,28.0147,19.1806,48.0741
0.0350957,0.63071,0.0644224,24.633,19.2456,48.0772
0.0323879,0.881736,0.061168,32.6229,19.9617,48.0875
0.0337472,0.814835,0.0705111,27.0638,19.9101,48.1058
0.0329538,0.870378,0.0606521,30.3501,19.7241,48.112
0.0332487,0.856429,0.0540127,29.1633,18.4676,48.1163
0.033581,0.818561,0.0545074,28.0057,18.4542,48.1202
0.0325925,0.919497,0.0554897,31.4737,18.7907,48.1205
0.0354378,0.537091,0.0557296,24.8984,19.5682,48.1265
0.0321949,0.909624,0.0517895,33.0977,19.585,48.133
0.0329719,0.763722,0.053207,31.2711,19.7078,48.1576
0.0311594,0.988785,0.0523375,37.1951,19.2761,48.1757
0.032254,0.868198,0.0517435,33.7983,19.0296,48.1905
0.0325054,0.939165,0.0588343,31.2842,18.1584,48.2297
0.0314652,0.992074,0.0608868,35.3219,19.3594,48.2387
0.0334025,0.801967,0.0576485,29.7814,19.3817,48.2412
0.0327732,0.833257,0.0533961,31.922,18.4307,48.2492
0.0324512,0.958649,0.0669615,31.2132,19.384,48.2597
0.0332383,0.89194,0.0765626,28.2741,19.3408,48.2684
0.0319869,0.954613,0.0607608,33.8671,19.0503,48.2857
0.035071,0.634231,0.0663749,24.987,19.3855,48.3016
0.0335679,0.862361,0.0756833,27.4003,19.0351,48.3034
0.0322646,0.993879,0.0769497,31.0389,19.7308,48.3143
0.0325701,0.817637,0.055007,32.0385,19.5108,48.3187
0.0342198,0.654665,0.057033,27.0713,19.3627,48.336
0.0342978,0.746695,0.0551741,26.4797,18.0604,48.3454
0.0325624,0.873004,0.0530192,32.8077,19.6818,48.3752
0.0337666,0.745151,0.055357,28.942,19.4328,48.3988
0.0328252,0.945568,0.0792496,29.6905,19.3368,48.4095
0.0354575,0.620016,0.0581301,23.7443,18.2017,48.4399
0.0320393,0.926404,0.060438,33.3536,19.5188,48.4616
0.032185,0.903002,0.051489,33.2966,18.258,48.4866
0.0332673,0.850366,0.0526843,29.1524,18.8261,48.5074
0.0321026,0.985515,0.0636239,32.6423,18.2079,48.517
0.0321228,0.896984,0.0575668,33.9956,19.2791,48.5398
0.0336177,0.782488,0.0600252,28.0569,19.8698,48.5471
0.0317782,0.947613,0.0618928,34.0927,19.2261,48.5607
0.0323935,0.954831,0.0644548,31.4226,18.1204,48.5639
0.0342712,0.696834,0.0511446,27.0493,19.1299,48.5689
0.0339667,0.776831,0.0597246,27.3379,19.6163,48.5717
0.0325276,0.854312,0.0559032,32.6981,19.3578,48.5717
0.0338619,0.731395,0.0552682,28.0738,19.0138,48.572
0.0359613,0.488701,0.0523077,23.8046,19.5098,48.5753
0.034941,0.598188,0.0568637,25.9429,19.1597,48.5911
0.0323239,0.969905,0.0722342,31.8768,19.661,48.6017
0.0340581,0.723425,0.0613834,27.6999,19.0045,48.6158
0.0328881,0.886383,0.0639096,30.8838,19.3506,48.6358
0.0332072,0.845858,0.0654232,29.8398,19.0073,48.6501
0.0323393,0.901428,0.0571461,32.1015,18.723,48.6505
0.0343925,0.741853,0.0768376,25.0219,19.3873,48.6562
0.0316377,0.958026,0.0549218,35.7033,19.6062,48.6688
0.0329843,0.882689,0.0570244,30.2659,19.8001,48.6748
0.0331633,0.870328,0.0525141,29.6934,17.9861,48.6757
0.0347691,0.635707,0.0636702,25.4072,19.7854,48.6774
0.0323199,0.893386,0.0638401,32.1874,19.0493,48.6902
0.0355895,0.492016,0.0537862,24.8596,19.3654,48.6995
