beta,permeability,xi,init_days,delay,value
0.0529111,0.00698202,0.125055,49.9785,19.9106,419.411
0.0530172,0.00543166,0.0966867,49.4078,18.3337,419.607
0.0536609,0.0411102,0.160326,47.346,19.3851,419.724
0.0543054,0.0126401,0.127271,47.3277,19.0335,419.818
0.0547165,0.00996358,0.110522,46.0962,18.7342,419.838
0.0545167,0.00477336,0.162929,46.2468,19.2664,419.942
0.0534714,0.000857914,0.0808619,48.3142,17.3133,420.045
0.0534629,0.0347089,0.135297,46.7589,17.7046,420.081
0.0526489,0.0116866,0.108658,50.0042,19.2333,420.104
0.0530448,0.0182063,0.0962474,48.3497,17.3933,420.191
0.0536943,0.0366174,0.157386,46.741,18.0639,420.212
0.0537736,0.0182191,0.0962392,49.9877,19.2142,420.265
0.0529055,0.0177981,0.128732,47.2495,17.8004,420.273
0.0543561,0.00764462,0.165983,44.4977,17.1446,420.281
0.0534806,0.0365719,0.126387,47.1277,18.6393,420.288
0.0525205,0.0515373,0.144899,48.9221,18.6891,420.3
0.0541023,0.0165131,0.129049,47.7898,19.7711,420.302
0.0523499,0.0302826,0.119727,50.1702,19.0804,420.307
0.052286,0.0146132,0.133142,50.7306,19.3281,420.312
0.0527534,0.0149083,0.101732,48.7274,17.1782,420.384
0.051897,0.0241999,0.090719,52.9663,19.0458,420.385
0.054492,0.0197583,0.0921148,47.7456,18.0838,420.402
0.0532728,0.000441224,0.137093,46.3666,17.1853,420.412
0.0532148,0.0364584,0.0921877,50.0132,19.7706,420.414
0.0546373,0.0403478,0.143423,45.5871,18.2117,420.417
0.0536788,0.0116205,0.0760731,50.6625,19.6346,420.43
0.0529454,0.0206302,0.09958,50.9074,19.9342,420.431
0.0494728,0.00956252,0.139188,54.7952,19.2072,420.448
0.0531096,0.0202784,0.163266,47.471,18.8416,420.452
0.0535837,0.00111045,0.127441,46.7289,17.5872,420.477
0.0518475,0.00216892,0.11452,51.0338,19.363,420.491
0.0540442,0.0316976,0.138616,46.083,18.2163,420.505
0.052582,0.0370174,0.11762,49.0868,18.9583,420.523
0.0517343,0.00907593,0.160052,50.7698,19.8693,420.524
0.0543643,0.0160789,0.0783531,45.4598,15.0445,420.524
0.0531218,0.0142472,0.124827,49.5893,19.0216,420.525
0.0522841,0.0602112,0.122279,50.448,19.8709,420.53
0.0520485,0.01608,0.0707375,51.8686,17.9599,420.533
0.0535058,0.0232629,0.103212,49.8695,19.6091,420.536
0.0531061,0.0432505,0.155129,47.5986,18.66,420.539
0.0547031,0.00373004,0.132953,46.7631,19.3718,420.54
0.0535236,0.0121576,0.124927,48.4731,19.2962,420.545
0.0530919,0.0389379,0.159636,47.897,18.5271,420.547
0.0546555,0.0171662,0.151442,43.2291,16.0503,420.547
0.049891,0.0359415,0.117501,53.5759,18.1003,420.549
0.0526837,0.0297618,0.1075,49.3625,18.3013,420.55
0.0537376,0.0179166,0.12224,48.8298,19.6912,420.553
0.0535044,0.0159682,0.103997,49.3599,19.3701,420.556
0.0533654,0.0391569,0.143016,47.3213,18.8404,420.557
0.0538538,0.00990532,0.137756,46.419,18.1364,420.575
0.0524707,0.0583396,0.154631,49.3294,19.9335,420.577
0.0528735,0.0486978,0.102515,50.5493,19.436,420.579
0.0532376,0.00787128,0.0708193,49.6362,17.4631,420.582
0.0529198,0.0586717,0.100979,48.6075,17.6402,420.585
0.0524384,0.0752028,0.155141,49.6955,19.4384,420.59
0.0531362,0.0742777,0.116231,47.9389,17.1239,420.591
0.0537535,0.00282729,0.0995164,49.1113,19.3068,420.598
0.0523558,0.00185717,0.0519062,51.2005,16.4565,420.599
