mean,variance
0.0101831,5.22986e-05
0.0119695,6.93398e-05
0.0140698,9.18988e-05
0.0165399,0.000121743
0.0194457,0.000161196
0.0228646,0.000213313
0.0268885,0.000282104
0.0316253,0.00037282
0.0372028,0.000492337
0.0437714,0.000649635
0.0515093,0.000856426
0.0606265,0.00112796
0.0713713,0.00148402
0.0840371,0.00195029
0.0989709,0.00255992
0.116583,0.00335567
0.137357,0.00439246
0.161869,0.00574066
0.190796,0.00748999
0.224942,0.00975444
0.265258,0.0126781
0.31287,0.0164421
0.369113,0.0212726
0.435567,0.0274504
0.514105,0.0353206
0.606947,0.0453034
0.716724,0.0579047
0.846559,0.0737246
1.00015,0.0934625
1.1819,0.117915
1.39701,0.147965
1.65168,0.184548
1.95325,0.228599
2.31043,0.280957
2.73361,0.342229
3.23508,0.412583
3.82946,0.491476
4.53414,0.577313
5.36975,0.667045
6.35944,0.755702
7.52108,0.835845
8.85753,0.89803
10.3384,0.932892
11.9125,0.934492
13.5098,0.902926
15.0535,0.844407
16.47,0.769043
17.7002,0.68745
18.7042,0.608065
19.4651,0.536067
19.986,0.473959
20.2825,0.422594
20.3772,0.381879
20.2951,0.351177
20.0621,0.329556
19.7036,0.315964
19.2431,0.309257
18.7016,0.308196
18.0977,0.311532
17.4479,0.318063
16.7661,0.326663
16.0642,0.336283
15.3519,0.345994
14.6375,0.355047
13.928,0.362864
13.2289,0.369014
12.5446,0.373202
11.8785,0.375258
11.2333,0.37512
10.6108,0.37281
10.0121,0.368407
9.43743,0.361991
8.88724,0.353748
8.36205,0.343927
7.86225,0.332803
7.388,0.320658
6.93926,0.307765
6.51547,0.294356
6.1166,0.280709
5.74204,0.267044
5.39082,0.253538
5.06177,0.240333
4.75368,0.227536
4.46532,0.215234
4.19567,0.203514
3.94365,0.192432
3.70819,0.182022
3.48819,0.172291
3.28283,0.163274
3.0909,0.15491
2.91175,0.147228
2.74462,0.140226
2.58916,0.133971
2.44509,0.128558
2.31225,0.124116
2.19032,0.120743
2.07956,0.118714
1.97965,0.118181
1.89018,0.119289
1.81046,0.122101
1.73976,0.126663
1.67734,0.132992
1.62244,0.141078
1.57455,0.150992
1.53345,0.162937
1.49943,0.177422
1.4729,0.195133
1.45441,0.216971
1.445,0.244371
1.44451,0.278205
