mean,variance
0.00312604,3.6912e-06
0.00383562,5.29019e-06
0.00470214,7.58267e-06
0.00576094,1.08667e-05
0.00705518,1.55679e-05
0.00863774,2.22929e-05
0.0105734,3.19055e-05
0.0129413,4.56343e-05
0.0158389,6.5225e-05
0.0193851,9.31542e-05
0.0237259,0.000132932
0.0290403,0.000189523
0.0355477,0.000269946
0.0435169,0.000384097
0.0532779,0.000545914
0.0652353,0.000774983
0.0798852,0.00109878
0.0978367,0.00155575
0.119837,0.00219958
0.146802,0.00310502
0.179858,0.00437589
0.220385,0.00615591
0.270081,0.00864337
0.331025,0.0121109
0.405777,0.0169316
0.497475,0.0236141
0.609977,0.0328483
0.748023,0.0455641
0.917434,0.0630078
1.12537,0.0868378
1.38061,0.119242
1.69398,0.163083
2.07877,0.22206
2.55129,0.3009
3.13165,0.405551
3.84453,0.54336
4.7203,0.723213
5.79632,0.955567
7.11851,1.25231
8.74336,1.62637
10.7404,2.09094
13.1949,2.65846
16.1903,3.33743
19.8117,4.13061
24.1274,5.03362
29.1676,6.03446
34.9086,7.11391
41.2875,8.24634
48.2019,9.40033
55.5057,10.5366
63.0349,11.6067
70.6433,12.5581
78.196,13.3404
85.5691,13.9092
92.6688,14.235
99.422,14.3049
105.774,14.1231
111.679,13.7071
117.121,13.093
122.109,12.3292
126.666,11.4667
130.82,10.5508
134.604,9.62028
138.035,8.70265
141.144,7.82149
143.952,6.99382
146.486,6.23298
148.797,5.54934
150.871,4.95378
152.717,4.45872
154.311,4.07808
155.639,3.82418
156.707,3.70679
157.531,3.73423
158.113,3.91306
158.514,4.25238
158.774,4.76489
158.959,5.4774
159.136,6.43981
159.34,7.72337
159.586,9.41817
159.882,11.6282
160.233,14.47
160.648,18.0813
161.141,22.6248
161.719,28.2749
162.397,35.2458
163.194,43.7997
164.124,54.2251
165.207,66.8929
166.46,82.2066
167.909,100.709
169.577,123.01
171.486,149.848
173.668,182.142
176.154,221.027
178.968,267.73
182.142,323.808
185.725,391.359
189.743,472.552
194.216,569.732
199.168,685.743
204.637,824.156
210.667,989.368
217.311,1186.76
224.619,1422.65
232.571,1701.79
241.239,2033.1
250.752,2429.73
261.258,2908.7
