mean,variance
0.0109585,8.35235e-05
0.0131055,0.000114629
0.0156748,0.000157276
0.0187503,0.000215717
0.0224329,0.000295755
0.0268437,0.000405306
0.0321282,0.000555153
0.0384613,0.000759975
0.0460529,0.00103972
0.0551557,0.00142148
0.0660735,0.00194199
0.0791717,0.00265097
0.0948901,0.00361563
0.113758,0.00492667
0.136412,0.0067062
0.163621,0.00911832
0.196308,0.012383
0.235589,0.0167944
0.282806,0.0227446
0.339578,0.0307547
0.40786,0.0415146
0.490008,0.0559341
0.588867,0.0752076
0.707871,0.100895
0.851165,0.13502
1.02376,0.180194
1.23171,0.239755
1.48232,0.317935
1.78379,0.419826
2.14387,0.550882
2.5723,0.717436
3.0825,0.92729
3.68871,1.18856
4.40717,1.50939
5.2597,1.89862
6.27402,2.36501
7.48159,2.91481
8.91299,3.5473
10.6049,4.25389
12.6045,5.0161
14.9599,5.79912
17.7022,6.54496
20.8316,7.17324
24.3688,7.59482
28.2632,7.72521
32.3992,7.50989
36.6205,6.94675
40.7458,6.09463
44.5884,5.06107
47.9703,3.97619
50.7471,2.95941
52.8621,2.09131
54.3162,1.41737
55.1468,0.953172
55.4136,0.691361
55.1922,0.609584
54.5588,0.677109
53.5819,0.858998
52.3138,1.11792
50.7986,1.41761
49.0756,1.72559
47.1832,2.01569
45.1585,2.26881
43.0411,2.47411
40.8659,2.62631
38.6681,2.72573
36.4799,2.77611
34.33,2.78307
32.236,2.75205
30.2121,2.68907
28.2671,2.60005
26.4051,2.49037
24.6288,2.36517
22.9395,2.22912
21.3373,2.08635
19.8236,1.94063
18.3981,1.79503
17.0597,1.65205
15.8076,1.51374
14.6397,1.38164
13.5529,1.25686
12.5433,1.14012
11.6068,1.03183
10.7391,0.93212
9.93592,0.840896
9.19348,0.757967
8.5083,0.683053
7.87686,0.615801
7.29586,0.555825
6.76159,0.502632
6.27079,0.455749
5.82031,0.414692
5.40712,0.378968
5.02833,0.348089
4.68126,0.321594
4.36362,0.299098
4.07374,0.280392
3.81,0.265289
3.57067,0.253591
3.35467,0.245318
3.16162,0.240798
2.99122,0.240472
2.84306,0.244869
2.71692,0.254732
2.61301,0.271226
2.53205,0.296085
2.47413,0.331152
2.43915,0.37861
2.42839,0.44221
2.44006,0.524158
