mean,variance
0.00268021,2.38911e-06
0.00316564,3.15723e-06
0.00373307,4.19023e-06
0.0043986,5.5693e-06
0.00518028,7.40558e-06
0.00609902,9.84763e-06
0.00717931,1.30925e-05
0.00844997,1.74011e-05
0.00994493,2.31175e-05
0.0117041,3.0696e-05
0.0137747,4.0735e-05
0.0162122,5.40216e-05
0.0190821,7.15902e-05
0.0224615,9.47981e-05
0.0264414,0.000125423
0.0311293,0.000165793
0.0366516,0.000218943
0.0431579,0.000288833
0.0508244,0.000380615
0.0598547,0.000500917
0.070471,0.000658049
0.0829241,0.000862419
0.0974368,0.00112594
0.114256,0.00146281
0.133782,0.00189236
0.156543,0.0024403
0.183223,0.00314101
0.214611,0.00403829
0.251678,0.00518925
0.295526,0.00666543
0.347398,0.00855514
0.40874,0.0109676
0.481259,0.0140374
0.566967,0.0179298
0.668248,0.022846
0.787919,0.0290294
0.929313,0.036772
1.09638,0.0464215
1.29377,0.0583887
1.52241,0.0728642
1.77949,0.0896989
2.06348,0.108647
2.3745,0.129446
2.71342,0.151799
3.07942,0.175229
3.46976,0.199051
3.89084,0.223156
4.34861,0.247468
4.8428,0.271484
5.36775,0.294292
5.91373,0.314673
6.47127,0.331487
7.02881,0.343611
7.57673,0.35032
8.10342,0.351084
8.59748,0.345803
9.05382,0.335162
9.47064,0.320296
9.84724,0.302496
10.186,0.28312
10.4909,0.263351
10.7675,0.244084
11.0223,0.225828
11.2603,0.208745
11.4869,0.192758
11.7045,0.177676
11.9138,0.163333
12.1144,0.149632
12.3057,0.136539
12.4872,0.12406
12.6577,0.112254
12.815,0.101241
12.959,0.0910612
13.0907,0.0817064
13.2119,0.0731491
13.3238,0.0653833
13.4275,0.058425
13.5235,0.052331
13.6081,0.0473273
13.6807,0.043463
13.7427,0.0407168
13.7962,0.0390679
13.843,0.0385345
13.886,0.0391658
13.9258,0.0410878
13.9674,0.044469
14.0113,0.0495978
14.0566,0.0567607
14.1012,0.0661618
14.1474,0.0781381
14.1979,0.0931842
14.2551,0.111934
14.3211,0.135176
14.398,0.163879
14.4879,0.199207
14.5921,0.242481
14.7122,0.295214
14.8499,0.359295
15.0069,0.436853
15.1845,0.530314
15.3835,0.642183
15.6034,0.774764
15.8436,0.930234
16.1037,1.11117
16.3831,1.32006
16.6808,1.55905
16.9953,1.83009
17.3257,2.13532
17.672,2.47794
18.0355,2.8625
