mean,variance
0.018489,0.000234785
0.0232736,0.00035593
0.0293013,0.000539401
0.0368971,0.000817128
0.0464715,0.00123731
0.0585427,0.00187267
0.073766,0.00283277
0.0929691,0.00428264
0.117199,0.00647048
0.147778,0.00976927
0.186381,0.0147388
0.235125,0.0222183
0.296691,0.0334636
0.374472,0.0503521
0.472762,0.0756847
0.597004,0.113633
0.75409,0.170397
0.952756,0.255173
1.20408,0.381566
1.52209,0.569647
1.92436,0.848771
2.43362,1.26224
3.07857,1.87329
3.8951,2.77328
4.92843,4.09377
6.23406,6.0205
7.88386,8.81937
9.96812,12.8648
12.5911,18.6578
15.8738,26.852
19.976,38.3339
25.102,54.2892
31.5005,76.2466
39.4863,106.175
49.4771,146.654
61.9793,200.835
77.6385,272.567
97.2113,366.101
121.67,486.238
152.238,638.189
190.304,826.793
237.198,1054.98
293.585,1320.44
359.607,1616.85
433.823,1929.93
513.02,2236.17
593.002,2507.35
669.164,2714.76
737.406,2836.19
794.94,2864.09
840.314,2805.74
873.355,2680.35
894.787,2512.44
905.764,2324.85
907.621,2135.55
901.736,1956.93
889.4,1795.81
871.781,1654.74
849.88,1533.21
824.572,1429.18
796.621,1339.99
766.708,1263.06
735.433,1196.03
703.33,1136.96
670.847,1084.15
638.388,1036.35
606.29,992.514
574.83,951.829
544.219,913.651
514.603,877.49
486.087,843.006
458.71,809.848
432.504,777.827
407.486,746.844
383.661,716.855
361.022,687.844
339.546,659.786
319.201,632.621
299.969,606.439
281.821,581.266
264.715,557.097
248.61,533.916
233.462,511.702
219.226,490.426
205.858,470.058
193.314,450.581
181.551,431.963
170.529,414.202
160.215,397.348
150.552,381.194
141.5,365.683
133.023,350.777
125.09,336.51
117.677,322.966
110.757,310.21
104.305,298.274
98.2989,287.229
92.712,277.065
87.5167,267.729
82.7097,259.516
78.302,252.927
74.3062,248.498
70.7339,246.781
67.6196,248.775
64.9952,255.592
62.8924,268.582
61.3123,288.838
60.2403,317.427
59.6803,356.12
59.5985,406.124
