mean,variance
0.00970863,0.000307945
0.0119229,0.000441544
0.0146434,0.000633438
0.0179897,0.000909109
0.0221091,0.00130525
0.027183,0.00187466
0.0334365,0.00269337
0.0411484,0.00387082
0.0506642,0.0055646
0.0624129,0.00800161
0.076927,0.0115086
0.0948682,0.0165559
0.117059,0.0238209
0.144523,0.0342784
0.178534,0.0493314
0.220679,0.0709983
0.272936,0.102182
0.337774,0.147053
0.418272,0.211604
0.518279,0.304435
0.642604,0.43788
0.797264,0.629605
0.989789,0.904889
1.22961,1.29984
1.52856,1.86598
1.90127,2.67618
2.3652,3.83139
2.94445,5.47939
3.66857,7.82804
4.57452,11.1696
5.70871,15.9137
7.12961,22.6324
8.91091,32.1202
11.1456,45.4744
13.9508,64.1994
17.4749,90.3414
21.9049,126.656
27.4775,176.813
34.492,245.628
43.3272,339.323
54.4564,465.693
68.4052,633.447
85.7391,851.271
107.226,1128.67
133.685,1473.24
165.885,1887.31
204.593,2366.4
250.41,2896.23
303.377,3448.59
362.897,3983.04
427.904,4454.92
496.41,4818.67
565.961,5038.25
633.835,5092.7
697.453,4979.83
754.884,4717.35
804.786,4336.85
846.313,3876.85
879.404,3380.14
904.442,2886.11
922.054,2426.18
932.982,2021.93
938.021,1685.53
937.966,1421.12
933.548,1226.18
925.428,1093.79
914.204,1014.62
900.431,978.384
884.555,974.503
866.956,993.271
847.901,1026.27
827.61,1066.66
806.328,1109.13
784.286,1149.6
761.679,1185.18
738.699,1213.88
715.513,1234.55
692.318,1246.32
669.299,1248.92
646.57,1242.89
624.212,1229.21
602.287,1209.08
580.846,1183.74
559.941,1154.42
539.609,1122.31
519.879,1088.58
500.751,1054.43
482.217,1020.87
464.257,988.671
446.853,958.321
429.993,930.091
413.661,904.085
397.846,880.28
382.554,858.628
367.795,839.148
353.593,822
339.944,807.285
326.839,795.019
314.255,785.098
302.179,777.42
290.596,771.892
279.492,768.388
268.849,766.703
258.66,766.857
248.923,768.943
239.638,773.223
230.804,779.945
222.417,789.343
214.469,801.641
206.949,816.995
