mean,variance
0.00061475,9.60158e-08
0.000819309,1.08484e-07
0.00102897,1.39902e-07
0.00126765,1.88372e-07
0.00154976,2.57436e-07
0.00188752,3.53831e-07
0.00229392,4.87507e-07
0.00278396,6.7242e-07
0.00337557,9.27842e-07
0.0040903,1.28025e-06
0.00495424,1.76592e-06
0.00599891,2.43444e-06
0.00726245,3.35351e-06
0.00879104,4.61534e-06
0.0106405,6.34533e-06
0.0128786,8.71363e-06
0.0155872,1.19506e-05
0.0188655,1.63675e-05
0.0228335,2.23839e-05
0.0276367,3.05635e-05
0.0334513,4.16626e-05
0.0404905,5.66917e-05
0.0490127,7.69983e-05
0.0593308,0.000104373
0.0718238,0.000141186
0.0869508,0.000190569
0.105268,0.00025664
0.127449,0.000344797
0.15431,0.000462096
0.18684,0.000617725
0.226236,0.000823618
0.273951,0.00109524
0.331741,0.00145262
0.401738,0.00192168
0.486522,0.00253608
0.588877,0.00333633
0.710939,0.00436113
0.856026,0.00566488
1.02824,0.00731984
1.23142,0.00940783
1.468,0.0120032
1.73553,0.0151063
2.02602,0.0185959
2.33109,0.0223048
2.64073,0.0260069
2.94253,0.0294049
3.22422,0.0322016
3.47606,0.0341804
3.69311,0.0352843
3.87475,0.0356024
4.02051,0.0352383
4.13055,0.0343073
4.20577,0.0329285
4.24823,0.0312291
4.26068,0.0293278
4.24634,0.027329
4.20856,0.0253159
4.15134,0.023363
4.07849,0.0215208
3.99376,0.019822
3.90038,0.0182781
3.80085,0.0168868
3.69688,0.0156392
3.58969,0.0145251
3.48012,0.013535
3.3689,0.0126607
3.25682,0.0118943
3.14463,0.0112278
3.03318,0.0106528
2.92336,0.0101602
2.81613,0.00974099
2.71228,0.00938774
2.6124,0.00909539
2.51682,0.00886114
2.42569,0.00868352
2.33884,0.00856185
2.25595,0.00849461
2.17641,0.00847843
2.09942,0.00850684
2.02443,0.00857036
1.95105,0.00865829
1.87909,0.0087601
1.80853,0.00886647
1.73951,0.00897022
1.67233,0.0090674
1.60752,0.00915811
1.54548,0.00924436
1.48653,0.00932978
1.43098,0.00941975
1.37875,0.00951581
1.32969,0.00961856
1.28362,0.00972803
1.24073,0.00985169
1.20137,0.010002
1.16591,0.0101939
1.13458,0.0104413
1.10795,0.0107693
1.0865,0.0112055
1.07073,0.0117823
1.06104,0.0125356
1.05778,0.0135062
1.06129,0.0147423
1.07208,0.0163092
1.09059,0.0182828
1.1173,0.0207551
1.15222,0.0238105
1.19532,0.0275438
1.24663,0.0320654
1.30646,0.0375278
1.375,0.0440947
