mean,variance
0.000163743,3.07313e-09
0.000253271,2.96326e-09
0.000341775,3.62647e-09
0.000440405,4.82445e-09
0.000555411,6.59504e-09
0.000691704,9.09624e-09
0.000854239,1.25848e-08
0.00104863,1.7431e-08
0.00128151,2.41539e-08
0.0015608,3.34735e-08
0.00189604,4.63865e-08
0.00229869,6.427e-08
0.00278253,8.90255e-08
0.00336418,1.23277e-07
0.00406363,1.70641e-07
0.00490492,2.36105e-07
0.00591703,3.26534e-07
0.00713483,4.51381e-07
0.00860028,6.23652e-07
0.0103565,8.60192e-07
0.0124533,1.18331e-06
0.014947,1.62215e-06
0.0179066,2.21569e-06
0.0214156,3.01593e-06
0.025574,4.09239e-06
0.0304932,5.53542e-06
0.0363063,7.4646e-06
0.0431858,1.00438e-05
0.0513575,1.35024e-05
0.0610905,1.81528e-05
0.0727101,2.44241e-05
0.0866173,3.29112e-05
0.103318,4.44534e-05
0.123419,6.02194e-05
0.147614,8.18047e-05
0.176629,0.000111306
0.211329,0.000151577
0.252732,0.000206497
0.302027,0.000281334
0.360554,0.000383159
0.429836,0.000521469
0.511485,0.000708694
0.606991,0.000960318
0.71689,0.00129228
0.839924,0.00171545
0.973367,0.00223176
1.11381,0.00283297
1.25734,0.00349859
1.40029,0.00419945
1.53997,0.00490399
1.67485,0.00558461
1.80421,0.00621985
1.92781,0.00679446
2.04568,0.00729793
2.15796,0.00772438
2.26489,0.00807121
2.36675,0.00833841
2.46383,0.00852803
2.55639,0.00864283
2.64466,0.00868659
2.72887,0.0086632
2.80923,0.00857785
2.88591,0.00843561
2.9591,0.00824175
3.02896,0.00800225
3.09569,0.00772346
3.15944,0.00741192
3.22039,0.00707448
3.27871,0.00671748
3.33453,0.00634784
3.38799,0.00597265
3.43921,0.00559893
3.4883,0.00523404
3.53541,0.00488492
3.58072,0.00455861
3.62444,0.00426178
3.66671,0.00400035
3.70768,0.00377976
3.74748,0.00360532
3.78627,0.00348209
3.82414,0.00341487
3.86113,0.00340818
3.89725,0.00346637
3.93251,0.00359373
3.96693,0.00379449
4.00055,0.00407288
4.03335,0.00443294
4.06542,0.00487877
4.09683,0.0054145
4.12765,0.00604426
4.15794,0.00677217
4.18769,0.00760219
4.21687,0.00853799
4.24549,0.00958372
4.27353,0.0107435
4.30102,0.0120214
4.32801,0.0134217
4.35456,0.0149486
4.38084,0.0166069
4.40702,0.0184019
4.43332,0.0203399
4.45996,0.0224279
4.48711,0.0246731
4.51495,0.0270833
4.54356,0.029666
4.57284,0.0324257
4.6028,0.0353696
4.63347,0.0385052
4.66491,0.0418413
4.69723,0.0453884
