mean,variance
0.0422945,0.000325475
0.0472977,0.000395171
0.0528949,0.000479623
0.0591567,0.000581913
0.0661625,0.000705753
0.0740011,0.000855615
0.0827717,0.00103688
0.0925857,0.00125602
0.103568,0.00152082
0.115857,0.00184062
0.12961,0.00222663
0.145002,0.00269231
0.162229,0.00325374
0.18151,0.00393023
0.203092,0.00474483
0.22725,0.00572508
0.254292,0.00690388
0.284565,0.00832045
0.318456,0.0100215
0.356066,0.0120454
0.397731,0.014445
0.443909,0.0172853
0.495147,0.020645
0.551988,0.0246123
0.615092,0.0292934
0.68526,0.0348173
0.763458,0.041342
0.850766,0.0490554
0.94845,0.0581853
1.05808,0.0690176
1.18121,0.0818747
1.31949,0.0971274
1.47473,0.115205
1.64896,0.136609
1.84442,0.161918
2.06366,0.191809
2.30953,0.227067
2.58521,0.268602
2.89429,0.317473
3.24079,0.374905
3.62923,0.44232
4.06467,0.521369
4.55279,0.613969
5.09833,0.721999
5.70391,0.846905
6.37019,0.989522
7.09506,1.14964
7.87318,1.32558
8.69679,1.5142
9.55433,1.71035
10.4338,1.90785
11.3223,2.09969
12.203,2.27727
13.0607,2.4328
13.8823,2.55976
14.6543,2.65275
15.3656,2.70864
16.0096,2.72718
16.5836,2.71067
17.0932,2.66437
17.545,2.59375
17.9458,2.50391
18.3024,2.39932
18.6226,2.28381
18.913,2.16034
19.1795,2.03115
19.4247,1.89786
19.652,1.76193
19.8599,1.62462
20.0472,1.48726
20.2129,1.35122
20.358,1.21772
20.4835,1.08792
20.5904,0.962896
20.6788,0.843718
20.7521,0.731037
20.8125,0.625519
20.8626,0.527772
20.9034,0.438476
20.9356,0.358313
20.9603,0.287844
20.9794,0.227542
20.9889,0.178323
20.984,0.140802
20.9592,0.115218
20.909,0.101407
20.8284,0.0988044
20.7135,0.10656
20.5611,0.123651
20.374,0.149027
20.1577,0.18176
19.9188,0.221023
19.6641,0.266067
19.3998,0.316223
19.1312,0.370943
18.86,0.429672
18.5872,0.491922
18.3132,0.557201
18.0383,0.625063
17.7625,0.69506
17.4866,0.766836
17.2116,0.840123
16.9405,0.915188
16.6779,0.992788
16.429,1.07441
16.1986,1.16195
15.9903,1.25761
15.8076,1.36429
15.6549,1.486
15.5372,1.62811
