mean,variance
0.000716683,1.67264e-07
0.00093366,2.04501e-07
0.00116701,2.73431e-07
0.00143881,3.76093e-07
0.00176395,5.22374e-07
0.00215643,7.28328e-07
0.00263183,1.01718e-06
0.00320859,1.42161e-06
0.00390896,1.98723e-06
0.00475993,2.77746e-06
0.00579435,3.88031e-06
0.00705212,5.41771e-06
0.00858187,7.55824e-06
0.0104427,1.05346e-05
0.0127067,1.46674e-05
0.0154615,2.03974e-05
0.0188139,2.83291e-05
0.0228939,3.92898e-05
0.0278598,5.44086e-05
0.0339045,7.52222e-05
0.0412629,0.000103816
0.0502211,0.00014301
0.0611277,0.000196606
0.0744073,0.000269706
0.0905773,0.000369131
0.110268,0.000503954
0.134248,0.000686186
0.163452,0.000931633
0.199021,0.00126096
0.242346,0.00170101
0.295119,0.00228634
0.359406,0.00306109
0.437723,0.004081
0.533135,0.00541573
0.649383,0.00715117
0.791021,0.00939164
0.963605,0.0122618
1.1739,0.0159077
1.43017,0.0204972
1.73911,0.0261385
2.10606,0.0328481
2.53203,0.0404507
3.01356,0.0485548
3.54319,0.0565891
4.10616,0.0637837
4.68217,0.0693228
5.25182,0.0726365
5.7961,0.073459
6.29575,0.0718216
6.73773,0.0681479
7.11456,0.0631027
7.42495,0.0574541
7.67142,0.0519034
7.85681,0.0469599
7.98539,0.0429584
8.06188,0.0400599
8.09127,0.038284
8.07757,0.0375373
8.0236,0.0376547
7.93198,0.0384426
7.80668,0.0397114
7.6522,0.0412812
7.47334,0.0429919
7.27422,0.0447075
7.05902,0.0463217
6.83232,0.0477548
6.59751,0.0489531
6.35674,0.049888
6.11201,0.0505513
5.86537,0.0509498
5.61865,0.0511003
5.37342,0.0510261
5.13083,0.0507536
4.89188,0.0503106
4.65801,0.0497239
4.43056,0.0490188
4.21052,0.0482197
3.99876,0.0473493
3.7959,0.0464292
3.6026,0.0454815
3.41995,0.0445372
3.24843,0.0436283
3.08814,0.0427845
2.93876,0.0420282
2.80009,0.0413831
2.67186,0.0408722
2.55353,0.0405076
2.44346,0.0402545
2.34078,0.0400957
2.24519,0.0400336
2.15669,0.0400868
2.07522,0.0402725
2.00072,0.0406119
1.93323,0.0411332
1.87413,0.0419621
1.82409,0.0431952
1.78346,0.0449191
1.75234,0.0472137
1.73095,0.0501843
1.71951,0.0539548
1.71866,0.0587108
1.72901,0.0646765
1.75098,0.0720884
1.78486,0.081214
1.83076,0.0923416
1.88871,0.105792
1.95897,0.121973
2.04181,0.141361
2.13791,0.164592
2.24816,0.192462
