mean,variance
0.000537016,4.94043e-08
0.000744432,4.93292e-08
0.00094584,6.10219e-08
0.00117059,8.13169e-08
0.0014347,1.1119e-07
0.00175066,1.53522e-07
0.00213107,2.12858e-07
0.00259032,2.95719e-07
0.0031455,4.1124e-07
0.00381717,5.72114e-07
0.0046302,7.95923e-07
0.00561468,1.10698e-06
0.00680708,1.53882e-06
0.00825157,2.13772e-06
0.0100017,2.96732e-06
0.0121222,4.11509e-06
0.0146919,5.70106e-06
0.017806,7.88962e-06
0.02158,1.09056e-05
0.0261433,1.50447e-05
0.0316589,2.07123e-05
0.0383302,2.8464e-05
0.0464066,3.90584e-05
0.0561921,5.35282e-05
0.0680574,7.32772e-05
0.0824462,0.000100193
0.099894,0.000136817
0.12105,0.000186562
0.1467,0.000254011
0.177799,0.000345309
0.215504,0.000468684
0.261215,0.000635154
0.316636,0.000859467
0.383826,0.00116139
0.465288,0.00156745
0.564053,0.00211341
0.683798,0.00284767
0.828982,0.00383616
1.00501,0.00516956
1.21845,0.00697378
1.47723,0.00942603
1.78865,0.0127442
2.15756,0.0171633
2.58649,0.0229247
3.06889,0.0301121
3.58922,0.0385434
4.12546,0.0477275
4.65227,0.0569018
5.14126,0.0650482
5.56771,0.0711798
5.91471,0.0746121
6.17553,0.0751573
6.35095,0.0730469
6.44652,0.0687811
6.46996,0.0629583
6.43093,0.0562151
6.33958,0.0491255
6.20571,0.0421511
6.03829,0.0356248
5.84526,0.0297584
5.63347,0.0246623
5.40885,0.0203698
5.1764,0.0168591
4.94025,0.0140706
4.70369,0.011923
4.46935,0.0103259
4.23924,0.00918785
4.0148,0.00842284
3.79713,0.00795265
3.58699,0.00770838
3.38493,0.00763085
3.19129,0.00767029
3.00624,0.0077857
2.82985,0.00794397
2.66209,0.00811894
2.50285,0.0082906
2.35193,0.00844395
2.20913,0.00856828
2.07422,0.00865653
1.94698,0.00870471
1.82716,0.00871147
1.7145,0.00867741
1.60878,0.00860485
1.50965,0.00849689
1.41677,0.00835712
1.32975,0.00818888
1.24817,0.00799526
1.17164,0.00777919
1.0998,0.00754351
1.03229,0.00729074
0.968802,0.00702373
0.909079,0.00674518
0.852901,0.00645813
0.800085,0.00616575
0.750463,0.00587106
0.703877,0.00557684
0.660187,0.00528575
0.61925,0.00499994
0.580928,0.00472129
0.545079,0.00445124
0.511556,0.00419073
0.480203,0.00394017
0.45087,0.00369975
0.423421,0.00346968
0.397734,0.00325014
0.373698,0.00304129
0.351213,0.00284323
0.330188,0.00265603
0.310546,0.00247978
0.29221,0.00231445
