mean,variance
0.00213954,4.45609e-06
0.00262278,6.30542e-06
0.00320703,8.94238e-06
0.0039163,1.26919e-05
0.00477863,1.80189e-05
0.00582787,2.55842e-05
0.00710517,3.63254e-05
0.00866074,5.15718e-05
0.0105559,7.32065e-05
0.0128654,0.000103897
0.0156806,0.000147417
0.0191133,0.000209109
0.0232997,0.000296525
0.0284068,0.000420334
0.0346382,0.000595609
0.0422432,0.000843616
0.0515265,0.00119435
0.0628608,0.00169008
0.0767024,0.00239032
0.0936091,0.0033788
0.114264,0.00477321
0.139503,0.00673881
0.170322,0.00950499
0.207918,0.0133899
0.25372,0.0188312
0.309539,0.0264431
0.377748,0.0371024
0.461206,0.0520312
0.563362,0.072927
0.688428,0.102148
0.841565,0.142968
1.0291,0.199924
1.25879,0.279298
1.54016,0.389768
1.8849,0.543309
2.30734,0.756418
2.82415,1.05127
3.45536,1.45781
4.22549,2.01658
5.1647,2.78259
6.31197,3.83209
7.71492,5.26927
9.42885,7.23318
11.5226,9.91359
14.0748,13.5614
17.1676,18.4936
20.8805,25.0929
25.2796,33.789
30.4017,45.0099
36.2473,59.1225
42.8286,76.5043
50.1296,97.4406
58.1199,122.12
66.7643,150.645
76.0299,183.052
85.9055,219.403
96.3905,259.772
107.505,304.318
119.3,353.38
131.843,407.449
145.149,466.778
159.161,531.111
173.776,599.73
188.862,671.466
204.252,744.624
219.769,817.125
235.244,886.767
250.546,951.544
265.536,1009.41
280.115,1058.75
294.235,1098.64
307.897,1128.85
321.118,1149.47
333.94,1160.94
346.449,1164.17
358.824,1160.79
371.223,1152.08
383.761,1138.83
396.499,1121.37
409.438,1099.67
422.526,1073.45
435.676,1042.39
448.796,1006.31
461.827,965.398
474.723,920.127
487.449,871.183
499.993,819.562
512.389,766.618
524.778,714.287
537.244,664.255
549.87,618.262
562.718,578.087
575.868,545.735
589.391,523.404
603.311,513.311
617.541,517.26
632.078,537.707
646.956,577.621
662.243,640.552
677.935,729.8
694.04,849.095
710.58,1002.63
727.604,1195.45
745.196,1433.64
763.411,1723.64
782.265,2071.91
801.84,2487.07
822.214,2978.66
843.454,3557.25
865.575,4233.11
