mean,variance
0.00125644,5.78914e-07
0.00154861,7.78684e-07
0.00189068,1.07354e-06
0.00229911,1.49159e-06
0.00278994,2.07802e-06
0.00338125,2.89793e-06
0.00409444,4.04262e-06
0.00495525,5.63925e-06
0.00599477,7.86434e-06
0.00725056,1.09625e-05
0.0087681,1.52725e-05
0.0106024,2.1262e-05
0.0128201,2.9577e-05
0.0155018,4.11072e-05
0.0187451,5.70766e-05
0.0226683,7.91663e-05
0.0274146,0.00010968
0.0331574,0.000151771
0.0401071,0.000209741
0.0485182,0.000289452
0.058679,0.000398644
0.0709137,0.000547379
0.0856535,0.000749503
0.10342,0.00102358
0.124843,0.00139438
0.150682,0.00189486
0.181874,0.00256906
0.219614,0.00347701
0.265372,0.00469934
0.320875,0.00634163
0.388199,0.00854225
0.469853,0.0114821
0.568885,0.0153969
0.688991,0.0205926
0.834589,0.0274616
1.01055,0.0364808
1.22278,0.0482501
1.47807,0.0635031
1.78403,0.0831139
2.14915,0.108113
2.58278,0.139705
3.09302,0.179085
3.68232,0.226865
4.35054,0.283148
5.08761,0.346445
5.87515,0.413449
6.68877,0.479236
7.50171,0.538075
8.28898,0.584673
9.03265,0.615676
9.72028,0.629824
10.3466,0.628104
10.9116,0.613002
11.4177,0.587659
11.8694,0.555297
12.2714,0.518811
12.6288,0.480577
12.9461,0.442385
13.2275,0.405511
13.4769,0.370771
13.6976,0.338633
13.8926,0.309295
14.0647,0.282762
14.2164,0.258896
14.35,0.237483
14.4677,0.218259
14.5716,0.200945
14.6631,0.185261
14.7433,0.170962
14.8133,0.157831
14.874,0.145687
14.9265,0.134379
14.9718,0.123788
15.0109,0.113828
15.0448,0.104433
15.0749,0.0955525
15.102,0.0871807
15.1265,0.0793473
15.1486,0.0721079
15.1683,0.065536
15.1854,0.0597131
15.1996,0.0547173
15.2108,0.0506209
15.2192,0.0474821
15.2249,0.0453558
15.2282,0.0442968
15.2294,0.0443584
15.2291,0.0455967
15.2271,0.04807
15.2234,0.05183
15.2179,0.056918
15.2103,0.0633627
15.2002,0.0711771
15.1872,0.0803579
15.1712,0.0908931
15.1522,0.102775
15.1302,0.115998
15.1057,0.130567
15.0793,0.146503
15.0514,0.163843
15.0227,0.182636
14.9936,0.202931
14.9646,0.224772
14.9356,0.248178
14.9069,0.273182
14.8788,0.29982
14.8517,0.328182
14.8264,0.358392
14.8037,0.390656
14.7848,0.425273
