mean,variance
0.00237421,8.8582e-06
0.00289998,1.23892e-05
0.00353505,1.73511e-05
0.00430543,2.43088e-05
0.00524143,3.40579e-05
0.00637971,4.77123e-05
0.00776497,6.68281e-05
0.00945189,9.35774e-05
0.0115074,0.000130989
0.0140134,0.00018328
0.0170704,0.00025632
0.0208016,0.000358265
0.025358,0.000500432
0.0309253,0.000698503
0.0377311,0.000974168
0.0460554,0.00135737
0.0562423,0.00188936
0.0687152,0.00262682
0.083995,0.00364746
0.102723,0.00505743
0.12569,0.00700129
0.153869,0.00967516
0.188463,0.0133439
0.230952,0.0183632
0.283167,0.0252086
0.347368,0.0345108
0.426348,0.0471
0.523558,0.0640594
0.64327,0.0867859
0.790697,0.117045
0.972419,0.157062
1.19655,0.209565
1.47312,0.277803
1.81442,0.365478
2.23595,0.476654
2.75688,0.615384
3.40094,0.785083
4.19761,0.987507
5.18346,1.22121
6.3992,1.479
7.87863,1.74508
9.6328,1.99483
11.6435,2.19919
13.8765,2.33123
16.2756,2.37452
18.766,2.32832
21.2562,2.20835
23.6556,2.03959
25.8908,1.84686
27.9117,1.64975
29.6826,1.46249
31.1824,1.29306
32.4011,1.14427
33.3428,1.01536
34.0232,0.904455
34.4643,0.810079
34.6901,0.731401
34.7246,0.668018
34.5912,0.619712
34.3125,0.586211
33.9098,0.567137
33.403,0.561832
32.8095,0.569244
32.1439,0.587922
31.4197,0.616244
30.6493,0.652551
29.8444,0.695241
29.0141,0.742577
28.1645,0.792604
27.3014,0.843595
26.4298,0.894002
25.5538,0.942454
24.6776,0.987843
23.8046,1.02926
22.9382,1.06606
22.0827,1.09801
21.2419,1.12503
20.4193,1.14723
19.6177,1.1648
18.8389,1.17793
18.084,1.18687
17.354,1.19192
16.6492,1.19342
15.9694,1.19164
15.3143,1.18688
14.6838,1.17952
14.0777,1.16994
13.4955,1.15857
12.9372,1.14584
12.4017,1.13189
11.8879,1.1169
11.3955,1.10118
10.9241,1.08512
10.4735,1.06917
10.0437,1.05385
9.63427,1.03963
9.24585,1.02742
8.87858,1.01805
8.53218,1.01217
8.20606,1.01023
7.89946,1.01264
7.61132,1.01953
7.34046,1.03088
7.08582,1.04668
6.84672,1.06719
6.62269,1.09283
6.41378,1.12459
6.22026,1.16381
6.04283,1.21252
5.88244,1.27339
