mean,variance
0.000902465,5.07427e-07
0.00113336,6.98889e-07
0.00140446,9.79556e-07
0.00173038,1.38028e-06
0.00212521,1.94858e-06
0.00260488,2.75294e-06
0.00318843,3.89044e-06
0.00389896,5.49807e-06
0.00476464,7.76883e-06
0.00581986,1.09742e-05
0.00710662,1.54958e-05
0.00867624,2.1869e-05
0.0105914,3.08449e-05
0.0129289,4.34749e-05
0.0157824,6.12295e-05
0.0192665,8.61623e-05
0.0235215,0.000121137
0.0287187,0.000170139
0.0350681,0.000238711
0.0428262,0.000334536
0.0523073,0.000468257
0.0638957,0.000654578
0.0780623,0.000913766
0.0953831,0.0012737
0.116564,0.00177262
0.142468,0.00246285
0.174155,0.00341576
0.212921,0.00472843
0.260353,0.00653241
0.3184,0.00900547
0.389445,0.0123868
0.476412,0.0169972
0.582885,0.0232652
0.713258,0.0317605
0.872917,0.0432385
1.06847,0.0586962
1.30802,0.0794458
1.60149,0.10721
1.96109,0.144248
2.40176,0.193527
2.93897,0.258496
3.58092,0.341617
4.32666,0.44314
5.17665,0.562426
6.12742,0.69697
7.1706,0.842079
8.29254,0.99083
9.47669,1.13507
10.7053,1.26652
11.9606,1.37775
13.2199,1.46146
14.461,1.51238
15.6605,1.52712
16.7966,1.5052
17.8519,1.44941
18.8137,1.36544
19.6737,1.26061
20.4308,1.14373
21.0869,1.02305
21.6482,0.905812
22.1233,0.79757
22.5215,0.701717
22.8514,0.619701
23.1211,0.551462
23.338,0.495899
23.5098,0.451244
23.644,0.415279
23.7473,0.385624
23.8266,0.359926
23.8885,0.336033
23.9377,0.312317
23.9783,0.287752
24.0138,0.26185
24.0487,0.234442
24.0889,0.205779
24.1355,0.177292
24.1859,0.151269
24.2331,0.13028
24.2654,0.116442
24.2757,0.110481
24.2592,0.112354
24.2137,0.121651
24.1402,0.137896
24.0426,0.160853
23.9296,0.190918
23.8162,0.229835
23.7136,0.280317
23.6287,0.345792
23.5662,0.430452
23.5239,0.537411
23.4997,0.669554
23.4916,0.829293
23.4977,1.01873
23.5174,1.24013
23.5501,1.49573
23.5947,1.78714
23.6565,2.1214
23.7407,2.5073
23.8528,2.95606
23.9979,3.48048
24.1795,4.09356
24.402,4.81221
24.6697,5.65562
24.9946,6.66151
25.3943,7.88857
25.891,9.42052
26.5113,11.376
27.2861,13.9187
28.2447,17.2542
29.4239,21.6761
