mean,variance
0.000166111,3.50119e-09
0.000254475,3.30245e-09
0.000340174,3.90659e-09
0.000433649,5.03408e-09
0.000540575,6.68672e-09
0.000665122,8.98015e-09
0.000811248,1.21127e-08
0.000983274,1.63703e-08
0.00118618,2.21472e-08
0.00142581,2.99807e-08
0.00170907,4.05994e-08
0.00204417,5.49893e-08
0.0024408,7.44844e-08
0.0029105,1.00887e-07
0.00346691,1.36633e-07
0.00412624,1.85009e-07
0.00490771,2.50451e-07
0.00583414,3.38942e-07
0.00693255,4.58545e-07
0.00821604,6.17683e-07
0.00970508,8.27281e-07
0.0114258,1.1013e-06
0.0134119,1.45792e-06
0.0157136,1.9226e-06
0.0183984,2.53093e-06
0.0215498,3.33183e-06
0.0252771,4.39454e-06
0.0297045,5.81229e-06
0.0349684,7.70786e-06
0.0412266,1.02448e-05
0.0486647,1.36416e-05
0.0575022,1.81909e-05
0.0679996,2.42842e-05
0.0804655,3.24455e-05
0.0952665,4.33765e-05
0.112837,5.80163e-05
0.133694,7.76222e-05
0.158448,0.000103878
0.18774,0.00013893
0.222245,0.000185482
0.262749,0.000247027
0.310153,0.000328037
0.365489,0.000434249
0.430006,0.000573152
0.505056,0.000754188
0.592163,0.000989359
0.692866,0.00129329
0.808566,0.00168303
0.940096,0.00217626
1.08791,0.00279098
1.25288,0.00354882
1.43718,0.00448128
1.64494,0.00563867
1.88277,0.00710194
2.15038,0.00891998
2.44452,0.0111173
2.76064,0.0136957
3.09289,0.0166267
3.43402,0.0198424
3.7761,0.0232395
4.1126,0.0267063
4.44036,0.0301635
4.75795,0.0335568
5.06494,0.0368518
5.3614,0.0400291
5.64764,0.0430796
5.92402,0.0460012
6.19103,0.0487988
6.44905,0.0514793
6.69854,0.0540552
6.93997,0.0565414
7.17372,0.0589535
7.40021,0.0613102
7.61998,0.0636341
7.83348,0.0659476
8.04125,0.0682765
8.24368,0.0706448
8.44113,0.0730763
8.63401,0.0755967
8.82261,0.0782299
9.00701,0.0809961
9.18726,0.0839147
9.36351,0.0870077
9.53612,0.0903023
9.70556,0.0938297
9.8722,0.0976183
10.0364,0.101699
10.1987,0.106105
10.3597,0.110877
10.5202,0.116063
10.6816,0.121725
10.8451,0.127936
11.0135,0.134814
11.1895,0.142495
11.3762,0.151146
11.5766,0.160958
11.7932,0.172131
12.0277,0.184866
12.2811,0.199371
12.5535,0.215832
12.8448,0.234449
13.1544,0.255421
13.4814,0.278951
13.826,0.305295
14.1881,0.334742
14.5679,0.36761
14.966,0.404277
15.383,0.445159
15.82,0.490752
16.2782,0.541632
