iter,D_sim
0,0.00531774
0,0.00637497
0,0.00763934
0,0.00915168
0,0.0109608
0,0.0131252
0,0.0157146
0,0.0188129
0,0.0225202
0,0.0269562
0,0.0322643
0,0.0386162
0,0.0462171
0,0.0553128
0,0.0661973
0,0.0792224
0,0.0948093
0,0.113462
0,0.135783
0,0.162494
0,0.194459
0,0.232711
0,0.278486
0,0.333264
0,0.398814
0,0.477255
0,0.571122
0,0.683447
0,0.817857
0,0.978694
0,1.17115
0,1.40143
0,1.67697
0,2.00664
0,2.40108
0,2.87298
0,3.43753
0,4.11288
0,4.9207
0,5.88558
0,7.0277
0,8.35317
0,9.83594
0,11.4283
0,13.0624
0,14.6613
0,16.1491
0,17.4622
0,18.5559
0,19.4081
0,20.0179
0,20.3981
0,20.5693
0,20.5557
0,20.3828
0,20.076
0,19.6594
0,19.1545
0,18.5806
0,17.9548
0,17.2917
0,16.6037
0,15.9012
0,15.1929
0,14.4862
0,13.787
0,13.1001
0,12.4292
0,11.7772
0,11.146
0,10.5373
0,9.95153
0,9.38933
0,8.85127
0,8.33772
0,7.84883
0,7.38453
0,6.94437
0,6.52814
0,6.13527
0,5.7649
0,5.41609
0,5.08778
0,4.77896
0,4.48868
0,4.21599
0,3.95991
0,3.71951
0,3.49396
0,3.28227
0,3.08374
0,2.89764
0,2.72341
0,2.56057
0,2.4087
0,2.26734
0,2.13627
0,2.01504
0,1.9032
0,1.80016
0,1.70535
0,1.61818
0,1.53809
0,1.46461
0,1.39744
0,1.33646
0,1.28165
0,1.23304
0,1.1909
0,1.155
1,0.00567745
1,0.0067921
1,0.00812277
1,0.00971155
1,0.0116087
1,0.0138744
1,0.0165802
1,0.0198118
1,0.0236717
1,0.028282
1,0.0337888
1,0.0403665
1,0.0482235
1,0.0576086
1,0.0688193
1,0.0822106
1,0.0982067
1,0.117314
1,0.140139
1,0.167403
1,0.199971
1,0.238874
1,0.285345
1,0.340854
1,0.40716
1,0.486362
1,0.580969
1,0.693974
1,0.828956
1,0.990185
1,1.18276
1,1.41277
1,1.68749
1,2.0156
1,2.40747
1,2.87545
1,3.43431
1,4.10166
1,4.8985
1,5.84857
1,6.971
1,8.27083
1,9.72126
1,11.2746
1,12.8644
1,14.4161
1,15.8571
1,17.1281
1,18.1876
1,19.0164
1,19.6144
1,19.9947
1,20.1765
1,20.1825
1,20.0365
1,19.7621
1,19.3813
1,18.9141
1,18.3785
1,17.7903
1,17.1634
1,16.5095
1,15.8386
1,15.159
1,14.4781
1,13.8019
1,13.135
1,12.4814
1,11.8441
1,11.2254
1,10.6268
1,10.049
1,9.49274
1,8.95903
1,8.44852
1,7.96172
1,7.49888
1,7.05971
1,6.64443
1,6.25267
1,5.88367
1,5.53646
1,5.20999
1,4.90318
1,4.61514
1,4.34489
1,4.09144
1,3.85379
1,3.63116
1,3.4224
1,3.22689
1,3.04391
1,2.87309
