iter,D_sim
0,0.011612
0,0.014503
0,0.0181126
0,0.0226194
0,0.0282469
0,0.0352737
0,0.0440478
0,0.0550038
0,0.0686845
0,0.0857674
0,0.107099
0,0.133735
0,0.166996
0,0.208528
0,0.260388
0,0.325146
0,0.406008
0,0.506978
0,0.633056
0,0.790484
0,0.986346
0,1.22989
0,1.53388
0,1.91359
0,2.38787
0,2.98021
0,3.7199
0,4.64347
0,5.7965
0,7.2341
0,9.01738
0,11.2303
0,13.974
0,17.3754
0,21.6155
0,26.9019
0,33.4973
0,41.6969
0,51.8483
0,64.3779
0,79.7636
0,97.833
0,118.089
0,140.143
0,163.563
0,187.496
0,210.735
0,231.96
0,250.488
0,266.012
0,278.188
0,286.791
0,291.87
0,293.704
0,292.689
0,289.261
0,283.825
0,276.758
0,268.405
0,259.075
0,249.038
0,238.524
0,227.727
0,216.832
0,205.983
0,195.295
0,184.858
0,174.741
0,164.998
0,155.664
0,146.756
0,138.262
0,130.168
0,122.464
0,115.14
0,108.186
0,101.592
0,95.3461
0,89.4567
0,83.9269
0,78.7539
0,73.9301
0,69.4429
0,65.2774
0,61.4185
0,57.8483
0,54.5433
0,51.4801
0,48.6426
0,46.0038
0,43.5451
0,41.2506
0,39.1097
0,37.1187
0,35.2762
0,33.5762
0,32.0236
0,30.6167
0,29.3509
0,28.2268
0,27.2476
0,26.4155
0,25.73
0,25.1899
0,24.7949
0,24.539
0,24.4178
0,24.4285
0,24.5813
0,24.8563
1,0.00830093
1,0.0104479
1,0.013149
1,0.0165471
1,0.0208226
1,0.0262019
1,0.0329702
1,0.0414863
1,0.0522015
1,0.0656839
1,0.0826481
1,0.103993
1,0.130851
1,0.164644
1,0.207164
1,0.260665
1,0.327983
1,0.412683
1,0.519256
1,0.653348
1,0.821436
1,1.03203
1,1.29692
1,1.63034
1,2.05001
1,2.57818
1,3.24279
1,4.07899
1,5.13098
1,6.45263
1,8.1044
1,10.1698
1,12.75
1,15.9733
1,20.0231
1,25.1116
1,31.5097
1,39.5255
1,49.5248
1,61.9608
1,77.3468
1,95.5264
1,116.008
1,138.414
1,162.32
1,186.84
1,210.706
1,232.51
1,251.538
1,267.466
1,279.922
1,288.659
1,293.726
1,295.42
1,294.167
1,290.433
1,284.647
1,277.208
1,268.478
1,258.782
1,248.399
1,237.566
1,226.484
1,215.341
1,204.285
1,193.431
1,182.867
1,172.662
1,162.866
1,153.51
1,144.611
1,136.146
1,128.097
1,120.451
1,113.193
1,106.312
1,99.7961
1,93.6304
1,87.8254
1,82.3851
1,77.3065
1,72.582
1,68.198
1,64.1388
1,60.3885
1,56.9282
1,53.7327
1,50.7774
1,48.0453
1,45.5077
1,43.1452
1,40.9414
1,38.8861
1,36.9768
1,35.2135
1,33.5908
1,32.116
1,30.7882
1,29.6037
1,28.5642
1,27.6747
1,26.939
1,26.358
1,25.9313
1,25.66
1,25.5384
1,25.5629
1,25.7316
1,26.0584
1,26.5209
2,0.00978638
2,0.0122424
2,0.0153123
2,0.0191499
2,0.0239475
2,0.0299452
2,0.0374435
2,0.0468181
2,0.0585385
2,0.0731919
2,0.0915124
2,0.114418
2,0.143055
2,0.17886
2,0.223624
2,0.279591
2,0.349564
2,0.437048
2,0.546423
2,0.683167
2,0.85356
2,1.06576
2,1.33091
2,1.66246
2,2.07707
2,2.5955
2,3.24367
2,4.05397
2,5.06684
2,6.33139
2,7.9027
2,9.85561
2,12.2805
2,15.2909
2,19.0469
2,23.734
2,29.5871
2,36.8729
2,45.9064
2,57.0741
2,70.8119
2,87.0317
2,105.366
2,125.515
2,147.129
2,169.494
2,191.58
2,212.227
2,230.779
2,246.878
2,260.145
2,270.304
2,277.314
2,281.339
2,282.661
2,281.616
2,278.527
2,273.709
2,267.462
2,260.062
2,251.759
2,242.77
2,233.289
2,223.499
2,213.55
2,203.568
2,193.655
2,183.897
2,174.362
2,165.101
2,156.151
2,147.52
2,139.215
2,131.241
2,123.601
2,116.296
2,109.325
2,102.685
2,96.3831
2,90.4247
2,84.8087
2,79.5304
2,74.5806
2,69.9483
2,65.6214
2,61.5856
2,57.8226
2,54.3138
2,51.0445
2,47.9937
2,45.1449
2,42.4835
2,39.998
2,37.6813
2,35.5281
2,33.5303
2,31.6867
2,29.9926
2,28.4415
2,27.0303
2,25.7575
2,24.6211
2,23.6181
2,22.745
2,21.9992
2,21.3749
2,20.8674
2,20.4729
2,20.1949
2,20.0208
3,0.0113852
3,0.0142186
3,0.0177557
3,0.0221717
3,0.027685
3,0.0345683
3,0.0431624
3,0.0538924
3,0.0672893
3,0.084016
3,0.1049
3,0.130975
3,0.163531
3,0.204179
3,0.254929
3,0.318294
3,0.397407
3,0.496183
3,0.619507
3,0.773479
3,0.965028
3,1.20319
3,1.50042
3,1.87164
3,2.33526
3,2.91422
3,3.63711
3,4.53961
3,5.66621
3,7.07072
3,8.81287
3,10.9746
3,13.6546
3,16.9769
3,21.1177
3,26.2796
3,32.7188
3,40.7237
3,50.6335
3,62.8648
3,77.8844
3,95.5326
3,115.334
3,136.916
3,159.862
3,183.347
3,206.202
3,227.142
3,245.498
3,260.959
3,273.18
3,281.932
3,287.253
3,289.4
3,288.749
3,285.718
3,280.694
3,274.041
3,266.095
3,257.155
3,247.487
3,237.314
3,226.831
3,216.218
3,205.62
3,195.152
3,184.905
3,174.951
3,165.343
3,156.12
3,147.303
3,138.88
3,130.842
3,123.179
3,115.886
3,108.952
3,102.37
3,96.1283
3,90.2362
3,84.6974
3,79.5096
3,74.6661
3,70.1549
3,65.9619
3,62.0728
3,58.4703
3,55.1318
3,52.0348
3,49.1632
3,46.4911
3,44.0002
3,41.6747
3,39.5041
3,37.4844
3,35.6141
3,33.8871
3,32.3078
3,30.8744
3,29.5822
3,28.4317
3,27.4257
3,26.5663
3,25.8529
3,25.2842
3,24.8599
3,24.5742
3,24.4226
3,24.4025
3,24.5235
3,24.7664
4,0.00336064
4,0.00431661
4,0.00554071
4,0.00710863
4,0.0091174
4,0.0116913
4,0.0149898
