iter,D_sim
0,0.000391369
0,0.000625224
0,0.000812
0,0.000997013
0,0.00120097
0,0.00143569
0,0.0017102
0,0.0020333
0,0.00241464
0,0.00286532
0,0.00339837
0,0.00402916
0,0.00477584
0,0.00565991
0,0.00670681
0,0.00794667
0,0.00941517
0,0.0111545
0,0.0132149
0,0.0156554
0,0.0185464
0,0.021971
0,0.0260277
0,0.0308334
0,0.0365261
0,0.0432698
0,0.0512585
0,0.060722
0,0.0719325
0,0.0852126
0,0.100944
0,0.11958
0,0.141657
0,0.167809
0,0.198788
0,0.235487
0,0.278959
0,0.330373
0,0.391092
0,0.462673
0,0.546319
0,0.641049
0,0.74339
0,0.850425
0,0.959267
0,1.06662
0,1.16908
0,1.2639
0,1.3499
0,1.4271
0,1.49568
0,1.55592
0,1.60832
0,1.65346
0,1.69206
0,1.72495
0,1.75309
0,1.7776
0,1.79954
0,1.8196
0,1.83829
0,1.85604
0,1.87298
0,1.88911
0,1.9045
0,1.91951
0,1.93485
0,1.95136
0,1.96973
0,1.9908
0,2.01543
0,2.04426
0,2.07748
0,2.11505
0,2.15715
0,2.20321
0,2.2521
0,2.30239
0,2.3521
0,2.40004
0,2.44587
0,2.48934
0,2.53099
0,2.57199
0,2.614
0,2.65978
0,2.71142
0,2.77009
0,2.83666
0,2.91104
0,2.99296
0,3.08187
0,3.17728
0,3.27988
0,3.38878
0,3.50427
0,3.62895
0,3.76679
0,3.92429
0,4.10795
0,4.32257
0,4.57755
0,4.88023
0,5.2363
0,5.65135
0,6.13164
0,6.68452
0,7.31879
0,8.04494
0,8.87012
1,0.000394439
1,0.000629619
1,0.000817368
1,0.00100349
1,0.00120891
1,0.00144554
1,0.00172257
1,0.0020489
1,0.00243435
1,0.00289024
1,0.00342983
1,0.0040688
1,0.00482568
1,0.00572241
1,0.00678499
1,0.00804424
1,0.00953665
1,0.0113055
1,0.013402
1,0.015887
1,0.0188326
1,0.022324
1,0.0264625
1,0.031368
1,0.0371828
1,0.0440754
1,0.0522456
1,0.0619301
1,0.0734098
1,0.0870173
1,0.103147
1,0.122266
1,0.14493
1,0.171793
1,0.203636
1,0.241381
1,0.286122
1,0.339067
1,0.401633
1,0.475436
1,0.561724
