iter,D_sim
0,0.000120395
0,0.000206036
0,0.000287809
0,0.000378502
0,0.000484901
0,0.000612156
0,0.000765427
0,0.000950596
0,0.00117468
0,0.00144614
0,0.00177528
0,0.00217458
0,0.00265924
0,0.0032477
0,0.00396243
0,0.00483069
0,0.00588565
0,0.00716765
0,0.00872571
0,0.0106179
0,0.0129092
0,0.0156762
0,0.0189857
0,0.022876
0,0.0273963
0,0.0326127
0,0.0386098
0,0.0454903
0,0.0533663
0,0.0624425
0,0.0730825
0,0.0857006
0,0.100743
0,0.118739
0,0.14036
0,0.166438
0,0.197949
0,0.236055
0,0.282084
0,0.337603
0,0.404257
0,0.483626
0,0.577078
0,0.685608
0,0.809814
0,0.949396
0,1.10319
0,1.26922
0,1.44527
0,1.62757
0,1.81208
0,1.99493
0,2.173
0,2.34402
0,2.50669
0,2.66046
0,2.80532
0,2.94145
0,3.06914
0,3.18874
0,3.30059
0,3.40502
0,3.50235
0,3.59295
0,3.67712
0,3.75518
0,3.82741
0,3.89409
0,3.95553
0,4.012
0,4.06372
0,4.11096
0,4.15395
0,4.19293
0,4.22814
0,4.25977
0,4.28801
0,4.31307
0,4.33511
0,4.3543
0,4.37077
0,4.38465
0,4.39607
0,4.40515
0,4.41201
0,4.41674
0,4.41946
0,4.42026
0,4.41923
0,4.4165
0,4.41216
0,4.40629
0,4.39898
0,4.39034
0,4.38044
0,4.36938
0,4.35725
0,4.34411
0,4.33005
0,4.31513
0,4.29945
0,4.2831
0,4.26619
0,4.24881
0,4.23102
0,4.21288
0,4.19445
0,4.17583
0,4.15712
0,4.13841
1,0.000119284
1,0.000204191
1,0.000285246
1,0.0003751
1,0.000480464
1,0.000606423
1,0.000758064
1,0.000941183
1,0.00116268
1,0.0014309
1,0.00175595
1,0.00215012
1,0.00262832
1,0.00320869
1,0.00391325
1,0.00476878
1,0.00580781
1,0.00706987
1,0.008603
1,0.0104641
1,0.0127167
1,0.0154358
1,0.0186867
1,0.0225067
1,0.0269436
1,0.0320621
1,0.0379443
1,0.0446905
1,0.0524098
1,0.0613018
1,0.071721
1,0.0840714
1,0.0987875
1,0.116385
1,0.137517
1,0.162993
1,0.193762
1,0.230953
1,0.275858
1,0.329997
1,0.394964
1,0.472294
1,0.56331
1,0.668972
1,0.789855
1,0.925661
1,1.07525
1,1.23671
