iter,D_sim
0,0.000345755
0,0.000558978
0,0.000740291
0,0.000929739
0,0.00114619
0,0.00140171
0,0.00170699
0,0.00207349
0,0.0025145
0,0.00304586
0,0.00368662
0,0.00445971
0,0.00539284
0,0.00651943
0,0.00787985
0,0.00952285
0,0.0115073
0,0.0139044
0,0.0168
0,0.0202978
0,0.0245234
0,0.0296171
0,0.0357484
0,0.0431236
0,0.0519814
0,0.0626192
0,0.0754609
0,0.0909896
0,0.109771
0,0.132481
0,0.159936
0,0.193121
0,0.233226
0,0.281689
0,0.340247
0,0.411
0,0.496484
0,0.599763
0,0.724402
0,0.874303
0,1.05409
0,1.26897
0,1.52366
0,1.82247
0,2.16744
0,2.55858
0,2.99098
0,3.45473
0,3.93373
0,4.40935
0,4.8665
0,5.29417
0,5.68524
0,6.03728
0,6.34992
0,6.62484
0,6.86517
0,7.07449
0,7.25694
0,7.41651
0,7.5562
0,7.67923
0,7.78861
0,7.88714
0,7.97712
0,8.05998
0,8.13665
0,8.20848
0,8.27379
0,8.33085
0,8.37841
0,8.41644
0,8.44554
0,8.46668
0,8.48052
0,8.49025
0,8.4992
0,8.50994
0,8.52357
0,8.54055
0,8.56103
0,8.5848
0,8.61136
0,8.64046
0,8.67213
0,8.70645
0,8.74327
0,8.78275
0,8.82666
0,8.87252
0,8.92021
0,8.97034
0,9.02429
0,9.08407
0,9.15098
0,9.22456
0,9.30956
0,9.40734
0,9.51743
0,9.63731
0,9.76384
0,9.89444
0,10.0269
0,10.1594
0,10.2893
0,10.4141
0,10.5321
0,10.6423
0,10.7439
0,10.8342
1,0.000331078
1,0.000537291
1,0.000714031
1,0.000899341
1,0.00111126
1,0.00136145
1,0.00166033
1,0.0020191
1,0.00245081
1,0.00297098
1,0.00359832
1,0.00435535
1,0.00526927
1,0.00637292
1,0.00770597
1,0.00931636
1,0.011262
1,0.0136128
1,0.0164534
1,0.0198859
1,0.0240337
1,0.0290355
1,0.0350582
1,0.0423054
1,0.0510129
1,0.0614738
1,0.0741053
1,0.0893835
1,0.107866
1,0.130223
1,0.157258
1,0.189945
1,0.229461
1,0.277227
1,0.334962
1,0.404743
1,0.489078
1,0.591002
1,0.714049
1,0.862091
1,1.03972
1,1.25212
1,1.50401
1,1.79971
1,2.14139
1,2.52919
1,2.95845
1,3.41961
1,3.89696
1,4.37224
1,4.83052
1,5.26079
1,5.65578
1,6.01282
1,6.33127
1,6.61254
