iter,D_sim
0,2.8355
0,3.13138
0,3.45813
0,3.81897
0,4.21746
0,4.65751
0,5.14348
0,5.68014
0,6.27279
0,6.92726
0,7.64999
0,8.4481
0,9.32945
0,10.3027
0,11.3775
0,12.5643
0,13.8749
0,15.3221
0,16.9202
0,18.6848
0,20.6333
0,22.7849
0,25.1606
0,27.7837
0,30.6801
0,33.8662
0,37.3696
0,41.2225
0,45.4739
0,50.1705
0,55.3601
0,61.0941
0,67.4284
0,74.4246
0,82.1504
0,90.6805
0,100.097
0,110.492
0,121.942
0,134.526
0,148.294
0,163.178
0,178.982
0,195.618
0,212.96
0,230.632
0,248.073
0,264.614
0,279.439
0,291.676
0,300.626
0,305.887
0,307.394
0,305.355
0,300.157
0,292.327
0,282.381
0,270.837
0,258.189
0,244.871
0,231.247
0,217.598
0,204.142
0,191.091
0,178.604
0,166.785
0,155.702
0,145.399
0,135.813
0,126.904
0,118.615
0,110.831
0,103.483
0,96.5271
0,89.9232
0,83.6815
0,77.7924
0,72.2512
0,67.0877
0,62.3017
0,57.8777
0,53.7988
0,50.0462
0,46.6025
0,43.4497
0,40.5654
0,37.9246
0,35.5032
0,33.2863
0,31.2383
0,29.3404
0,27.5746
0,25.932
0,24.4089
0,23.0038
0,21.7106
0,20.5406
0,19.4941
0,18.5661
0,17.7453
0,17.0213
0,16.3831
0,15.8213
0,15.329
0,14.9
0,14.5327
0,14.2297
0,13.9939
0,13.8329
0,13.7337
1,2.81821
1,3.11208
1,3.43659
1,3.79493
1,4.19064
1,4.6276
1,5.11011
1,5.64292
1,6.23128
1,6.88097
1,7.59837
1,8.39055
1,9.2653
1,10.2312
1,11.2978
1,12.4755
1,13.7759
1,15.2118
1,16.7973
1,18.5479
1,20.4808
1,22.615
1,24.9713
1,27.573
1,30.4454
1,33.605
1,37.0791
1,40.8994
1,45.1146
1,49.771
1,54.9158
1,60.5999
1,66.8787
1,73.8131
1,81.4703
1,89.9241
1,99.2561
1,109.556
1,120.903
1,133.371
1,147.012
