iter,D_sim
0,0.0115467
0,0.0143519
0,0.0178366
0,0.0221657
0,0.0275438
0,0.0342255
0,0.0425269
0,0.0528406
0,0.0656546
0,0.0815752
0,0.101356
0,0.125932
0,0.156466
0,0.194404
0,0.241539
0,0.300103
0,0.372865
0,0.463268
0,0.57559
0,0.715144
0,0.888533
0,1.10396
0,1.37161
0,1.70415
0,2.11732
0,2.63036
0,3.26601
0,4.05539
0,5.03618
0,6.25491
0,7.76923
0,9.65075
0,11.9883
0,14.8924
0,18.5001
0,22.9814
0,28.5478
0,35.4613
0,44.0471
0,54.7086
0,67.9384
0,84.2636
0,104.225
0,128.553
0,157.99
0,193.18
0,234.718
0,282.982
0,337.761
0,398.21
0,463.055
0,530.217
0,597.276
0,661.681
0,721.129
0,773.981
0,819.182
0,856.152
0,884.988
0,906.161
0,920.337
0,928.264
0,930.716
0,928.456
0,922.183
0,912.521
0,900.038
0,885.253
0,868.587
0,850.401
0,830.95
0,810.445
0,789.116
0,767.177
0,744.807
0,722.182
0,699.45
0,676.789
0,654.365
0,632.278
0,610.6
0,589.383
0,568.672
0,548.509
0,528.929
0,509.955
0,491.583
0,473.802
0,456.589
0,439.923
0,423.79
0,408.171
0,393.054
0,378.44
0,364.34
0,350.773
0,337.737
0,325.221
0,313.202
0,301.667
0,290.601
0,279.989
0,269.812
0,260.065
0,250.743
0,241.848
0,233.38
0,225.333
0,217.701
0,210.474
1,0.00154395
1,0.0020069
1,0.00260161
1,0.0033662
1,0.00434978
1,0.00561555
1,0.00724494
1,0.00934284
1,0.0120443
1,0.0155235
1,0.0200043
1,0.0257757
1,0.0332095
1,0.0427848
1,0.0551187
1,0.0710062
1,0.0914713
1,0.117833
1,0.151791
1,0.195533
1,0.25188
1,0.324462
1,0.417959
1,0.538397
1,0.693537
1,0.89327
1,1.14982
1,1.48016
1,1.90571
1,2.45393
1,3.16018
1,4.06996
1,5.24189
1,6.75147
1,8.69586
1,11.2002
1,14.4256
1,18.5795
1,23.9287
1,30.8164
1,39.6794
1,51.0187
1,65.3932
1,83.5572
1,106.341
1,134.566
1,169.08
1,210.611
1,259.394
1,315.077
1,376.836
1,442.936
1,511.12
1,578.789
1,643.394
1,702.932
1,755.93
1,801.364
1,838.975
1,868.951
1,891.742
1,907.938
1,918.208
1,923.247
1,923.711
1,920.205
1,913.288
1,903.495
1,891.258
1,876.956
1,860.857
1,843.189
1,824.204
1,804.15
1,783.234
1,761.669
1,739.639
1,717.362
1,695.045
1,672.827
1,650.808
1,629.07
1,607.685
1,586.72
1,566.229
1,546.256
1,526.815
1,507.907
1,489.524
1,471.657
1,454.3
1,437.444
1,421.082
1,405.225
1,389.888
1,375.097
1,360.856
1,347.156
1,333.98
1,321.317
1,309.155
1,297.482
1,286.282
1,275.549
1,265.282
1,255.483
1,246.152
1,237.285
1,228.876
1,220.916
2,0.0259148
2,0.0317755
2,0.0389612
2,0.0477713
2,0.0585732
2,0.0718172
2,0.0880556
2,0.107965
2,0.132377
2,0.162307
2,0.199005
2,0.243999
2,0.299167
2,0.366808
2,0.449742
2,0.551427
2,0.676102
2,0.828965
2,1.01639
2,1.24619
2,1.52794
2,1.87338
2,2.29693
2,2.81623
2,3.45292
2,4.2331
2,5.18682
2,6.35561
2,7.78877
2,9.54622
2,11.7012
2,14.3435
2,17.583
2,21.5545
2,26.423
2,32.3907
2,39.7053
2,48.6699
2,59.6556
2,73.1164
2,89.5979
2,109.659
2,133.843
2,162.903
2,197.567
2,238.397
2,285.869
2,340.175
2,400.798
2,466.513
2,535.672
2,605.798
2,674.168
2,738.051
2,795.133
2,843.925
2,883.633
2,913.995
2,935.458
2,948.824
2,955.044
2,955.102
2,949.958
2,940.513
2,927.56
2,911.787
2,893.792
2,874.109
2,853.153
2,831.266
2,808.667
2,785.535
2,762.065
2,738.437
2,714.791
2,691.266
2,667.974
2,645.063
2,622.667
2,600.851
2,579.651
2,559.087
2,539.176
2,519.935
2,501.376
2,483.503
2,466.291
2,449.708
2,433.714
2,418.275
2,403.364
2,388.955
2,375.026
2,361.579
2,348.622
2,336.176
2,324.238
2,312.792
2,301.812
2,291.281
2,281.182
2,271.501
2,262.216
2,253.322
2,244.816
2,236.704
2,228.988
2,221.663
2,214.725
2,208.165
3,0.00476566
3,0.00602523
3,0.0076136
3,0.00961699
3,0.0121442
3,0.0153324
3,0.0193548
3,0.02443
3,0.0308337
3,0.0389139
3,0.0491097
3,0.0619752
3,0.0782095
3,0.098695
3,0.124545
3,0.157164
3,0.198326
3,0.250267
3,0.315809
3,0.398516
3,0.502882
3,0.634579
3,0.800764
3,1.01047
3,1.27508
3,1.60882
3,2.02879
3,2.5585
3,3.22694
3,4.07051
3,5.13505
3,6.47839
3,8.1735
3,10.3124
3,13.011
3,16.4158
3,20.7112
3,26.1298
3,32.9648
3,41.5853
3,52.4507
3,66.0702
3,82.9892
3,103.939
3,129.693
3,160.975
3,198.493
3,242.791
3,293.89
3,351.215
3,413.752
3,479.656
3,546.661
3,612.265
3,674.099
3,730.367
3,779.804
3,821.589
3,855.595
3,882.095
3,901.588
3,914.694
3,922.09
3,924.469
3,922.478
3,916.715
3,907.727
3,896.033
3,882.057
3,866.17
3,848.644
3,829.711
3,809.619
3,788.604
3,766.869
3,744.613
3,722.01
3,699.259
3,676.547
3,653.999
3,631.71
3,609.754
3,588.197
3,567.099
3,546.507
3,526.461
3,506.973
3,488.044
3,469.668
3,451.835
3,434.538
3,417.768
3,401.52
3,385.798
3,370.613
3,355.984
3,341.911
3,328.385
3,315.387
3,302.907
3,290.93
3,279.443
3,268.43
3,257.882
3,247.795
3,238.167
3,228.995
3,220.271
3,211.989
3,204.135
4,0.000539199
4,0.00072984
4,0.000977765
4,0.0013012
4,0.00172379
4,0.00227644
4,0.00299968
4,0.00394657
4,0.00518669
4,0.00681122
4,0.00893967
4,0.0117287
4,0.0153836
4,0.0201734
4,0.026451
4,0.0346785
4,0.045462
4,0.0595957
4,0.0781206
4,0.102401
4,0.134226
4,0.175939
4,0.230614
4,0.302276
4,0.396205
4,0.519252
4,0.680076
4,0.890786
4,1.16698
4,1.52901
4,2.00356
4,2.62557
4,3.44086
4,4.50943
4,5.90995
4,7.74543
4,10.1509
4,13.303
4,17.4335
4,22.8452
4,29.9311
4,39.1563
4,51.0569
4,66.3599
4,85.8914
4,110.508
4,141.132
4,178.615
4,223.392
4,275.366
4,333.973
4,397.737
4,464.593
4,532.033
4,597.484
4,658.824
4,714.399
4,762.975
4,804.087
4,837.752
4,864.278
4,884.147
4,897.947
4,906.318
4,909.875
4,909.201
4,904.841
4,897.321
4,887.077
4,874.493
4,859.857
4,843.417
4,825.439
4,806.184
4,785.875
4,764.739
4,742.974
4,720.802
4,698.431
4,676.01
4,653.658
4,631.471
4,609.534
4,587.924
4,566.705
4,545.928
4,525.624
4,505.809
4,486.492
4,467.678
4,449.372
4,431.576
4,414.291
4,397.529
4,381.3
4,365.624
4,350.503
4,335.931
4,321.898
4,308.394
4,295.411
4,282.936
4,270.957
4,259.466
4,248.457
4,237.925
4,227.864
4,218.267
4,209.122
4,200.42
5,0.000599409
5,0.000808242
5,0.00107925
5,0.00143215
5,0.00189243
5,0.00249336
5,0.00327849
5,0.00430474
5,0.00564663
5,0.00740167
5,0.00969744
5,0.0127009
5,0.0166305
5,0.0217723
5,0.0285002
5,0.037304
5,0.0488244
5,0.0638998
5,0.0836275
5,0.109443
5,0.143227
5,0.187436
5,0.245289
5,0.320997
5,0.420071
5,0.549648
5,0.718731
5,0.939911
5,1.22937
5,1.60819
5,2.10395
