iter,D_sim
0,0.000384783
0,0.000615766
0,0.000812008
0,0.00101974
0,0.00126061
0,0.00154879
0,0.00189728
0,0.00232033
0,0.00283481
0,0.00346102
0,0.00422364
0,0.0051527
0,0.0062848
0,0.00766451
0,0.00934618
0,0.011396
0,0.0138948
0,0.016941
0,0.0206545
0,0.0251816
0,0.0307006
0,0.037429
0,0.0456317
0,0.0556319
0,0.0678235
0,0.0826866
0,0.100807
0,0.122898
0,0.149829
0,0.182662
0,0.22269
0,0.271489
0,0.330981
0,0.403508
0,0.491928
0,0.599337
0,0.728136
0,0.88209
0,1.06587
0,1.28388
0,1.53895
0,1.82833
0,2.14292
0,2.47327
0,2.80802
0,3.133
0,3.43422
0,3.7007
0,3.92713
0,4.11329
0,4.259
0,4.36472
0,4.43174
0,4.46266
0,4.46082
0,4.43012
0,4.37452
0,4.29875
0,4.20726
0,4.10439
0,3.99382
0,3.87828
0,3.75956
0,3.63887
0,3.51696
0,3.39446
0,3.27212
0,3.15067
0,3.03093
0,2.91385
0,2.8004
0,2.69141
0,2.58744
0,2.48876
0,2.39541
0,2.3071
0,2.22334
0,2.14334
0,2.0661
0,1.9909
0,1.91728
0,1.84501
0,1.77409
0,1.70468
0,1.63718
0,1.5722
0,1.51023
0,1.45164
0,1.39677
0,1.34551
0,1.29765
0,1.25298
0,1.2117
0,1.17422
0,1.14097
0,1.1122
0,1.08858
0,1.07065
0,1.05899
0,1.05404
0,1.0562
0,1.06586
0,1.08362
0,1.11001
0,1.14559
0,1.19039
0,1.2444
0,1.30765
0,1.3806
0,1.46348
1,0.000379392
1,0.000607998
1,0.000802747
1,0.00100909
1,0.00124836
1,0.00153457
1,0.00188061
1,0.00230064
1,0.00281138
1,0.00343301
1,0.00419004
1,0.00511228
1,0.00623606
1,0.00760568
1,0.00927509
1,0.0113101
1,0.0137908
1,0.0168151
1,0.0205021
1,0.0249971
1,0.0304772
1,0.0371584
1,0.045304
1,0.0552351
1,0.0673429
1,0.0821046
1,0.100102
1,0.122044
1,0.148796
1,0.181411
1,0.221175
1,0.269655
1,0.32876
1,0.40082
1,0.488673
1,0.595402
1,0.723402
1,0.876419
1,1.0591
1,1.27583
1,1.52944
1,1.81727
1,2.13033
1,2.45925
1,2.79281
1,3.11692
1,3.41768
1,3.68412
1,3.9109
1,4.09771
1,4.24429
1,4.35104
1,4.41919
1,4.45128
1,4.45059
1,4.42098
1,4.36638
1,4.29149
1,4.20071
1,4.09841
1,3.98824
1,3.87293
1,3.75432
1,3.63361
1,3.51159
1,3.38891
1,3.26633
1,3.14459
1,3.02453
1,2.90709
1,2.79324
1,2.68381
1,2.57937
1,2.4802
1,2.38634
1,2.29751
1,2.21323
1,2.13274
1,2.05505
1,1.97945
1,1.9055
1,1.83296
1,1.76182
1,1.69224
1,1.6246
1,1.55951
1,1.49743
1,1.43873
1,1.38374
1,1.33234
1,1.28434
1,1.23952
1,1.19808
1,1.16041
1,1.12692
1,1.09787
1,1.07389
1,1.05551
1,1.04328
1,1.03763
1,1.03896
1,1.04764
1,1.06424
1,1.08929
1,1.12332
1,1.16637
1,1.21841
1,1.27951
1,1.35007
1,1.43034
2,0.000580271
2,0.000767892
2,0.00096558
2,0.00119332
2,0.00146413
2,0.00178977
2,0.0021831
2,0.00265913
2,0.00323592
2,0.00393527
2,0.00478363
2,0.00581307
2,0.00706251
2,0.0085792
2,0.0104205
2,0.0126561
2,0.0153704
2,0.0186663
2,0.0226682
2,0.0275277
2,0.0334286
2,0.040594
2,0.049295
2,0.0598607
2,0.0726908
2,0.0882705
2,0.107189
2,0.130163
2,0.158059
2,0.191935
2,0.23307
2,0.283021
2,0.343677
2,0.417332
2,0.50677
2,0.615
2,0.744335
2,0.898383
2,1.08161
2,1.2982
2,1.5508
2,1.83672
2,2.14716
2,2.47295
2,2.80311
2,3.12397
2,3.42207
2,3.68678
2,3.91278
2,4.0996
2,4.2469
2,4.35501
2,4.42508
2,4.45953
2,4.46152
2,4.43475
2,4.38302
2,4.31085
2,4.22251
2,4.12221
2,4.01351
2,3.89915
2,3.78098
2,3.66028
2,3.53791
2,3.41461
2,3.29118
2,3.16838
2,3.04709
2,2.92822
2,2.81275
2,2.70148
2,2.59498
2,2.49357
2,2.39731
2,2.30597
2,2.21914
2,2.13614
2,2.05607
