iter,D_sim
0,0.000119549
0,0.000204631
0,0.000280618
0,0.000358719
0,0.000444496
0,0.000541353
0,0.000652001
0,0.000779072
0,0.000925413
0,0.00109424
0,0.00128926
0,0.00151473
0,0.00177563
0,0.00207771
0,0.00242763
0,0.00283315
0,0.00330326
0,0.0038484
0,0.0044807
0,0.00521421
0,0.00606528
0,0.00705116
0,0.00819111
0,0.00950673
0,0.0110228
0,0.0127698
0,0.0147869
0,0.0171248
0,0.0198389
0,0.0229915
0,0.0266536
0,0.0309074
0,0.0358483
0,0.0415869
0,0.0482516
0,0.0559915
0,0.0649797
0,0.0754171
0,0.0875329
0,0.10158
0,0.117867
0,0.136744
0,0.15847
0,0.183352
0,0.211407
0,0.242354
0,0.275684
0,0.310657
0,0.346372
0,0.381933
0,0.416561
0,0.449758
0,0.481234
0,0.51084
0,0.538523
0,0.564304
0,0.588269
0,0.61055
0,0.631313
0,0.650741
0,0.669011
0,0.68629
0,0.702722
0,0.718427
0,0.733483
0,0.747934
0,0.761795
0,0.775012
0,0.787455
0,0.798993
0,0.809538
0,0.819054
0,0.827543
0,0.835038
0,0.841629
0,0.84747
0,0.85274
0,0.85759
0,0.862138
0,0.866472
0,0.870647
0,0.874692
0,0.878632
0,0.882497
0,0.886321
0,0.890123
0,0.893912
0,0.897718
0,0.901595
0,0.905576
0,0.909709
0,0.914043
0,0.918645
0,0.923595
0,0.928952
0,0.934743
0,0.941023
0,0.947845
0,0.955333
0,0.963527
0,0.972405
0,0.981919
0,0.992
0,1.00233
0,1.01249
0,1.02204
0,1.03081
0,1.03874
0,1.04583
0,1.05214
1,0.000120915
1,0.0002069
1,0.000283633
1,0.000362458
1,0.000448999
1,0.000546696
1,0.000658282
1,0.000786412
1,0.000933954
1,0.00110415
1,0.00130073
1,0.00152799
1,0.00179093
1,0.00209535
1,0.00244796
1,0.00285656
1,0.00333021
1,0.00387943
1,0.0045164
1,0.00525529
1,0.00611256
1,0.00710553
1,0.00825361
1,0.00957851
1,0.0111052
1,0.0128643
1,0.0148951
1,0.0172489
1,0.0199813
1,0.0231549
1,0.0268412
1,0.0311229
1,0.036096
1,0.0418716
1,0.0485788
1,0.0563676
1,0.065412
1,0.075914
1,0.0881041
1,0.102237
1,0.118621
1,0.13761
1,0.159463
1,0.184489
1,0.212702
1,0.243819
1,0.277325
1,0.312475
1,0.348361
1,0.384081
1,0.418852
1,0.452174
1,0.483757
1,0.513453
1,0.541209
1,0.567048
1,0.591058
