iter,D_sim
0,0.000119461
0,0.000204484
0,0.000284573
0,0.000372094
0,0.000473494
0,0.000593447
0,0.000736459
0,0.000907541
0,0.00111258
0,0.00135861
0,0.00165408
0,0.00200916
0,0.0024361
0,0.00294965
0,0.00356759
0,0.00431131
0,0.00520661
0,0.00628454
0,0.00758252
0,0.00913913
0,0.0109991
0,0.0132129
0,0.0158425
0,0.0189628
0,0.0226635
0,0.0270448
0,0.0322265
0,0.0383633
0,0.0456576
0,0.0543509
0,0.0647352
0,0.0771704
0,0.0921107
0,0.110102
0,0.131766
0,0.157761
0,0.188869
0,0.226011
0,0.270262
0,0.322838
0,0.385121
0,0.458579
0,0.544583
0,0.643664
0,0.754776
0,0.875573
0,1.00311
0,1.13396
0,1.26496
0,1.39374
0,1.51898
0,1.64005
0,1.75672
0,1.86896
0,1.97688
0,2.08063
0,2.18042
0,2.27647
0,2.36898
0,2.45811
0,2.54404
0,2.62692
0,2.70689
0,2.78408
0,2.85864
0,2.9307
0,3.0004
0,3.06787
0,3.13324
0,3.19663
0,3.25815
0,3.31786
0,3.37588
0,3.43229
0,3.48724
0,3.54092
0,3.59344
0,3.6449
0,3.69545
0,3.74521
0,3.79427
0,3.84265
0,3.89035
0,3.93739
0,3.98377
0,4.02952
0,4.07465
0,4.11919
0,4.16324
0,4.20686
0,4.25009
0,4.29294
0,4.33536
0,4.37737
0,4.41897
0,4.46016
0,4.50099
0,4.54154
0,4.58195
0,4.6224
0,4.6631
0,4.70427
0,4.74608
0,4.78872
0,4.83228
0,4.87664
0,4.92184
0,4.96792
0,5.01495
0,5.06303
1,0.000124344
1,0.000212588
1,0.000295514
1,0.000386013
1,0.000490781
1,0.000614659
1,0.000762299
1,0.000938871
1,0.00115044
1,0.00140426
1,0.00170905
1,0.00207526
1,0.00251554
1,0.00304507
1,0.00368217
1,0.00444886
1,0.00537171
1,0.00648271
1,0.00782037
1,0.00942436
1,0.0113406
1,0.013621
1,0.0163293
1,0.0195423
1,0.0233524
1,0.0278625
1,0.0331956
1,0.0395109
1,0.0470166
1,0.0559612
1,0.0666449
1,0.0794382
1,0.0948081
1,0.113316
1,0.135602
1,0.162341
1,0.194335
1,0.23253
1,0.278031
1,0.332082
1,0.396102
1,0.471595
1,0.559959
1,0.661723
1,0.775779
1,0.899675
1,1.03034
1,1.16422
1,1.29804
1,1.42935
1,1.55678
1,1.67971
1,1.7979
