iter,D_sim
0,0.000396003
0,0.000631856
0,0.000823721
0,0.00101825
0,0.00123683
0,0.00149215
0,0.00179459
0,0.00215474
0,0.00258456
0,0.00309811
0,0.00371206
0,0.00444635
0,0.00532478
0,0.00637584
0,0.00763361
0,0.00913886
0,0.0109404
0,0.0130966
0,0.0156775
0,0.0187666
0,0.0224641
0,0.0268899
0,0.0321875
0,0.0385287
0,0.046119
0,0.0552045
0,0.0660797
0,0.0790973
0,0.0946793
0,0.113331
0,0.135657
0,0.16238
0,0.194368
0,0.232658
0,0.27849
0,0.333351
0,0.399019
0,0.477623
0,0.571541
0,0.682784
0,0.812869
0,0.962016
0,1.12967
0,1.31436
0,1.51347
0,1.72066
0,1.92805
0,2.12757
0,2.31172
0,2.47356
0,2.6075
0,2.70975
0,2.78006
0,2.82023
0,2.83327
0,2.82283
0,2.79281
0,2.74691
0,2.68871
0,2.62139
0,2.54772
0,2.46994
0,2.38994
0,2.30897
0,2.2279
0,2.14743
0,2.06812
0,1.99032
0,1.91431
0,1.84048
0,1.76934
0,1.70145
0,1.63713
0,1.57657
0,1.51996
0,1.4674
0,1.41897
0,1.37483
0,1.33513
0,1.3004
0,1.27146
0,1.24925
0,1.23383
0,1.22469
0,1.22172
0,1.22506
0,1.23456
0,1.24978
0,1.27008
0,1.29502
0,1.3246
0,1.35903
0,1.39836
0,1.4424
0,1.49117
0,1.54518
0,1.60558
0,1.6737
0,1.75143
0,1.84156
0,1.94784
0,2.07388
0,2.2226
0,2.39674
0,2.5998
0,2.83437
0,3.10286
0,3.40785
0,3.75363
0,4.1476
1,0.000395663
1,0.00063137
1,0.000823235
1,0.00101788
1,0.00123667
1,0.00149231
1,0.0017952
1,0.00215596
1,0.00258662
1,0.00310126
1,0.00371666
1,0.00445284
1,0.00533373
1,0.00638796
1,0.00764979
1,0.00916023
1,0.0109684
1,0.013133
1,0.0157244
1,0.0188269
1,0.0225412
1,0.0269881
1,0.0323121
1,0.0386862
1,0.0463176
1,0.0554543
1,0.0663932
1,0.0794898
1,0.0951698
1,0.113943
1,0.136419
1,0.163328
1,0.195546
1,0.234118
1,0.280299
1,0.335589
1,0.401786
1,0.481039
1,0.575754
1,0.687964
1,0.819209
1,0.969717
1,1.13893
1,1.32538
1,1.52642
1,1.73565
1,1.9451
1,2.14663
1,2.33264
1,2.4961
1,2.63137
1,2.73459
1,2.8055
1,2.84593
1,2.85891
1,2.84815
1,2.81757
1,2.77094
1,2.71187
1,2.64359
1,2.56888
1,2.49004
1,2.40896
1,2.32691
1,2.24479
1,2.16328
1,2.08296
1,2.00418
1,1.92724
1,1.85252
1,1.78052
1,1.71182
1,1.64675
1,1.58549
1,1.52822
1,1.47505
1,1.42605
1,1.3814
1,1.34124
1,1.30608
1,1.27677
1,1.25423
1,1.23855
1,1.22917
1,1.22602
1,1.22921
1,1.23859
1,1.25375
1,1.27401
1,1.29892
1,1.32851
1,1.36298
1,1.40237
1,1.4465
1,1.49537
1,1.54952
1,1.61008
1,1.6784
1,1.75637
1,1.8468
1,1.95345
1,2.07996
1,2.22925
1,2.40408
1,2.60798
1,2.84355
1,3.11323
1,3.4196
1,3.767
1,4.16287
2,0.000395209
2,0.000630721
2,0.000822297
2,0.00101646
2,0.00123453
2,0.00148917
2,0.0017907
2,0.00214966
2,0.00257795
2,0.00308952
2,0.00370097
2,0.00443207
2,0.00530647
2,0.00635246
2,0.00760385
2,0.00910112
2,0.0108927
2,0.0130364
2,0.0156017
2,0.0186715
2,0.0223451
2,0.0267411
2,0.0320019
2,0.0382974
2,0.0458314
2,0.0548472
2,0.0656366
2,0.0785483
2,0.094
2,0.112491
2,0.13462
2,0.161101
2,0.192792
2,0.230716
2,0.276101
2,0.330413
2,0.395408
2,0.473189
2,0.566102
2,0.67613
2,0.804769
2,0.952235
2,1.11797
2,1.30053
2,1.49734
2,1.70213
2,1.90713
2,2.10441
2,2.28656
2,2.44673
2,2.57944
2,2.68094
2,2.75097
2,2.7913
2,2.80488
2,2.7953
2,2.76638
2,2.72178
2,2.665
2,2.59918
2,2.52703
2,2.45077
2,2.37227
2,2.29276
2,2.21309
2,2.13397
2,2.05594
2,1.97934
2,1.90448
2,1.83173
2,1.76159
2,1.69464
2,1.63118
2,1.57142
2,1.51554
2,1.46364
2,1.41581
2,1.37222
2,1.33302
2,1.29873
2,1.27017
2,1.24829
2,1.23317
2,1.22427
2,1.22151
2,1.22504
2,1.23468
2,1.25004
2,1.27045
2,1.29549
2,1.32516
2,1.35967
2,1.39908
2,1.44319
2,1.49202
2,1.54609
2,1.60654
2,1.6747
2,1.75244
2,1.84257
2,1.94882
2,2.07478
2,2.22336
2,2.3973
2,2.60011
2,2.83434
2,3.10241
2,3.40689
2,3.75204
2,4.14525
3,0.000395499
3,0.000631135
3,0.000822599
3,0.00101643
3,0.00123393
3,0.00148775
3,0.00178815
3,0.00214558
3,0.00257183
3,0.00308073
3,0.00368869
3,0.00441528
3,0.00528388
3,0.00632243
3,0.00756433
3,0.00904954
3,0.0108258
3,0.0129503
3,0.0154914
3,0.0185307
3,0.022166
3,0.0265143
3,0.0317155
3,0.0379368
3,0.0453783
3,0.0542794
3,0.0649264
3,0.0776617
3,0.092895
3,0.111116
3,0.132912
3,0.158982
3,0.190166
3,0.227466
3,0.272083
3,0.325451
3,0.389286
3,0.465643
3,0.556812
3,0.664726
3,0.790839
3,0.935354
3,1.09772
3,1.27651
3,1.46921
3,1.6697
3,1.87041
3,2.06361
3,2.2421
3,2.39922
3,2.52964
3,2.62972
3,2.69921
3,2.73983
3,2.75442
3,2.74648
3,2.7197
3,2.67761
3,2.62362
3,2.56076
3,2.49166
3,2.41848
3,2.34303
3,2.2665
3,2.18973
3,2.1134
3,2.03803
3,1.96398
3,1.89154
3,1.82106
3,1.75306
3,1.6881
3,1.62651
3,1.56847
3,1.51419
3,1.46377
3,1.4173
3,1.37497
3,1.33694
3,1.30373
3,1.27618
3,1.25526
3,1.24104
3,1.233
3,1.23109
3,1.23543
3,1.2459
3,1.26208
3,1.28332
3,1.30921
3,1.33974
3,1.37515
3,1.41548
3,1.46056
3,1.5104
3,1.56554
3,1.62712
3,1.69649
3,1.77555
3,1.86712
3,1.97497
3,2.10274
3,2.25336
3,2.42959
3,2.63496
3,2.87208
3,3.14335
3,3.45137
3,3.80044
3,4.19799
4,0.000394412
4,0.000629581
4,0.000821103
4,0.00101541
4,0.00123378
4,0.00148889
4,0.0017911
4,0.002151
4,0.00258056
4,0.00309384
4,0.00370754
4,0.00444161
4,0.00531989
4,0.00637089
4,0.00762874
4,0.00913428
4,0.0109364
4,0.0130936
4,0.0156759
4,0.0187672
4,0.0224679
4,0.026898
4,0.0322015
4,0.0385505
4,0.0461512
4,0.0552503
4,0.0661433
4,0.0791839
4,0.0947954
4,0.113485
4,0.135859
4,0.162644
4,0.194709
4,0.233097
4,0.279052
4,0.334068
4,0.39993
4,0.478776
4,0.572996
4,0.684614
4,0.815157
4,0.964857
4,1.13316
4,1.31861
4,1.51858
4,1.72672
4,1.93511
4,2.13566
4,2.32084
4,2.48364
4,2.61847
4,2.72147
4,2.79239
4,2.83302
4,2.84636
4,2.83608
4,2.80608
4,2.76009
4,2.70169
4,2.63409
4,2.56005
4,2.48186
4,2.40141
4,2.31995
4,2.23838
4,2.15739
4,2.07756
4,1.99923
4,1.9227
4,1.84836
4,1.77671
4,1.70834
4,1.64355
4,1.58254
4,1.5255
4,1.47252
4,1.4237
4,1.37919
4,1.33914
4,1.30408
4,1.27482
4,1.25231
4,1.23662
4,1.22721
4,1.224
4,1.22712
4,1.2364
4,1.25143
4,1.27155
4,1.29633
4,1.32576
4,1.36005
4,1.39925
4,1.44319
4,1.49185
4,1.54577
4,1.60608
4,1.67412
4,1.75177
4,1.84182
4,1.94802
4,2.07398
4,2.22261
4,2.39666
4,2.59965
4,2.83416
4,3.10261
4,3.40759
4,3.7534
4,4.14745
5,0.000395302
5,0.000630853
5,0.000822808
5,0.00101776
5,0.00123708
5,0.00149349
5,0.00179746
5,0.00215968
5,0.00259227
5,0.00310947
5,0.00372822
5,0.00446873
5,0.00535522
5,0.00641663
5,0.00768764
5,0.00920977
5,0.0110327
5,0.0132161
5,0.0158311
5,0.0189633
5,0.022715
5,0.0272086
5,0.032591
5,0.039038
5,0.0467601
5,0.0560097
5,0.0670889
5,0.0803595
5,0.0962551
5,0.115295
5,0.138101
5,0.165417
5,0.198138
5,0.23733
5,0.284274
5,0.340504
5,0.407857
5,0.488531
5,0.584988
5,0.699312
5,0.833085
5,0.986551
5,1.15915
5,1.34939
5,1.55456
5,1.76812
5,1.98192
5,2.18757
5,2.37731
5,2.54389
5,2.68151
5,2.78623
5,2.85775
5,2.89797
5,2.91
5,2.89766
5,2.86501
5,2.81593
5,2.75413
5,2.68295
5,2.60524
5,2.52338
5,2.4393
5,2.35433
5,2.26935
5,2.18511
5,2.10217
5,2.0209
5,1.9416
5,1.86464
5,1.79055
5,1.7199
5,1.65301
5,1.59006
5,1.53124
5,1.47663
5,1.42632
5,1.38044
5,1.33915
5,1.30296
5,1.27268
5,1.24925
5,1.23272
5,1.22254
5,1.21862
5,1.22107
5,1.22972
5,1.24414
5,1.26367
5,1.28786
5,1.3167
5,1.3504
5,1.389
5,1.43232
5,1.48035
5,1.5336
5,1.59323
5,1.66055
5,1.73743
5,1.82668
5,1.93202
5,2.05706
5,2.20471
5,2.3777
5,2.57955
5,2.81283
5,3.07997
5,3.38356
5,3.72789
5,4.12037
6,0.000396253
6,0.000632214
6,0.000824375
6,0.00101947
6,0.00123892
6,0.00149547
6,0.00179959
6,0.00216198
6,0.00259475
6,0.00311214
6,0.00373108
6,0.00447179
6,0.00535844
6,0.00641997
6,0.00769105
6,0.00921314
6,0.0110359
6,0.0132189
6,0.0158334
6,0.0189646
6,0.0227148
6,0.0272064
6,0.0325859
6,0.039029
6,0.046746
6,0.0559886
6,0.0670587
6,0.0803174
6,0.0961976
6,0.115217
6,0.137998
6,0.165282
6,0.197961
6,0.237101
6,0.283979
6,0.340126
6,0.407373
6,0.487916
6,0.584208
6,0.69833
6,0.831855
6,0.985029
6,1.15729
6,1.34715
6,1.55192
6,1.76506
6,1.97846
6,2.18378
6,2.37328
6,2.53975
6,2.67742
6,2.78237
6,2.85432
6,2.89512
6,2.9079
6,2.89644
6,2.86477
6,2.81673
6,2.75603
6,2.68595
6,2.60936
6,2.52859
6,2.44558
6,2.36163
6,2.27764
6,2.19432
6,2.11225
6,2.03178
6,1.95322
6,1.87695
6,1.80349
6,1.73342
6,1.66707
6,1.60462
6,1.54626
6,1.49209
6,1.44218
6,1.3967
6,1.35581
6,1.32001
6,1.29016
6,1.2672
6,1.25121
6,1.24162
6,1.23836
6,1.24154
6,1.251
6,1.26631
6,1.2868
6,1.31203
6,1.34198
6,1.37688
6,1.41678
6,1.46148
6,1.511
6,1.56586
6,1.62723
6,1.69648
6,1.77552
6,1.86722
6,1.97538
6,2.10372
6,2.2552
6,2.43262
6,2.6396
6,2.87877
6,3.15261
6,3.46379
6,3.8167
6,4.21895
7,0.000396225
7,0.000632173
7,0.000824417
7,0.0010197
7,0.00123944
7,0.00149642
7,0.00180113
7,0.00216431
7,0.00259814
7,0.0031169
7,0.00373763
7,0.00448064
7,0.00537025
7,0.00643558
7,0.00771149
7,0.00923972
7,0.0110703
7,0.0132631
7,0.0158898
7,0.0190365
7,0.0228061
7,0.0273219
7,0.0327317
7,0.0392125
7,0.0469764
7,0.0562774
7,0.0674198
7,0.0807682
7,0.0967594
7,0.115917
7,0.138867
7,0.166361
7,0.199298
7,0.238756
7,0.286026
7,0.342655
7,0.410496
7,0.491767
7,0.588953
7,0.704158
7,0.838979
7,0.993669
7,1.16767
7,1.35947
7,1.56637
7,1.78174
7,1.99739
7,2.20486
7,2.39632
7,2.56446
7,2.70345
7,2.80928
7,2.88169
7,2.92256
7,2.93505
7,2.92299
7,2.89048
7,2.84141
7,2.77953
7,2.70819
7,2.63029
7,2.54818
7,2.46384
7,2.37858
7,2.2933
7,2.20875
7,2.12549
7,2.04389
7,1.96425
7,1.88695
7,1.81252
7,1.74154
7,1.67434
7,1.61111
7,1.55202
7,1.49718
7,1.44666
7,1.40063
7,1.35922
7,1.32296
7,1.29269
7,1.26937
7,1.25305
7,1.24319
7,1.23967
7,1.24264
7,1.25191
7,1.26705
7,1.2874
7,1.3125
7,1.34234
7,1.37714
7,1.41695
7,1.46157
7,1.51102
7,1.56582
7,1.62715
7,1.69636
7,1.77538
7,1.86708
7,1.97528
7,2.10369
7,2.25528
7,2.43288
7,2.64009
7,2.87957
7,3.1538
7,3.46547
7,3.81899
7,4.22198
8,0.000395828
8,0.000631606
8,0.000823709
8,0.00101882
8,0.00123832
8,0.00149499
8,0.00179927
8,0.0021619
8,0.00259501
8,0.00311286
8,0.00373241
8,0.00447395
8,0.00536169
8,0.00642467
8,0.00769761
8,0.00922214
8,0.0110481
8,0.0132351
8,0.0158546
8,0.0189924
8,0.0227508
8,0.0272528
8,0.0326455
8,0.0391052
8,0.0468429
8,0.0561115
8,0.067214
8,0.0805132
8,0.0964438
8,0.115526
8,0.138385
8,0.165765
8,0.198564
8,0.237852
8,0.284913
8,0.341286
8,0.408812
8,0.489699
8,0.586414
8,0.701049
8,0.835187
8,0.989072
8,1.16214
8,1.35287
8,1.55858
8,1.77265
8,1.9869
8,2.19292
8,2.38289
8,2.54954
8,2.68705
8,2.79146
8,2.86249
8,2.90205
8,2.91329
8,2.90006
8,2.86646
8,2.81638
8,2.75358
8,2.6814
8,2.60274
8,2.51995
8,2.435
8,2.34921
8,2.26348
8,2.17854
8,2.09497
8,2.01312
8,1.93329
8,1.85586
8,1.78135
8,1.71033
8,1.6431
8,1.57986
8,1.52077
8,1.46592
8,1.41539
8,1.36931
8,1.32783
8,1.29145
8,1.26097
8,1.23732
8,1.22054
8,1.21008
8,1.20584
8,1.20793
8,1.21617
8,1.23013
8,1.24916
8,1.2728
8,1.30105
8,1.33409
8,1.37198
8,1.41453
8,1.46172
8,1.51407
8,1.5727
8,1.63892
8,1.71458
8,1.80245
8,1.90619
8,2.02938
8,2.17487
8,2.34537
8,2.54434
8,2.77431
8,3.03768
8,3.33698
8,3.67647
