iter,D_sim
0,0.0243888
0,0.0316455
0,0.041059
0,0.0532707
0,0.0691127
0,0.0896642
0,0.116326
0,0.150913
0,0.195784
0,0.253994
0,0.329511
0,0.427479
0,0.554573
0,0.719452
0,0.933349
0,1.21084
0,1.57082
0,2.03781
0,2.64362
0,3.42952
0,4.44902
0,5.77154
0,7.48317
0,9.68633
0,12.4994
0,16.0634
0,20.5529
0,26.178
0,33.1691
0,41.8075
0,52.4732
0,65.697
0,82.0976
0,102.364
0,127.264
0,157.604
0,194.163
0,237.26
0,286.608
0,341.045
0,398.708
0,457.182
0,513.993
0,567.09
0,615.021
0,656.9
0,692.446
0,721.761
0,745.167
0,763.079
0,775.961
0,784.286
0,788.525
0,789.12
0,786.497
0,781.06
0,773.194
0,763.243
0,751.482
0,738.148
0,723.455
0,707.613
0,690.82
0,673.263
0,655.109
0,636.53
0,617.693
0,598.757
0,579.853
0,561.087
0,542.534
0,524.229
0,506.204
0,488.494
0,471.134
0,454.154
0,437.578
0,421.426
0,405.741
0,390.548
0,375.86
0,361.679
0,348.006
0,334.818
0,322.101
0,309.852
0,298.071
0,286.753
0,275.902
0,265.48
0,255.484
0,245.911
0,236.771
0,228.091
0,219.897
0,212.214
0,205.115
0,198.657
0,192.885
0,187.794
0,183.363
0,179.56
0,176.354
0,173.712
0,171.6
0,170.002
0,168.97
0,168.579
0,168.939
0,170.185
1,0.00394002
1,0.00533721
1,0.00722399
1,0.00977236
1,0.0132147
1,0.0178649
1,0.0241472
1,0.0326348
1,0.0441019
1,0.0595949
1,0.0805274
1,0.108809
1,0.147021
1,0.19865
1,0.268407
1,0.362656
1,0.489998
1,0.66205
1,0.894512
1,1.20859
1,1.63294
1,2.20627
1,2.97906
1,4.01495
1,5.39224
1,7.20916
1,9.59189
1,12.6992
1,16.7174
1,21.8821
1,28.5137
1,37.0623
1,48.0803
1,62.2244
1,80.2743
1,103.112
1,131.682
1,166.63
1,208.139
1,255.614
1,307.736
1,362.512
1,417.684
1,471.2
1,521.438
1,567.238
1,608.01
1,643.556
1,673.924
1,699.285
1,719.887
1,736.024
1,748.012
1,756.17
1,760.823
1,762.302
1,760.94
1,757.049
1,750.878
1,742.649
1,732.571
1,720.858
1,707.718
1,693.351
1,677.945
1,661.699
1,644.807
1,627.459
1,609.815
1,592.007
1,574.141
1,556.27
1,538.451
1,520.741
1,503.196
1,485.867
1,468.796
1,452.023
1,435.607
1,419.589
1,403.996
1,388.843
1,374.145
1,359.892
1,346.082
1,332.72
1,319.81
1,307.356
1,295.363
1,283.806
1,272.684
1,261.994
1,251.747
1,241.962
1,232.662
1,223.864
1,215.622
1,207.981
1,200.976
1,194.607
1,188.864
1,183.729
1,179.184
1,175.21
1,171.786
1,168.905
1,166.611
1,164.97
1,164.077
1,164.054
2,0.00765372
2,0.0101938
2,0.0135723
2,0.018066
2,0.0240435
2,0.0319949
2,0.0425724
2,0.0566435
2,0.0753621
2,0.100264
2,0.133391
2,0.17746
2,0.236087
2,0.314079
2,0.417834
2,0.555861
2,0.739481
2,0.983752
2,1.30871
2,1.74099
2,2.31606
2,3.08104
2,4.09638
2,5.4369
2,7.19278
2,9.47525
2,12.4249
2,16.2158
2,21.0481
2,27.171
2,34.9199
2,44.7617
2,57.2602
2,73.072
2,92.9613
2,117.772
2,148.385
2,185.351
2,228.74
2,277.851
2,331.289
2,387.037
2,442.86
2,496.756
2,547.156
2,592.952
2,633.584
2,668.872
2,698.875
2,723.778
2,743.84
2,759.364
2,770.681
2,778.119
2,782.013
2,782.704
2,780.527
2,775.801
2,768.786
2,759.716
2,748.813
2,736.295
2,722.376
2,707.259
2,691.132
2,674.191
2,656.622
2,638.607
2,620.298
2,601.827
2,583.295
2,564.766
2,546.302
2,527.962
2,509.803
2,491.875
2,474.222
2,456.883
2,439.909
2,423.338
2,407.195
