iter,D_sim
0,0.000472342
0,0.000633459
0,0.000803395
0,0.000997679
0,0.00122655
0,0.00149925
0,0.00182579
0,0.0022178
0,0.00268915
0,0.00325649
0,0.00393987
0,0.00476347
0,0.00575644
0,0.00695393
0,0.00839836
0,0.0101409
0,0.0122434
0,0.0147802
0,0.0178414
0,0.0214685
0,0.0257355
0,0.0307488
0,0.0366468
0,0.0436018
0,0.0518226
0,0.0615145
0,0.0729918
0,0.0866532
0,0.102977
0,0.122485
0,0.145777
0,0.173573
0,0.20689
0,0.246811
0,0.2947
0,0.352229
0,0.421372
0,0.504274
0,0.603428
0,0.72181
0,0.862279
0,1.02604
0,1.21342
0,1.42199
0,1.64643
0,1.87868
0,2.10866
0,2.32618
0,2.52282
0,2.6904
0,2.82489
0,2.92545
0,2.99336
0,3.03124
0,3.04239
0,3.03041
0,2.99876
0,2.9507
0,2.88922
0,2.81698
0,2.73635
0,2.64934
0,2.55772
0,2.46433
0,2.37098
0,2.27883
0,2.18861
0,2.10079
0,2.01567
0,1.93343
0,1.85411
0,1.77759
0,1.7038
0,1.63268
0,1.56414
0,1.4981
0,1.43447
0,1.37317
0,1.31428
0,1.2578
0,1.20371
0,1.15204
0,1.10277
0,1.05591
0,1.01143
0,0.969268
0,0.929334
0,0.891532
0,0.855811
0,0.821948
0,0.789811
0,0.759294
0,0.730329
0,0.702875
0,0.676911
0,0.652366
0,0.629362
0,0.607759
0,0.587439
0,0.568395
0,0.550674
0,0.534323
0,0.519391
0,0.505909
0,0.494122
0,0.484176
0,0.476066
0,0.469739
0,0.465193
0,0.462034
1,0.000280958
1,0.000461867
1,0.000621736
1,0.000792181
1,0.000988589
1,0.0012214
1,0.0015003
1,0.00183597
1,0.00224094
1,0.00273026
1,0.00332208
1,0.00403838
1,0.00490579
1,0.00595658
1,0.00722986
1,0.00877302
1,0.0106436
1,0.0129111
1,0.0156602
1,0.0189327
1,0.0228005
1,0.0273664
1,0.0327633
1,0.0391571
1,0.0467496
1,0.0557418
1,0.0664394
1,0.0792309
1,0.0945851
1,0.113017
1,0.135124
1,0.161625
1,0.193535
1,0.231945
1,0.27823
1,0.334089
1,0.401533
1,0.482769
1,0.58038
1,0.697458
1,0.837022
1,1.00047
1,1.18836
1,1.39844
1,1.62553
1,1.86154
1,2.09627
1,2.3192
1,2.52159
1,2.69492
1,2.83492
1,2.94052
1,3.01288
1,3.05456
1,3.06882
1,3.05929
1,3.02945
1,2.98264
1,2.92188
1,2.84991
1,2.76915
1,2.68167
1,2.58928
1,2.49483
1,2.40013
1,2.30639
1,2.21438
1,2.12463
1,2.03748
1,1.95314
1,1.8717
1,1.79305
1,1.71714
1,1.64393
1,1.57334
1,1.50531
1,1.43975
1,1.3766
1,1.31593
1,1.25777
1,1.20212
1,1.14897
1,1.09833
1,1.05021
1,1.00458
1,0.961362
1,0.920468
1,0.881798
1,0.845295
1,0.810731
1,0.777969
1,0.746895
1,0.717438
1,0.68955
1,0.663206
1,0.638332
1,0.615041
1,0.593194
1,0.572671
1,0.553459
1,0.535602
1,0.519139
1,0.504114
1,0.490555
1,0.478695
1,0.468675
1,0.460489
1,0.454085
1,0.449462
1,0.446238
2,0.00027715
2,0.000456051
2,0.000614478
2,0.000783568
2,0.000978505
2,0.00120962
2,0.00148653
2,0.00181985
2,0.00222203
2,0.00270804
2,0.00329593
2,0.00400757
2,0.00486946
2,0.00591371
2,0.00717925
2,0.00871328
2,0.010573
