iter,D_sim
0,0.000120356
0,0.000205973
0,0.000283026
0,0.000362983
0,0.000451554
0,0.000552325
0,0.000668239
0,0.000802234
0,0.000957538
0,0.00113784
0,0.0013474
0,0.00159121
0,0.00187504
0,0.00220568
0,0.00259103
0,0.0030403
0,0.00356427
0,0.00417551
0,0.00488871
0,0.00572102
0,0.00669178
0,0.00782267
0,0.00913836
0,0.0106685
0,0.0124481
0,0.0145203
0,0.0169359
0,0.0197529
0,0.0230409
0,0.0268809
0,0.0313665
0,0.0366062
0,0.0427267
0,0.049876
0,0.0582266
0,0.0679801
0,0.0793721
0,0.0926775
0,0.108217
0,0.126367
0,0.147564
0,0.172321
0,0.201234
0,0.23499
0,0.274366
0,0.320256
0,0.373702
0,0.435873
0,0.507992
0,0.591144
0,0.686512
0,0.795055
0,0.917688
0,1.05462
0,1.20525
0,1.36835
0,1.54268
0,1.72742
0,1.92067
0,2.11974
0,2.32222
0,2.52613
0,2.72984
0,2.9321
0,3.13109
0,3.3261
0,3.51697
0,3.70368
0,3.88633
0,4.06516
0,4.24033
0,4.41186
0,4.57963
0,4.74375
0,4.9044
0,5.06189
0,5.21637
0,5.3679
0,5.51666
0,5.66287
0,5.80665
0,5.94805
0,6.08706
0,6.22372
0,6.35799
0,6.48988
0,6.61926
0,6.7462
0,6.87082
0,6.99323
0,7.11368
0,7.23247
0,7.35073
0,7.47004
0,7.59242
0,7.71982
0,7.85449
0,7.99847
0,8.15335
0,8.32031
0,8.50045
0,8.69466
0,8.90393
0,9.12936
0,9.37248
0,9.63491
0,9.91805
0,10.2226
0,10.5493
0,10.8995
1,0.000119799
1,0.000205046
1,0.000281793
1,0.000361449
1,0.000449702
1,0.00055012
1,0.000665638
1,0.000799184
1,0.000953976
1,0.00113369
1,0.00134259
1,0.00158562
1,0.00186857
1,0.0021982
1,0.00258237
1,0.0030303
1,0.00355271
1,0.00416217
1,0.00487331
1,0.00570324
1,0.00667125
1,0.007799
1,0.00911106
1,0.0106371
1,0.0124119
1,0.0144786
1,0.0168878
1,0.0196976
1,0.0229772
1,0.0268075
1,0.031282
1,0.0365088
1,0.0426146
1,0.0497467
1,0.0580777
1,0.0678086
1,0.0791745
1,0.0924499
1,0.107955
1,0.126065
1,0.147217
1,0.171921
1,0.200774
1,0.234461
1,0.273758
1,0.319556
1,0.372899
1,0.434951
1,0.506935
1,0.589934
1,0.685131
1,0.793484
1,0.915907
1,1.05261
1,1.20299
1,1.36583
1,1.5399
1,1.72436
1,1.91732
1,2.1161
1,2.31829
1,2.5219
1,2.72531
1,2.92727
