iter,D_sim
0,0.000122083
0,0.000208839
0,0.000291779
0,0.000383922
0,0.00049219
0,0.000621862
0,0.000778254
0,0.000967444
0,0.00119669
0,0.00147478
0,0.00181239
0,0.0022225
0,0.00272093
0,0.0033269
0,0.00406384
0,0.00496024
0,0.00605082
0,0.0073778
0,0.0089926
0,0.0109578
0,0.0133496
0,0.0162608
0,0.0198043
0,0.0241175
0,0.0293677
0,0.0357587
0,0.0435384
0,0.0530087
0,0.0645371
0,0.0785709
0,0.0956547
0,0.116451
0,0.141768
0,0.172587
0,0.210105
0,0.255777
0,0.311376
0,0.379059
0,0.461454
0,0.561756
0,0.68386
0,0.832503
0,1.01345
0,1.2333
0,1.49912
0,1.81929
0,2.2022
0,2.65474
0,3.18185
0,3.78414
0,4.4545
0,5.18033
0,5.94664
0,6.7378
0,7.53906
0,8.33824
0,9.12699
0,9.90059
0,10.6569
0,11.3953
0,12.1163
0,12.8208
0,13.5107
0,14.1877
0,14.8539
0,15.5118
0,16.1634
0,16.8106
0,17.455
0,18.0981
0,18.7412
0,19.3855
0,20.0318
0,20.6821
0,21.3392
0,22.0054
0,22.6832
0,23.3763
0,24.0886
0,24.8249
0,25.5896
0,26.387
0,27.2224
0,28.098
0,29.0138
0,29.9679
0,30.9586
0,31.9839
0,33.0414
0,34.1281
0,35.2441
0,36.392
0,37.5762
0,38.8016
0,40.0742
0,41.4009
0,42.7899
0,44.2507
0,45.7937
0,47.4348
0,49.1955
0,51.1001
0,53.1773
0,55.4494
0,57.9321
0,60.6379
0,63.597
0,66.8462
0,70.4276
0,74.3933
1,0.000123668
1,0.000211468
1,0.00029535
1,0.000388509
1,0.000497953
1,0.000629024
1,0.000787095
1,0.000978313
1,0.00121001
1,0.00149108
1,0.0018323
1,0.00224681
1,0.00275058
1,0.00336306
1,0.00410792
1,0.00501399
1,0.00611633
1,0.00745766
1,0.00908995
1,0.0110765
1,0.0134943
1,0.0164372
1,0.0200193
1,0.0243796
1,0.0296873
1,0.0361484
1,0.0440135
1,0.053588
1,0.0652434
1,0.0794322
1,0.0967049
1,0.117732
1,0.14333
1,0.174491
1,0.212427
1,0.258608
1,0.314828
1,0.383269
1,0.466587
1,0.568016
1,0.691492
1,0.84181
1,1.0248
1,1.24713
1,1.51596
1,1.83974
1,2.22696
1,2.68457
1,3.21755
1,3.82646
1,4.50405
1,5.23748
1,6.01154
1,6.81032
1,7.61885
1,8.42477
1,9.2196
1,9.99858
1,10.7596
1,11.5019
1,12.2261
1,12.9334
1,13.6253
1,14.3038
1,14.9711
1,15.6295
1,16.2813
1,16.9284
1,17.5723
1,18.2147
1,18.8567
1,19.4996
1,20.1444
1,20.7929
1,21.448
1,22.1121
1,22.7876
1,23.4783
1,24.1882
1,24.922
1,25.6842
1,26.4791
1,27.3121
1,28.1854
1,29.0988
1,30.0505
1,31.0388
1,32.0614
1,33.1163
1,34.1999
1,35.3126
1,36.457
1,37.6374
1,38.8589
1,40.1273
1,41.4497
1,42.8342
1,44.2905
1,45.829
1,47.4655
1,49.2218
1,51.1223
1,53.1957
1,55.4645
1,57.9442
1,60.6474
1,63.6043
1,66.8517
1,70.432
1,74.3973
2,0.000130609
2,0.000222956
2,0.000310802
2,0.000408075
2,0.000522131
2,0.000658528
2,0.000822825
2,0.00102136
2,0.00126168
2,0.00155292
2,0.00190618
2,0.00233491
2,0.00285551
2,0.00348791
2,0.00425633
2,0.00519026
2,0.00632555
2,0.00770579
2,0.00938403
2,0.0114248
2,0.0139065
2,0.0169246
2,0.0205953
2,0.0250597
2,0.0304895
2,0.0370937
2,0.0451265
2,0.0548968
2,0.0667807
2,0.0812356
2,0.0988176
2,0.120203
2,0.146216
2,0.177857
2,0.216343
2,0.263155
2,0.320096
2,0.389357
2,0.473603
2,0.576076
2,0.70072
2,0.852332
2,1.03675
2,1.26061
2,1.53107
2,1.85651
2,2.24537
2,2.70447
2,3.23863
2,3.84822
2,4.52577
2,5.25821
2,6.0302
2,6.82578
2,7.63002
2,8.43066
2,9.2194
2,9.99163
2,10.7454
2,11.4801
2,12.1965
2,12.8957
2,13.5796
2,14.2502
2,14.9096
2,15.5605
2,16.2049
2,16.8449
2,17.4821
2,18.1182
2,18.7544
2,19.392
2,20.032
2,20.6763
2,21.3279
2,21.9891
2,22.6625
2,23.3518
2,24.0612
2,24.7953
2,25.5589
2,26.3561
2,27.1925
2,28.0703
2,28.9893
2,29.9476
2,30.9434
2,31.9747
2,33.039
2,34.1331
2,35.2573
2,36.4141
2,37.6081
2,38.8445
2,40.1292
2,41.4696
2,42.8739
2,44.3519
2,45.9144
2,47.5776
2,49.3637
2,51.2977
2,53.4092
2,55.7208
2,58.2484
2,61.0047
2,64.0204
2,67.3333
2,70.9866
2,75.0335
3,0.000211329
3,0.000294785
3,0.000387031
3,0.000494972
3,0.000623794
3,0.000778651
3,0.000965395
3,0.00119098
3,0.0014638
3,0.00179401
3,0.00219393
3,0.00267853
3,0.00326595
3,0.00397822
3,0.00484209
3,0.00588999
3,0.00716133
3,0.00870392
3,0.0105758
3,0.0128474
3,0.0156042
3,0.01895
3,0.0230108
3,0.0279396
3,0.0339218
3,0.0411829
3,0.0499963
3,0.060694
3,0.0736789
3,0.0894401
3,0.108571
3,0.131793
3,0.159981
3,0.194195
3,0.235726
