iter,D_sim
0,0.000314393
0,0.000512416
0,0.000696305
0,0.000904394
0,0.00115635
0,0.00146782
0,0.00185558
0,0.0023397
0,0.00294504
0,0.00370265
0,0.00465141
0,0.00584005
0,0.00732965
0,0.00919675
0,0.0115374
0,0.0144719
0,0.0181511
0,0.0227645
0,0.0285491
0,0.0358026
0,0.0448982
0,0.0563037
0,0.0706058
0,0.0885403
0,0.11103
0,0.139231
0,0.174595
0,0.218941
0,0.27455
0,0.344283
0,0.431727
0,0.54138
0,0.678882
0,0.851306
0,1.06752
0,1.33865
0,1.67862
0,2.10494
0,2.63952
0,3.30983
0,4.15035
0,5.16912
0,6.33408
0,7.60939
0,8.94786
0,10.2946
0,11.6006
0,12.8277
0,13.954
0,14.9706
0,15.8774
0,16.6815
0,17.3872
0,17.9983
0,18.5199
0,18.9604
0,19.3271
0,19.6259
0,19.8626
0,20.0433
0,20.1747
0,20.2621
0,20.3061
0,20.3137
0,20.2918
0,20.2462
0,20.1862
0,20.1233
0,20.0695
0,20.0267
0,19.9848
0,19.9176
0,19.8107
0,19.6581
0,19.4568
0,19.2075
0,18.918
0,18.6008
0,18.2876
0,18.0001
0,17.7508
0,17.549
0,17.4007
0,17.3094
0,17.2876
0,17.3416
0,17.475
0,17.6913
0,18.0022
0,18.3828
0,18.8227
0,19.3053
0,19.831
0,20.4046
0,21.0335
0,21.7167
0,22.5101
0,23.4639
0,24.6331
0,26.0465
0,27.7304
0,29.7131
0,32.0233
0,34.6859
0,37.7321
0,41.1875
0,45.1143
0,49.5935
0,54.7445
0,60.7213
1,0.000981745
1,0.00123291
1,0.00153841
1,0.00191322
1,0.00237461
1,0.00294348
1,0.00364548
1,0.00451227
1,0.00558293
1,0.00690573
1,0.00854036
1,0.0105605
1,0.0130574
1,0.0161437
1,0.0199586
1,0.0246743
1,0.0305036
1,0.0377095
1,0.0466172
1,0.0576288
1,0.0712411
1,0.0880685
1,0.10887
1,0.134585
1,0.166374
1,0.20567
1,0.254249
1,0.3143
1,0.388536
1,0.480304
1,0.593747
1,0.733984
1,0.907341
1,1.12164
1,1.38655
1,1.71402
1,2.11883
1,2.61924
1,3.2378
1,4.00243
1,4.94758
1,6.07646
1,7.34753
1,8.7169
1,10.1307
1,11.5296
1,12.8628
1,14.093
1,15.2011
1,16.1817
1,17.0384
1,17.7818
1,18.4196
1,18.9581
1,19.4047
1,19.7697
1,20.0619
1,20.2885
1,20.4559
1,20.5712
1,20.6413
1,20.6721
1,20.664
1,20.6242
1,20.5598
1,20.4763
1,20.3826
1,20.2903
1,20.2107
1,20.1453
1,20.083
1,19.9973
1,19.8738
1,19.7069
1,19.494
1,19.236
1,18.9412
1,18.6221
1,18.3107
1,18.0286
1,17.7874
1,17.5958
1,17.4591
1,17.3796
1,17.3697
1,17.4344
1,17.5766
1,17.7985
1,18.1111
1,18.4876
1,18.9164
1,19.3804
1,19.8796
1,20.4188
1,21.0051
1,21.637
1,22.3696
1,23.2506
1,24.3314
1,25.636
1,27.1848
1,28.9995
1,31.1011
1,33.5065
1,36.2376
1,39.3107
1,42.7748
1,46.695
1,51.1688
1,56.3214
2,0.000327416
2,0.000531851
2,0.000720514
2,0.000933495
2,0.00119119
2,0.00150968
2,0.0019061
2,0.00240093
2,0.00301949
2,0.00379342
2,0.00476229
2,0.00597567
2,0.00749568
2,0.00940015
2,0.0117866
2,0.0147773
2,0.0185255
2,0.0232232
2,0.029111
2,0.0364908
2,0.0457405
2,0.0573342
2,0.071866
2,0.0900804
2,0.112911
2,0.141527
2,0.177395
2,0.222354
2,0.278706
2,0.349339
2,0.437873
2,0.548843
2,0.687936
2,0.862277
2,1.0808
2,1.35469
2,1.698
2,2.12829
2,2.66761
2,3.34358
2,4.19081
2,5.21682
2,6.38823
2,7.66811
2,9.00827
2,10.353
2,11.6528
2,12.8696
2,13.982
2,14.9817
2,15.8695
2,16.653
2,17.3374
2,17.9269
2,18.427
2,18.8466
2,19.1932
2,19.4731
2,19.6919
2,19.8563
2,19.9727
2,20.0466
2,20.0785
2,20.0755
2,20.0445
2,19.9913
2,19.9251
2,19.8578
2,19.801
2,19.7567
2,19.7142
2,19.6468
2,19.5395
2,19.3865
2,19.1847
2,18.9349
2,18.6452
2,18.3285
2,18.0171
2,17.733
2,17.4887
2,17.2935
2,17.1533
2,17.0712
2,17.06
2,17.1256
2,17.2718
2,17.5015
2,17.8268
2,18.2217
2,18.6754
2,19.171
2,19.7088
2,20.2938
2,20.9337
2,21.6275
2,22.4326
2,23.4003
2,24.5868
2,26.0206
2,27.7282
2,29.7375
2,32.0772
2,34.772
2,37.8528
2,41.3449
2,45.3112
2,49.8335
2,55.0329
2,61.0654
3,0.00100725
3,0.00126309
3,0.00157443
3,0.00195659
3,0.00242723
3,0.00300767
3,0.00372412
3,0.00460893
3,0.00570199
3,0.00705265
3,0.00872185
3,0.0107849
3,0.0133351
3,0.0164873
3,0.0203841
3,0.0252012
3,0.0311561
3,0.0385178
3,0.0476185
3,0.0588692
3,0.0727778
3,0.0899723
3,0.111229
3,0.137507
3,0.169994
3,0.210156
3,0.259806
3,0.321185
3,0.397066
3,0.490872
3,0.60684
3,0.750204
3,0.927436
3,1.14654
3,1.41739
3,1.75224
3,2.16617
3,2.67788
3,3.31045
3,4.09243
3,5.05908
3,6.21312
3,7.51095
3,8.90683
3,10.3449
3,11.7638
3,13.1116
3,14.3501
3,15.4604
3,16.4377
3,17.2866
3,18.0186
3,18.6422
3,19.1642
3,19.5927
3,19.9386
3,20.2111
3,20.4177
3,20.5651
3,20.6607
3,20.7116
3,20.7237
3,20.6975
3,20.6404
3,20.5595
3,20.4604
3,20.3523
3,20.2469
3,20.1557
3,20.08
3,20.0082
3,19.9128
3,19.779
3,19.6012
3,19.3769
3,19.1072
3,18.8006
3,18.4703
3,18.149
3,17.8586
3,17.6112
3,17.4151
3,17.2754
3,17.1944
3,17.1841
3,17.2498
3,17.3939
3,17.6183
3,17.9342
3,18.3137
3,18.7449
3,19.2102
3,19.7098
3,20.2485
3,20.8336
3,21.4637
3,22.1948
3,23.0757
3,24.1582
3,25.466
3,27.0194
3,28.8397
3,30.9476
3,33.3595
3,36.097
3,39.1759
3,42.6456
3,46.5716
3,51.0522
3,56.2138
4,0.000489053
4,0.000665131
4,0.000862985
4,0.00110096
4,0.0013934
4,0.00175544
4,0.00220507
4,0.00276438
4,0.00346085
4,0.00432872
4,0.00541065
4,0.00675991
4,0.00844293
4,0.0105426
4,0.0131624
4,0.0164313
4,0.0205106
4,0.0256012
4,0.0319541
4,0.0398823
4,0.0497767
4,0.062125
4,0.0775359
4,0.096769
4,0.120772
4,0.150729
4,0.188116
4,0.234776
4,0.293009
4,0.365686
4,0.456388
4,0.569586
4,0.710861
4,0.887173
4,1.10721
4,1.38183
4,1.72454
4,2.15225
4,2.68602
4,3.35216
4,4.18346
4,5.18726
4,6.3325
4,7.58445
4,8.89778
4,10.2201
4,11.5045
4,12.7147
4,13.8295
4,14.84
4,15.7456
4,16.5522
4,17.2639
4,17.884
4,18.4172
4,18.8711
4,19.2527
4,19.5674
4,19.8206
4,20.0183
4,20.1667
4,20.271
4,20.3318
4,20.3558
4,20.3497
4,20.3189
4,20.2722
4,20.2206
4,20.1752
4,20.1383
4,20.1007
4,20.0387
4,19.9389
4,19.7957
4,19.6064
4,19.3713
4,19.0976
4,18.7967
4,18.4978
4,18.2212
4,17.9788
4,17.7796
4,17.6295
4,17.5321
4,17.4994
4,17.5373
4,17.6498
4,17.84
4,18.1192
4,18.4644
4,18.8661
4,19.309
4,19.7932
4,20.3229
4,20.9047
4,21.5377
4,22.2728
4,23.1556
4,24.2366
4,25.5421
4,27.0959
4,28.9237
4,31.0508
4,33.4997
4,36.2973
4,39.4662
4,43.0608
4,47.1522
4,51.8453
4,57.2753
5,0.000380569
5,0.000609696
5,0.000816751
5,0.00104941
5,0.00133125
5,0.00168039
5,0.00211588
5,0.00266041
5,0.00334209
