iter,D_sim
0,0.000479158
0,0.0006308
0,0.000820502
0,0.00105894
0,0.00135927
0,0.00173804
0,0.00221615
0,0.00282002
0,0.00358307
0,0.00454761
0,0.00576712
0,0.00730931
0,0.00925981
0,0.011727
0,0.0148479
0,0.0187961
0,0.023791
0,0.0301103
0,0.0381053
0,0.0482205
0,0.0610184
0,0.0772106
0,0.0976974
0,0.123618
0,0.156413
0,0.197907
0,0.250406
0,0.316829
0,0.400868
0,0.507141
0,0.641583
0,0.811673
0,1.02686
0,1.29896
0,1.64315
0,2.07854
0,2.62927
0,3.32586
0,4.20685
0,5.31646
0,6.69434
0,8.35956
0,10.3029
0,12.4982
0,14.8952
0,17.4217
0,19.9851
0,22.4895
0,24.8552
0,27.0252
0,28.9565
0,30.6215
0,32.0043
0,33.1043
0,33.9348
0,34.5161
0,34.8712
0,35.0237
0,34.9972
0,34.814
0,34.4963
0,34.0644
0,33.5362
0,32.9271
0,32.2509
0,31.5207
0,30.7488
0,29.945
0,29.1158
0,28.2672
0,27.4049
0,26.5332
0,25.6568
0,24.7795
0,23.9051
0,23.0384
0,22.1836
0,21.3445
0,20.5242
0,19.725
0,18.9482
0,18.195
0,17.4659
0,16.7611
0,16.0803
0,15.4236
0,14.7908
0,14.1819
0,13.5968
0,13.0343
0,12.4938
0,11.9749
0,11.4771
0,11.0005
0,10.5448
0,10.1099
0,9.69619
0,9.30377
0,8.9324
0,8.58151
0,8.25042
0,7.93812
0,7.64354
0,7.36568
0,7.10388
0,6.85766
0,6.62699
0,6.41203
0,6.21334
0,6.0317
1,0.000343735
1,0.000464953
1,0.000615789
1,0.000805877
1,0.00104646
1,0.00135155
1,0.00173887
1,0.002231
1,0.00285664
1,0.00365235
1,0.00466467
1,0.00595287
1,0.0075924
1,0.00967935
1,0.0123361
1,0.0157183
1,0.0200244
1,0.025507
1,0.0324876
1,0.0413758
1,0.0526929
1,0.067103
1,0.0854514
1,0.108814
1,0.138563
1,0.176442
1,0.224673
1,0.286086
1,0.364283
1,0.463799
1,0.590496
1,0.751813
1,0.957204
1,1.21857
1,1.5513
1,1.97487
1,2.51409
1,3.20045
1,4.07404
1,5.18129
1,6.56465
1,8.24619
1,10.2191
1,12.4588
1,14.915
1,17.5138
1,20.1582
1,22.7469
1,25.1945
1,27.4396
1,29.4353
1,31.151
1,32.5691
1,33.6886
1,34.5234
1,35.0954
1,35.4295
1,35.5512
1,35.486
1,35.2582
1,34.8915
1,34.4076
1,33.8259
1,33.1626
1,32.4325
1,31.6495
1,30.8262
1,29.9729
1,29.0964
1,28.2032
1,27.2988
1,26.388
1,25.4754
1,24.5649
1,23.6603
1,22.7663
1,21.8868
1,21.0255
1,20.1852
1,19.368
1,18.5751
1,17.8075
1,17.0657
1,16.3495
1,15.6589
1,14.9936
1,14.3535
1,13.7382
1,13.1476
1,12.5806
1,12.0365
1,11.5147
1,11.0148
1,10.5364
1,10.0794
1,9.64332
1,9.22838
1,8.83449
1,8.46126
1,8.10807
1,7.77418
1,7.45865
1,7.16046
1,6.87867
1,6.61258
1,6.36168
1,6.12579
1,5.90491
1,5.6993
1,5.50945
2,0.000520401
2,0.000683023
2,0.000886065
2,0.00114085
2,0.00146128
2,0.00186483
2,0.00237351
2,0.00301513
2,0.00382481
2,0.00484693
2,0.00613758
2,0.0077676
2,0.00982652
2,0.0124275
2,0.0157134
2,0.019865
2,0.0251103
2,0.031738
2,0.0401123
2,0.0506938
2,0.0640644
2,0.0809593
2,0.102308
2,0.129283
2,0.16337
2,0.206442
2,0.260867
2,0.329638
2,0.416535
2,0.526281
2,0.664937
2,0.840133
2,1.0615
2,1.34104
2,1.69419
2,2.14035
2,2.70399
2,3.41599
2,4.31532
2,5.44656
2,6.84923
2,8.54146
2,10.5123
2,12.7336
2,15.1529
2,17.6962
2,20.2687
2,22.7737
2,25.1311
2,27.2845
2,29.1918
2,30.8264
2,32.1737
2,33.2345
2,34.023
2,34.5608
2,34.8716
2,34.98
2,34.9099
2,34.6844
2,34.3259
2,33.8551
2,33.2903
2,32.6467
2,31.9386
2,31.1791
2,30.3805
2,29.5527
2,28.7019
2,27.8343
2,26.955
2,26.0686
2,25.1793
2,24.2909
