iter,D_sim
0,0.000175408
0,0.000296129
0,0.00041364
0,0.000548185
0,0.000710861
0,0.000910947
0,0.00115855
0,0.00146578
0,0.00184761
0,0.00232266
0,0.00291412
0,0.00365095
0,0.00456923
0,0.005714
0,0.00714146
0,0.00892171
0,0.0111422
0,0.0139121
0,0.0173676
0,0.0216785
0,0.0270569
0,0.0337672
0,0.0421396
0,0.0525857
0,0.0656194
0,0.0818818
0,0.102173
0,0.127491
0,0.15908
0,0.198496
0,0.247676
0,0.30904
0,0.385605
0,0.481138
0,0.600336
0,0.74906
0,0.934624
0,1.16615
0,1.45502
0,1.81543
0,2.26273
0,2.807
0,3.45099
0,4.19865
0,5.05033
0,6.00178
0,7.04338
0,8.16213
0,9.34306
0,10.5702
0,11.822
0,13.0765
0,14.3093
0,15.497
0,16.6193
0,17.6605
0,18.6087
0,19.4596
0,20.2123
0,20.8704
0,21.4406
0,21.9308
0,22.3485
0,22.701
0,22.9951
0,23.2382
0,23.4377
0,23.6003
0,23.733
0,23.8425
0,23.9341
0,24.0121
0,24.0803
0,24.1438
0,24.2086
0,24.2764
0,24.3452
0,24.4086
0,24.4555
0,24.4786
0,24.4731
0,24.4364
0,24.3692
0,24.2753
0,24.1628
0,24.0464
0,23.9372
0,23.8422
0,23.7667
0,23.7095
0,23.6692
0,23.6444
0,23.6338
0,23.6369
0,23.6536
0,23.6829
0,23.7298
0,23.7994
0,23.8973
0,24.0286
0,24.1969
0,24.4072
0,24.6639
0,24.9789
0,25.3696
0,25.8575
0,26.4695
0,27.2367
0,28.1901
0,29.3689
1,0.000206507
1,0.000345934
1,0.000479581
1,0.000631378
1,0.000814147
1,0.00103834
1,0.00131519
1,0.00165809
1,0.00208352
1,0.00261194
1,0.00326881
1,0.00408583
1,0.00510245
1,0.00636786
1,0.00794327
1,0.00990498
1,0.012348
1,0.0153907
1,0.0191805
1,0.023901
1,0.0297812
1,0.0371061
1,0.0462306
1,0.0575973
1,0.0717571
1,0.0893965
1,0.111371
1,0.138745
1,0.172847
1,0.215329
1,0.268252
1,0.33418
1,0.41631
1,0.518623
1,0.646078
1,0.804852
1,1.00264
1,1.24903
1,1.55595
1,1.93828
1,2.41194
1,2.98693
1,3.66512
1,4.44978
1,5.3403
1,6.33114
1,7.41117
1,8.56583
1,9.77871
1,11.0326
1,12.3046
1,13.5715
1,14.8081
1,15.9903
1,17.0977
1,18.1149
1,19.0308
1,19.8422
1,20.5496
1,21.1578
1,21.6754
1,22.1113
1,22.4744
1,22.7728
1,23.0143
1,23.2069
1,23.3587
1,23.477
1,23.5693
1,23.6428
1,23.7028
1,23.7538
1,23.7997
1,23.8457
1,23.8981
1,23.9585
1,24.0242
1,24.0876
1,24.136
1,24.1612
1,24.1579
1,24.123
1,24.0576
1,23.9657
1,23.8566
1,23.7467
1,23.6484
1,23.5693
1,23.5149
1,23.4833
1,23.4727
1,23.4808
1,23.506
1,23.5476
1,23.6051
1,23.6773
1,23.7699
1,23.8886
1,24.0397
1,24.2288
1,24.4601
1,24.7389
1,25.0703
1,25.4677
1,25.9513
1,26.5459
1,27.2824
1,28.1965
1,29.3236
1,30.7082
2,0.000244333
2,0.000343442
2,0.000457324
2,0.000595117
2,0.00076455
2,0.000974061
2,0.00123378
2,0.00155621
2,0.00195687
2,0.0024551
2,0.00307498
2,0.00384651
2,0.00480709
2,0.00600331
2,0.00749322
2,0.00934916
2,0.0116613
2,0.0145419
2,0.0181311
2,0.0226032
2,0.0281756
2,0.0351193
2,0.0437718
2,0.0545537
2,0.0679894
2,0.0847319
2,0.105595
2,0.131594
2,0.163993
2,0.204366
2,0.254676
2,0.317371
2,0.395496
2,0.492851
2,0.614167
2,0.765341
2,0.95372
2,1.18846
2,1.48096
2,1.84542
2,2.29726
2,2.84682
2,3.49731
2,4.25298
2,5.11453
2,6.07801
2,7.13414
2,8.27014
2,9.47114
2,10.7211
2,11.9985
2,13.281
2,14.5442
2,15.7642
2,16.92
2,17.9953
2,18.9774
2,19.8613
2,20.645
2,21.3316
2,21.9271
2,22.4386
2,22.8735
2,23.2385
2,23.5402
2,23.7859
2,23.9826
2,24.1368
2,24.2554
2,24.3447
2,24.41
2,24.4555
2,24.4851
2,24.5036
2,24.5165
2,24.5258
2,24.5301
2,24.5247
2,24.5005
2,24.4518
2,24.3749
2,24.2679
2,24.1316
2,23.9693
2,23.788
2,23.5996
2,23.4132
2,23.2349
2,23.0691
2,22.9153
2,22.7728
2,22.6407
2,22.5183
2,22.4054
2,22.3019
2,22.2073
2,22.1252
2,22.0596
2,22.0144
2,21.9934
2,21.9994
2,22.0358
2,22.1058
2,22.2178
2,22.3837
2,22.6187
2,22.941
2,23.3723
2,23.9339
2,24.6525
3,0.000332458
3,0.000460781
3,0.000605668
3,0.000779179
3,0.00099098
3,0.00125131
3,0.00157228
3,0.00196872
3,0.00245894
3,0.00306563
3,0.00381692
3,0.00474767
3,0.00590115
3,0.007331
3,0.00910375
3,0.0113019
3,0.0140279
