iter,D_sim
0,0.000312279
0,0.000426546
0,0.000547485
0,0.000684653
0,0.000844413
0,0.00103245
0,0.00125485
0,0.00151856
0,0.00183179
0,0.0022043
0,0.0026477
0,0.00317585
0,0.00380528
0,0.00455572
0,0.00545072
0,0.0065184
0,0.0077923
0,0.00931249
0,0.0111268
0,0.0132557
0,0.0157385
0,0.0186283
0,0.0219907
0,0.0259068
0,0.030475
0,0.035824
0,0.0421186
0,0.049568
0,0.0584256
0,0.0689985
0,0.0816526
0,0.0968066
0,0.114948
0,0.136638
0,0.1625
0,0.193245
0,0.229676
0,0.272739
0,0.323492
0,0.383012
0,0.452326
0,0.532536
0,0.624876
0,0.730228
0,0.848832
0,0.980391
0,1.12414
0,1.27873
0,1.44239
0,1.61295
0,1.78825
0,1.96654
0,2.14647
0,2.32692
0,2.50693
0,2.68595
0,2.86379
0,3.04066
0,3.21696
0,3.39303
0,3.56923
0,3.74591
0,3.92334
0,4.10178
0,4.28155
0,4.46194
0,4.64192
0,4.82046
0,4.99673
0,5.17001
0,5.33973
0,5.50546
0,5.66724
0,5.82534
0,5.98009
0,6.13188
0,6.28104
0,6.42786
0,6.57265
0,6.71576
0,6.85748
0,6.99822
0,7.13835
0,7.27814
0,7.41787
0,7.55788
0,7.69854
0,7.8406
0,7.98481
0,8.1321
0,8.28384
0,8.44151
0,8.60649
0,8.78005
0,8.963
0,9.15586
0,9.35911
0,9.57316
0,9.79873
0,10.0369
0,10.2891
0,10.5565
0,10.8398
0,11.1394
0,11.4562
0,11.7901
0,12.1415
0,12.5103
0,12.8977
0,13.3065
1,0.000234691
1,0.000390369
1,0.000527844
1,0.000672211
1,0.000835713
1,0.00102635
1,0.00125118
1,0.00151774
1,0.00183466
1,0.00221211
1,0.00266222
1,0.00319945
1,0.0038411
1,0.00460785
1,0.00552443
1,0.00662045
1,0.0079313
1,0.00949935
1,0.0113753
1,0.0135788
1,0.0161507
1,0.0191473
1,0.0226385
1,0.0267113
1,0.0314716
1,0.0370584
1,0.0436513
1,0.0514781
1,0.0608156
1,0.0719994
1,0.0854296
1,0.101564
1,0.120936
1,0.144159
1,0.171914
1,0.204982
1,0.244241
1,0.290733
1,0.345624
1,0.41009
1,0.485245
1,0.572287
1,0.672561
1,0.786993
1,0.915745
1,1.05835
1,1.21382
1,1.38047
1,1.55618
1,1.73834
1,1.92446
1,2.11252
1,2.30105
1,2.48884
1,2.67488
1,2.85871
1,3.04022
1,3.21983
1,3.39816
1,3.57571
1,3.75303
1,3.93061
1,4.10883
1,4.28806
1,4.46871
1,4.64994
1,4.8305
1,5.00919
1,5.18505
1,5.35728
1,5.52525
1,5.68853
1,5.84726
1,6.00185
1,6.15279
1,6.30061
1,6.44577
1,6.58864
1,6.72964
1,6.86919
1,7.00767
1,7.14558
1,7.28337
1,7.42134
1,7.55982
1,7.69918
1,7.83988
1,7.98281
1,8.12884
1,8.27911
1,8.43525
1,8.59902
1,8.77204
1,8.95576
1,9.15104
1,9.3584
1,9.57824
1,9.81096
1,10.0574
1,10.3186
1,10.5965
1,10.8921
1,11.2064
1,11.5398
1,11.8929
1,12.2658
1,12.6586
1,13.0713
1,13.5053
1,13.9639
2,0.000244315
2,0.000405391
2,0.00054685
2,0.000694927
2,0.00086236
2,0.0010574
2,0.00128731
2,0.00155974
2,0.0018835
2,0.00226895
2,0.00272841
2,0.00327657
2,0.003931
2,0.0047127
2,0.00564675
2,0.00676316
2,0.00809782
2,0.00969366
2,0.011602
2,0.0138421
2,0.0164549
2,0.0194971
2,0.0230395
2,0.0271698
2,0.0319949
2,0.0376555
2,0.0443331
2,0.0522581
2,0.0617104
2,0.0730287
2,0.0866167
2,0.102935
2,0.122522
2,0.145992
2,0.17403
2,0.207419
2,0.247038
2,0.293932
2,0.349265
2,0.414215
2,0.489886
2,0.577467
2,0.678296
2,0.793279
2,0.922545
2,1.06559
2,1.22138
2,1.3882
2,1.56387
2,1.74578
2,1.9314
2,2.11873
2,2.3063
2,2.49293
2,2.67766
2,2.86004
2,3.04001
2,3.21804
2,3.39477
2,3.57074
2,3.74653
2,3.92265
2,4.09949
2,4.27744
2,4.45694
2,4.63712
2,4.81675
2,4.99463
2,5.16979
2,5.34147
2,5.50905
2,5.67213
2,5.83087
2,5.98569
2,6.13712
2,6.2857
2,6.43188
2,6.57605
2,6.71865
2,6.86008
2,7.00074
2,7.14112
2,7.28166
2,7.42268
2,7.5645
2,7.70751
2,7.85215
2,7.99932
2,8.14991
2,8.30507
2,8.46644
2,8.63584
2,8.81488
2,9.00507
2,9.20724
2,9.42192
2,9.64952
2,9.89044
2,10.1455
2,10.4158
2,10.7033
2,11.0092
2,11.3343
2,11.679
2,12.0441
2,12.4296
2,12.8356
2,13.2621
2,13.7105
2,14.1843
3,0.000247863
3,0.000410908
3,0.000553856
3,0.000703375
3,0.000872394
3,0.00106928
3,0.00130136
3,0.00157639
3,0.00190327
3,0.00229245
3,0.00275638
3,0.00330993
3,0.00397083
3,0.00476029
3,0.00570368
3,0.00683131
3,0.00817945
3,0.00979147
3,0.0117192
3,0.013982
3,0.0166211
3,0.0196937
3,0.0232714
3,0.0274427
3,0.0323157
3,0.0380328
3,0.0447774
3,0.0527828
3,0.0623319
3,0.0737673
3,0.0874973
3,0.103988
3,0.123782
3,0.147503
3,0.175842
3,0.209588
3,0.249632
3,0.297028
3,0.352954
3,0.418598
3,0.495071
3,0.583575
3,0.685458
3,0.801628
3,0.932206
3,1.07667
3,1.23395
3,1.4023
3,1.57951
3,1.7629
3,1.94992
3,2.13854
3,2.32727
3,2.51492
3,2.70052
3,2.88362
3,3.06418
3,3.24267
3,3.41977
3,3.59602
3,3.77202
3,3.94828
3,4.12522
3,4.30322
3,4.48273
3,4.66287
3,4.84239
3,5.02005
3,5.19491
3,5.36616
3,5.5332
3,5.69562
3,5.85358
3,6.00752
3,6.15799
3,6.30553
3,6.45061
3,6.59363
3,6.73502
3,6.87521
3,7.01458
3,7.15365
3,7.29286
3,7.43252
3,7.57297
3,7.71458
3,7.85782
3,8.00358
3,8.15276
3,8.30652
3,8.46653
3,8.6346
3,8.81238
3,9.00136
3,9.20238
3,9.41595
3,9.64247
3,9.88233
3,10.1363
3,10.4057
3,10.6922
3,10.9971
3,11.3212
3,11.6649
3,12.029
3,12.4135
3,12.8184
3,13.2437
3,13.6909
3,14.1635
4,0.000199682
4,0.000335075
