iter,D_sim
0,5.65789
0,6.36919
0,7.1699
0,8.07128
0,9.08597
0,10.2282
0,11.514
0,12.9615
0,14.5909
0,16.4251
0,18.4899
0,20.8141
0,23.4305
0,26.3757
0,29.6911
0,33.4231
0,37.624
0,42.3528
0,47.6758
0,53.6674
0,60.4118
0,68.0032
0,76.548
0,86.1657
0,96.9909
0,109.175
0,122.888
0,138.322
0,155.692
0,175.24
0,197.238
0,221.994
0,249.851
0,281.196
0,316.463
0,356.142
0,400.781
0,450.995
0,507.476
0,571
0,642.436
0,722.76
0,813.063
0,914.51
0,1026.86
0,1148.5
0,1276.82
0,1408.54
0,1539.89
0,1666.77
0,1785.34
0,1892.77
0,1987.19
0,2067.65
0,2133.83
0,2185.96
0,2224.87
0,2251.73
0,2267.89
0,2274.99
0,2274.45
0,2267.53
0,2255.31
0,2238.57
0,2217.92
0,2193.83
0,2166.5
0,2136.15
0,2103.08
0,2067.87
0,2030.26
0,1990.2
0,1948.04
0,1904.51
0,1860.32
0,1816
0,1771.87
0,1729
0,1688.11
0,1649.55
0,1613.26
0,1579.03
0,1546.73
0,1516.36
0,1487.92
0,1461.47
0,1437.06
0,1414.75
0,1394.69
0,1377.11
0,1362.25
0,1350.37
0,1341.66
0,1336.24
0,1334.18
0,1335.51
0,1340.02
0,1347.63
0,1358.27
0,1371.65
0,1387.48
0,1405.63
0,1425.96
0,1448.49
0,1473.08
0,1499.6
0,1528.19
0,1559.06
0,1592.48
0,1628.86
1,5.58448
1,6.28655
1,7.07688
1,7.96655
1,8.96807
1,10.0955
1,11.3646
1,12.7933
1,14.4015
1,16.2119
1,18.2499
1,20.544
1,23.1264
1,26.0334
1,29.3057
1,32.9892
1,37.1356
1,41.803
1,47.0569
1,52.9707
1,59.6275
1,67.1204
1,75.5543
1,85.0471
1,95.7318
1,107.758
1,121.293
1,136.526
1,153.671
1,172.965
1,194.678
1,219.112
1,246.608
1,277.546
1,312.356
1,351.521
1,395.581
1,445.144
1,500.893
1,563.594
1,634.105
1,713.389
1,802.525
1,902.662
1,1013.58
1,1133.74
1,1260.62
1,1390.99
1,1521.2
1,1647.21
1,1765.25
1,1872.5
1,1967.1
1,2048.05
1,2115.01
1,2168.13
1,2208.19
1,2236.32
1,2253.8
1,2262.2
1,2262.93
1,2257.22
1,2246.11
1,2230.39
1,2210.67
1,2187.41
1,2160.84
1,2131.17
1,2098.72
1,2064.06
1,2026.94
1,1987.35
1,1945.62
1,1902.47
1,1858.59
1,1814.52
1,1770.58
1,1727.81
1,1686.93
1,1648.29
1,1611.85
1,1577.41
1,1544.87
1,1514.22
1,1485.46
1,1458.67
1,1433.89
1,1411.19
1,1390.71
1,1372.68
1,1357.33
1,1344.92
1,1335.64
1,1329.59
1,1326.86
1,1327.48
1,1331.25
1,1338.08
1,1347.92
1,1360.49
1,1375.49
1,1392.81
1,1412.32
1,1434
1,1457.76
1,1483.44
1,1511.17
1,1541.17
1,1573.69
1,1609.12
2,5.56599
2,6.26568
2,7.05333
2,7.93999
2,8.9381
2,10.0617
2,11.3265
2,12.7502
2,14.353
2,16.1571
2,18.1881
2,20.4742
2,23.0477
2,25.9446
2,29.2055
2,32.8762
2,37.0081
2,41.6592
2,46.8946
2,52.7877
2,59.421
2,66.8874
2,75.2915
2,84.7507
2,95.3974
2,107.38
2,120.867
2,136.046
2,153.129
2,172.354
2,193.989
2,218.336
2,245.732
2,276.558
2,311.242
2,350.265
2,394.164
2,443.547
2,499.093
2,561.565
2,631.818
2,710.811
2,799.62
2,899.389
2,1009.91
2,1129.65
2,1256.11
2,1386.11
2,1516
2,1641.77
2,1759.69
2,1866.93
2,1961.65
2,2042.84
2,2110.14
2,2163.7
2,2204.28
2,2232.99
2,2251.08
2,2260.14
2,2261.53
2,2256.47
