beta,permeability,xi,init_days,delay,value
0.0681524,0.909621,0.143649,0.371686,2.07268,57.7654
0.0667657,0.927262,0.165712,1.40959,3.1109,57.7673
0.0684131,0.899621,0.163976,0.727603,3.83828,57.7717
0.0682998,0.903477,0.139451,0.638983,2.07171,57.7867
0.0682079,0.907377,0.144723,0.342391,2.27553,57.8095
0.0637907,0.980059,0.161847,3.3436,3.66584,57.8248
0.0668501,0.924313,0.160931,1.49132,3.72977,57.8461
0.0652954,0.948722,0.164244,2.279,3.90473,57.8493
0.0681684,0.911023,0.142164,0.664196,2.49105,57.85
0.0680346,0.91382,0.152761,0.896148,2.28593,57.8557
0.068487,0.897823,0.160825,0.211807,3.7879,57.8699
0.0650665,0.961791,0.164734,2.19409,3.39456,57.8879
0.0681935,0.909669,0.162776,0.711781,3.94767,57.888
0.0682357,0.907269,0.16096,0.115976,3.43941,57.892
0.0681459,0.911777,0.163821,0.90841,3.45897,57.9001
0.0682849,0.905113,0.161297,0.287859,3.97168,57.9047
0.0680926,0.911879,0.152415,0.858888,2.39105,57.9241
0.0653151,0.950743,0.157807,2.11538,3.61984,57.9389
0.0651607,0.95827,0.158981,2.24545,3.78367,57.9474
0.0665427,0.934847,0.145483,1.67722,2.01417,57.9477
0.0665334,0.937195,0.146794,1.87976,2.2541,57.9547
0.0651024,0.961045,0.161756,2.08091,3.42736,57.9625
0.0638591,0.977742,0.156137,3.17715,3.42868,57.9647
0.0683303,0.903535,0.141907,0.80971,2.93299,57.9661
0.0682142,0.909582,0.137265,0.783351,2.78123,57.9697
0.066683,0.932033,0.156325,1.51685,3.99229,57.9805
0.0625402,0.998838,0.152507,4.46293,3.58376,57.9811
0.0640428,0.968999,0.15193,3.96711,3.71325,57.984
0.0669531,0.921068,0.154288,1.11632,3.41687,57.9876
0.0683339,0.904692,0.161291,0.0316924,3.74676,57.9911
0.0667211,0.930938,0.155769,1.79024,3.44325,58.0025
0.0685422,0.895736,0.134813,0.0197406,2.22325,58.0039
0.06652,0.939371,0.163835,1.85825,3.89027,58.005
0.062596,0.996056,0.15575,4.24802,3.37934,58.0068
0.06856,0.892919,0.160651,0.829952,3.38862,58.0084
0.0626052,0.996072,0.150271,4.89313,3.10486,58.0111
0.0682013,0.910139,0.156915,0.577579,3.91307,58.0128
0.0653788,0.947289,0.130042,2.30942,2.34549,58.0136
0.0639604,0.97279,0.152569,3.14111,3.7496,58.0185
0.0679325,0.919299,0.158058,0.257589,2.52642,58.0207
0.0679184,0.9174,0.154144,0.863799,2.3365,58.0251
0.0680516,0.914898,0.153683,0.421761,2.71134,58.0267
0.0655309,0.939813,0.154459,2.3175,3.16132,58.0387
0.0666345,0.935417,0.161703,1.12246,3.31516,58.0393
0.0679547,0.916143,0.150928,0.449827,2.12704,58.041
0.0679024,0.920568,0.153978,0.395241,2.97625,58.0466
0.0685632,0.894161,0.135609,0.526095,2.44552,58.0517
0.0626543,0.993578,0.153346,4.14804,3.9453,58.0545
0.0678939,0.921355,0.158116,0.073115,2.27499,58.0568
0.0681036,0.911083,0.154796,0.118033,2.71983,58.0606
0.0684309,0.901396,0.164806,0.862272,3.35326,58.0624
0.0685158,0.897722,0.135088,0.86754,2.97038,58.0684
0.064007,0.970389,0.15863,3.75165,3.05366,58.0694
0.0668744,0.924686,0.154167,1.89129,3.81715,58.074
0.0654748,0.946241,0.121885,2.93755,2.23596,58.0765
0.0640595,0.965267,0.153661,3.54929,3.3152,58.0812
0.0668773,0.923328,0.126002,1.30629,2.17675,58.0884
0.0681138,0.909869,0.15582,0.658817,2.14178,58.0955
0.0683437,0.904849,0.1499,0.339298,3.98215,58.0993
0.0640815,0.964863,0.150454,3.56792,3.24279,58.1014
0.0667525,0.926838,0.142066,1.92531,2.47767,58.102
0.0637837,0.977219,0.161511,3.76306,3.92438,58.103
0.0666244,0.933511,0.136726,1.30615,2.69374,58.103
0.0684904,0.897013,0.12725,0.0543827,2.81298,58.1142
0.0680642,0.913038,0.142766,0.634077,2.8774,58.1263
0.0686973,0.889686,0.151031,0.249317,3.70287,58.1287
0.065203,0.953279,0.142038,2.58103,2.13108,58.1312
0.0686986,0.889366,0.15485,0.850132,3.99683,58.1322
0.0670886,0.914572,0.127452,1.5778,2.47815,58.1389
0.0682572,0.908018,0.150622,0.275243,3.63343,58.1395
0.0664458,0.941332,0.152423,1.0133,2.75807,58.1403
0.0640087,0.970944,0.14603,3.40569,3.52096,58.1426
0.065355,0.950419,0.143562,2.59478,3.41675,58.1428
0.0668845,0.925259,0.124285,1.94506,2.62759,58.1451
0.0667733,0.929589,0.161108,1.16068,3.85846,58.146
0.0626654,0.994901,0.146288,4.91069,3.77359,58.147
0.0668278,0.922275,0.161068,1.62859,3.97494,58.1475
0.0664981,0.93891,0.15153,1.82416,2.22702,58.1519
0.0655663,0.941238,0.145615,2.06815,3.8323,58.1535
0.0641331,0.962743,0.148092,3.72069,3.50932,58.1537
0.0682754,0.908402,0.149029,0.231428,3.06935,58.1646
0.0664438,0.941821,0.152354,1.92002,2.87979,58.168
0.0641384,0.965696,0.149267,3.27996,3.43823,58.1686
0.0636281,0.988842,0.162757,3.76741,3.20719,58.1704
0.0640238,0.971203,0.149992,3.56563,3.7577,58.1753
0.0639548,0.97427,0.157064,3.46374,3.84492,58.1777
0.0637548,0.980896,0.153471,3.4319,3.79548,58.1785
0.0639634,0.974068,0.149199,3.71572,3.9329,58.1812
0.0670414,0.919206,0.122972,1.92043,2.34268,58.183
0.0668814,0.925184,0.152782,1.09277,3.75489,58.1836
0.0640537,0.969309,0.122799,3.30496,2.39838,58.1865
0.0682866,0.904636,0.132764,0.821669,2.64052,58.1935
0.0656155,0.937251,0.146532,2.69035,3.01168,58.1938
0.06876,0.889466,0.12438,0.856442,2.33693,58.1951
0.0669708,0.917657,0.132269,1.51851,2.66859,58.1952
0.0655068,0.943348,0.128007,2.62803,2.29522,58.1971
0.0678544,0.922844,0.154021,0.923986,2.44924,58.2011
0.0638455,0.980189,0.149086,3.38139,3.44079,58.2025
0.0669715,0.917711,0.164169,1.71276,3.09265,58.2039
0.0667395,0.927623,0.143966,1.49703,2.80384,58.2039
0.0665992,0.937153,0.142157,1.48175,2.41435,58.204
0.0653295,0.947915,0.136355,2.28584,2.64531,58.2067
