beta,permeability,xi,init_days,delay,value
0.0980812,0.216649,0.144132,14.5164,16.6362,127.467
0.102173,0.201966,0.151743,12.7356,16.1721,129.448
0.0987488,0.164429,0.109191,14.8562,15.4896,129.539
0.098022,0.216411,0.14005,14.105,16.7265,129.615
0.112582,0.143615,0.131992,8.55242,15.9982,129.656
0.113033,0.141611,0.124589,8.71858,14.7891,129.777
0.0950948,0.164368,0.102119,16.4722,15.3003,130.088
0.0950625,0.165614,0.102202,16.8642,15.0869,130.117
0.10445,0.0770286,0.087714,12.6054,14.2254,130.151
0.102889,0.154398,0.109457,12.5425,15.6462,130.16
0.104801,0.191207,0.140557,11.2201,15.6064,130.334
0.087738,0.256973,0.134615,20.3534,16.2253,130.388
0.116631,0.0842125,0.105947,7.45884,14.2594,130.55
0.094448,0.222515,0.142826,16.9974,16.1755,130.597
0.109348,0.165037,0.143,9.79579,16.167,130.639
0.091569,0.183564,0.101801,18.3678,15.8078,130.679
0.117979,0.142516,0.140441,6.39728,15.8998,130.713
0.10745,0.151129,0.118544,10.0031,15.4045,130.714
0.115688,0.135267,0.12428,7.48665,14.1699,130.733
0.116632,0.0771448,0.0987822,7.5735,14.2068,130.744
0.0969556,0.15404,0.101544,15.564,15.1272,130.841
0.100769,0.171676,0.116735,13.7007,15.0149,130.978
0.094252,0.224152,0.132128,16.1568,16.501,131.038
0.113022,0.129872,0.112736,8.16762,14.717,131.05
0.105351,0.132195,0.108137,11.5303,15.4661,131.148
0.0967644,0.031045,0.075009,16.583,14.0905,131.16
0.134161,0.0379721,0.0992893,2.71141,13.2538,131.165
0.105429,0.162811,0.115116,11.0613,14.0051,131.229
0.126114,0.0573243,0.103331,4.43223,14.4133,131.266
0.110251,0.152984,0.120139,9.75741,14.4623,131.289
0.137367,0.0380229,0.107739,1.82958,14.3035,131.33
0.106523,0.0626007,0.0821391,11.599,14.6887,131.332
0.125503,0.0838243,0.116505,4.57085,14.3041,131.378
0.106776,0.0529153,0.0804446,11.4447,14.7768,131.519
0.109296,0.0565141,0.087241,10.0005,14.3038,131.565
0.104881,0.190463,0.145045,11.6744,15.6519,131.607
0.104816,0.193852,0.140733,11.2054,15.7768,131.612
0.0899404,0.190229,0.100957,19.6667,15.7683,131.644
0.109385,0.165114,0.144989,9.26676,16.8893,131.651
0.104007,0.0890648,0.0860883,12.6735,14.4002,131.706
0.0958428,0.115636,0.0850176,16.8169,14.689,131.735
0.102331,0.0518144,0.0791488,13.2881,14.1208,131.789
0.105187,0.142647,0.11385,11.1468,15.5783,131.814
0.140883,0.0565467,0.119402,0.171576,14.512,131.846
0.102682,0.0372744,0.0791236,13.9191,14.6956,131.91
0.114569,0.0473298,0.0888693,8.55894,14.0512,131.951
0.104099,0.18545,0.158146,11.1896,17.0358,131.963
0.0879376,0.233813,0.125059,20.096,16.1449,131.973
0.0959539,0.244193,0.148821,15.5527,16.4652,131.989
0.0975657,0.227151,0.154256,14.6299,17.2848,132.021
0.0982233,0.0869498,0.0835654,15.5602,14.3088,132.084
0.0864063,0.251956,0.125396,21.3062,16.444,132.1
0.109385,0.156572,0.13239,9.6352,16.3864,132.105
0.09797,0.0754349,0.0860798,15.2796,15.9165,132.153
0.112473,0.142399,0.123698,8.70612,15.4576,132.155
0.0909023,0.238321,0.126471,18.9741,16.5414,132.181
0.105553,0.149495,0.108035,11.0821,14.1458,132.184
0.0998876,0.0888634,0.082782,14.0972,14.8562,132.252
0.109575,0.143289,0.129814,9.27725,16.2521,132.3
0.123447,0.0613044,0.0960846,5.46859,13.493,132.314
0.0999697,0.078872,0.0824963,14.0417,14.0199,132.334
0.11752,0.0334334,0.0810963,7.57472,13.6212,132.341
0.0960828,0.224147,0.146647,15.8122,16.9586,132.406
0.093555,0.163584,0.0996858,17.3235,15.43,132.491
0.0909797,0.220721,0.120631,18.7283,16.4186,132.494
0.115645,0.105919,0.110028,7.39007,15.6669,132.504
0.121193,0.0173303,0.0813449,6.16065,13.5006,132.541
0.122047,0.0738077,0.114157,5.66163,15.844,132.554
0.138319,0.0242411,0.100791,1.71238,13.5815,132.605
0.0872254,0.276322,0.148061,20.4421,17.2211,132.607
0.118971,0.0845329,0.1021,6.87424,14.8416,132.616
0.0869551,0.18754,0.094438,21.2333,15.3565,132.617
0.102476,0.181104,0.137084,12.3646,16.2068,132.628
0.121496,0.13574,0.133498,5.90613,14.402,132.636
0.104073,0.0965482,0.0891203,12.1012,14.5878,132.638
0.127239,0.0146344,0.0833806,4.55475,13.6848,132.674
0.107147,0.168973,0.127278,10.0128,15.9836,132.74
0.109843,0.139123,0.119659,9.79325,15.7379,132.746
0.126233,0.0554994,0.099069,4.70265,14.9196,132.759
0.111456,0.103518,0.0996508,9.97782,13.2241,132.77
0.100582,0.0358417,0.0784769,14.2047,14.966,132.833
0.0878721,0.248284,0.134466,20.6868,16.8797,132.833
0.0965884,0.0377685,0.0777446,16.8718,15.0441,132.836
0.0886722,0.157811,0.0931261,20.8366,15.115,132.844
0.0898264,0.207711,0.107919,19.0937,15.0483,132.868
0.0959146,0.118466,0.0892005,16.3609,14.7181,132.87
0.142323,0.0202221,0.0964929,0.0957504,13.4376,132.876
0.10364,0.112075,0.0935284,12.4095,14.067,132.905
0.125249,0.104611,0.128641,4.33112,14.2453,132.95
0.0805087,0.00799748,0.0685115,27.2981,15.2275,132.992
0.102549,0.208043,0.142852,12.8487,15.0859,133
0.129434,0.0539315,0.101709,3.8392,14.3748,133.015
0.113063,0.117094,0.101619,8.34433,14.144,133.031
0.114361,0.0853784,0.094043,8.80416,13.2732,133.065
0.0821948,0.283894,0.121773,24.8075,16.1715,133.075
0.0971976,0.0138509,0.0738785,16.9548,14.3411,133.089
0.103441,0.125044,0.100146,12.5907,15.5503,133.095
0.116613,0.106676,0.108046,7.11474,13.8943,133.103
0.0774156,0.301754,0.113569,28.4353,16.8158,133.116
0.122922,0.0508421,0.0968235,5.5477,14.8886,133.118
0.0831009,0.156866,0.0849546,24.27,15.2032,133.151
0.103396,0.119532,0.104504,12.0248,15.1619,133.172
0.0946379,0.215521,0.121696,16.2323,15.3597,133.178
0.0898588,0.0206717,0.0733162,20.7722,15.3786,133.193
0.0858883,0.281265,0.141183,21.776,17.7537,133.214
0.104098,0.0828712,0.0836323,12.7397,14.7372,133.223
0.104685,0.191895,0.138604,11.315,15.304,133.23
0.138422,0.0205948,0.0931069,1.37518,13.796,133.234
0.125747,0.0730752,0.103547,4.32499,14.3083,133.236
0.0837245,0.0816759,0.075929,24.2254,15.9696,133.269
0.108023,0.115791,0.103088,10.6365,15.629,133.285
0.104793,0.189342,0.131083,11.7012,15.1107,133.291
0.0784276,0.303262,0.11865,27.8301,16.6133,133.314
0.134792,0.0109875,0.0870606,2.65659,13.181,133.339
0.0928307,0.222748,0.115693,17.3281,15.0873,133.353
0.094576,0.204051,0.111867,16.6894,15.5731,133.38
0.100688,0.00492394,0.0766678,14.703,15.7343,133.399
0.114897,0.0257201,0.0834666,8.62693,14.6475,133.408
0.0821754,0.27054,0.116864,24.272,16.961,133.409
0.103803,0.128531,0.106789,12.7437,14.5707,133.411
0.104986,0.024388,0.08176,12.8793,14.962,133.416
0.0941465,0.234781,0.133669,16.4784,16.3632,133.42
0.123302,0.0648032,0.103031,5.7479,13.3936,133.446
0.105623,0.113846,0.102425,11.8973,15.1213,133.447
0.095886,0.244768,0.151805,15.768,16.2154,133.45
0.103428,0.115673,0.103353,12.3695,15.0279,133.458
0.107951,0.134195,0.100259,10.5841,14.2836,133.471
0.0977696,0.205461,0.144348,14.8237,17.6525,133.496
0.0923231,0.237978,0.152222,17.0362,17.1827,133.522
0.107935,0.133033,0.0994962,10.349,14.3419,133.552
0.102259,0.206543,0.128005,12.7015,15.5409,133.559
0.0922443,0.277452,0.156664,17.7406,16.5153,133.564
0.103204,0.135268,0.101746,12.0726,15.6146,133.568
0.100145,0.0930403,0.0859874,14.0491,14.1188,133.57
0.0999348,0.0936413,0.089406,14.9913,14.7081,133.581
0.126934,0.0270332,0.0862403,4.19702,13.0112,133.581
0.117502,0.0428945,0.0801412,7.1057,13.2536,133.594
0.105046,0.0282629,0.0843538,12.6135,14.094,133.62
0.107237,0.16672,0.134286,10.7946,15.9301,133.634
0.0889238,0.302489,0.15935,19.738,16.9387,133.635
0.128833,0.0741213,0.108531,3.6293,14.3962,133.671
0.0861965,0.265705,0.125928,21.9986,16.8791,133.68
0.0877396,0.273111,0.14733,20.5989,16.0482,133.704
0.0857574,0.164001,0.0899911,22.7148,15.7794,133.724
0.105565,0.11972,0.100203,11.9379,15.4171,133.747
0.125134,0.0717801,0.111219,4.48774,15.1449,133.766
0.111497,0.102433,0.0970784,9.57996,13.3832,133.771
0.112099,0.0332863,0.0870797,9.50332,14.1784,133.775
0.102389,0.0583149,0.0763398,13.4367,14.417,133.787
0.127091,0.0121348,0.0848087,4.77762,14.4265,133.804
0.0982608,0.230374,0.136823,14.0376,15.3489,133.822
0.115531,0.143769,0.121543,7.55773,14.5243,133.829
0.0826457,0.234743,0.103419,24.375,15.8391,133.849
0.130512,0.0174602,0.0846056,3.018,13.3774,133.856
0.0852624,0.244192,0.110064,22.186,15.6711,133.877
0.11264,0.144793,0.137,8.12706,15.8125,133.877
0.117041,0.068978,0.0853024,7.59618,13.5443,133.878
0.0945293,0.24754,0.138675,16.426,15.3995,133.883
0.107129,0.163866,0.121608,10.2588,15.4003,133.884
0.115857,0.112127,0.10118,7.30775,14.8619,133.893
