beta,permeability,xi,init_days,delay,value
0.065075,0.673552,0.164375,0.722914,14.0502,14.8885
0.0653183,0.654677,0.165664,0.462407,14.1944,14.8944
0.0654417,0.637459,0.164065,0.513479,14.6105,14.9015
0.0655395,0.635644,0.165028,0.175277,14.9239,14.9031
0.0656943,0.623153,0.160912,0.0470758,14.4951,14.9053
0.0656097,0.629592,0.156513,0.849024,14.276,14.9057
0.0651913,0.666715,0.160329,0.4555,14.0143,14.906
0.0654629,0.642719,0.161438,0.14468,14.4526,14.907
0.0651691,0.666838,0.160045,0.969127,14.1362,14.9071
0.0650537,0.67473,0.161377,0.964183,14.4747,14.9088
0.065807,0.616563,0.156599,0.680967,14.1793,14.9113
0.0657838,0.618706,0.157004,0.672706,14.6319,14.9137
0.0654591,0.644504,0.160284,0.87008,14.8642,14.9137
0.0653874,0.653853,0.159483,0.651248,14.3976,14.9145
0.0654823,0.642979,0.159865,0.965653,14.8471,14.9146
0.0636849,0.69991,0.163872,1.99395,14.3136,14.9162
0.0650864,0.676196,0.165731,0.32161,14.764,14.917
0.0638653,0.689212,0.164888,1.80081,14.9881,14.9173
0.0638997,0.672674,0.165102,1.73397,14.2038,14.919
0.0636787,0.703315,0.161227,1.85672,14.8926,14.922
0.0648977,0.684792,0.163124,0.0111646,14.7355,14.922
0.0654756,0.643611,0.15753,0.766724,14.495,14.9238
0.0638809,0.676,0.161524,1.44322,14.9812,14.9242
0.0655546,0.640696,0.159084,0.857829,14.9268,14.9244
0.0637746,0.691049,0.160523,1.56599,14.3529,14.925
0.0654306,0.645292,0.15644,0.537524,14.1636,14.9251
0.0655376,0.626706,0.164699,0.338886,14.6211,14.9253
0.0658769,0.613659,0.151246,0.450306,14.4453,14.9265
0.0636524,0.699198,0.163055,1.67881,14.1742,14.927
0.0652483,0.645926,0.165258,0.224824,14.841,14.9275
0.0640879,0.667488,0.155866,1.23766,14.1939,14.9276
0.0654975,0.645746,0.157051,0.340606,14.5903,14.9289
0.0653388,0.642937,0.160097,0.488997,14.8912,14.9291
0.0641061,0.66351,0.15988,1.68624,14.0903,14.9292
0.0641438,0.661082,0.158411,1.7757,14.2804,14.9296
0.0638456,0.685523,0.158439,1.92393,14.258,14.9301
0.0654349,0.636615,0.157146,0.646558,14.5249,14.9303
0.0648933,0.687386,0.161023,0.277907,14.8471,14.9308
0.065598,0.638485,0.161823,0.413548,14.9954,14.9319
0.0656439,0.634079,0.158923,0.527971,14.1669,14.9322
0.0641975,0.659571,0.151264,1.72628,14.278,14.9322
0.0636296,0.709028,0.164688,1.71515,14.9672,14.9329
