beta,permeability,xi,init_days,delay,value
0.0565426,0.999208,0.0505658,0.0882059,19.9728,42.0587
0.0563991,0.99782,0.0500994,0.557989,19.1056,42.0684
0.0567313,0.997943,0.050494,0.589335,19.5001,42.1041
0.0568034,0.996729,0.0505893,0.00774415,19.095,42.1227
0.0564084,0.996049,0.0503561,0.422187,19.1924,42.1252
0.0568464,0.995319,0.0504665,0.126155,19.5496,42.1268
0.0568245,0.995518,0.0504699,0.318584,19.9244,42.1299
0.0560243,0.997566,0.0504547,0.892696,19.697,42.1318
0.0563681,0.997273,0.0505104,0.881449,19.5314,42.1353
0.0567272,0.994513,0.0501515,0.584903,19.2543,42.1354
0.0565195,0.994507,0.0506393,0.0163648,19.973,42.1383
0.0558084,0.998066,0.0504802,0.227305,18.9321,42.1416
0.0564324,0.996004,0.0508359,0.949769,19.8516,42.1474
0.0557602,0.999876,0.0509043,0.519914,19.8239,42.1479
0.0555395,0.998674,0.0501659,0.490646,18.5665,42.1528
0.0564221,0.994241,0.0503073,0.782297,19.1688,42.1543
0.0563388,0.997242,0.0505499,0.506992,19.2062,42.1555
0.0569201,0.996905,0.0503833,0.0929988,19.8752,42.1566
0.0566698,0.995291,0.0504643,0.358003,19.0934,42.1588
0.0555561,0.998779,0.0506226,0.359243,18.2475,42.1598
0.0556761,0.998351,0.0510641,0.79986,18.4992,42.1721
0.0568661,0.99763,0.0508239,0.459362,19.3349,42.1805
0.0558484,0.995669,0.0511582,0.734846,19.8717,42.1813
0.0564896,0.992398,0.0506223,0.617048,19.7273,42.1834
0.0559972,0.989669,0.0502121,0.558338,19.7249,42.187
0.0566907,0.995698,0.0507463,0.590087,19.5014,42.1912
0.0559164,0.991004,0.0505469,0.106442,19.6894,42.1916
0.0561287,0.993371,0.0501734,0.0672905,19.6078,42.2028
0.0558301,0.997957,0.0507322,0.522889,18.2732,42.203
0.0557632,0.997229,0.0508649,0.470581,18.3352,42.2057
0.0567368,0.999804,0.0516334,0.661616,19.972,42.2071
0.0557973,0.994461,0.0505553,0.867911,19.7383,42.2071
0.0557656,0.999228,0.0518376,0.773052,19.9317,42.2075
0.0560532,0.995578,0.0507007,0.964727,19.0575,42.2097
0.0554947,0.999508,0.0509469,0.900143,18.3969,42.2179
0.0557865,0.996966,0.0514683,0.584045,19.3828,42.2181
0.056152,0.992431,0.050127,0.0344102,19.6914,42.2192
0.0563489,0.995306,0.0508422,0.140726,19.945,42.2195
0.0557611,0.989075,0.0501174,0.278106,18.2321,42.222
0.0563793,0.993253,0.0505689,0.14558,19.7986,42.2252
0.0557761,0.994773,0.0506879,0.18485,18.0386,42.2252
0.0559541,0.998401,0.0514856,0.223235,19.6076,42.2256
0.0557584,0.999154,0.0520939,0.573725,19.0425,42.227
0.0558928,0.994637,0.0514496,0.931977,19.019,42.2287
0.0558809,0.993535,0.0502964,0.848033,18.4887,42.2313
0.0570061,0.998654,0.0503723,0.581291,19.3209,42.2364
0.0566856,0.98938,0.0501758,0.833137,19.5832,42.2372
0.0557527,0.996769,0.0513618,0.625766,19.1147,42.2379
0.0565033,0.989243,0.0504845,0.349477,19.1722,42.2386
0.0569787,0.996242,0.0505148,0.463408,19.5526,42.2398
0.0565128,0.995615,0.0514775,0.744142,19.5523,42.2515
0.0556548,0.99804,0.0508315,0.346772,19.6817,42.2591
0.0560793,0.998539,0.0514059,0.53626,19.5013,42.2599
0.0555791,0.994019,0.0507766,0.619499,18.5784,42.2606
0.0560802,0.991037,0.0505021,0.437481,19.9384,42.2638
0.0565089,0.992549,0.0512526,0.667687,19.6426,42.2649
0.0565417,0.988064,0.0506625,0.378649,19.418,42.2668
0.0554831,0.9983,0.0512279,0.316551,18.3981,42.2697
0.0558706,0.998387,0.0521824,0.240411,19.3374,42.2703
0.0569912,0.99088,0.0501259,0.931127,19.6554,42.273
0.0561391,0.997171,0.051276,0.224288,19.7146,42.2757
0.055672,0.995527,0.0501089,0.0127517,19.8418,42.278
0.0560341,0.98875,0.0506152,0.0447753,19.6912,42.2866
0.0567026,0.990074,0.0506051,0.0755186,19.1943,42.2905
0.0554628,0.994712,0.0501019,0.18069,18.492,42.2922
0.0556642,0.998518,0.0517843,0.0497759,18.7561,42.2925
0.0560814,0.989365,0.050546,0.830771,19.1022,42.2954
0.0562999,0.994236,0.0512096,0.0291946,19.2281,42.2988
0.0559878,0.999584,0.0520705,0.185113,19.7446,42.3001
0.0559984,0.994262,0.0514195,0.580844,19.3044,42.3008
0.0555032,0.992925,0.0502665,0.239802,18.2993,42.307
0.0557698,0.988585,0.0501682,0.896413,19.3539,42.3079
0.0559918,0.9993,0.050324,0.676819,18.5375,42.3102
0.0559328,0.993131,0.051665,0.256947,19.5252,42.3104
0.0553638,0.9996,0.0506431,0.921679,18.1383,42.312
0.0556165,0.990404,0.0507192,0.443304,18.7419,42.3126
0.0557495,0.993489,0.0511319,0.138163,18.8247,42.3138
0.0555853,0.996031,0.0519615,0.874148,18.6953,42.3188
0.0567758,0.992588,0.0512483,0.751441,19.7161,42.3219
0.0565307,0.996942,0.0520529,0.82135,19.1739,42.3222
0.0566433,0.995294,0.0516732,0.701998,19.263,42.3235
0.0563116,0.993149,0.0512782,0.13166,19.5607,42.3235
0.0563002,0.988545,0.050318,0.266821,19.306,42.3243
0.0564642,0.997197,0.0523084,0.668724,19.129,42.3265
0.0555448,0.990253,0.0501711,0.52261,18.6189,42.3265
0.0565181,0.995956,0.05205,0.414348,19.8508,42.3353
0.0568122,0.990306,0.0509994,0.655479,19.7775,42.3368
0.0559115,0.999322,0.0526104,0.239816,19.3295,42.3405
0.0559213,0.98772,0.0502362,0.777264,18.015,42.344
0.0564608,0.989307,0.0512569,0.00281916,19.3375,42.3456
0.0559279,0.99856,0.0525018,0.940205,19.3137,42.3458
0.0563862,0.986861,0.0504632,0.605082,19.7547,42.3515
0.0561735,0.997044,0.0520138,0.526979,19.3352,42.3554
0.0558628,0.992589,0.0522999,0.06916,19.4437,42.3554
0.0558845,0.988475,0.0505137,0.611333,18.231,42.3597
0.0568724,0.987792,0.0508026,0.487724,19.8126,42.3613
0.056134,0.984154,0.0502817,0.342345,19.1607,42.3619
0.0557362,0.988294,0.0501908,0.800384,19.1328,42.3629
