beta,permeability,xi,init_days,delay,value
0.0677731,0.647095,0.145217,0.923896,15.3087,38.8276
0.067897,0.640952,0.139053,0.318918,15.1443,38.8341
0.0676596,0.664077,0.149319,0.677296,15.446,38.8444
0.0679754,0.636053,0.140667,0.826391,15.1893,38.8453
0.0678638,0.642102,0.139537,0.0960658,15.3049,38.848
0.0677535,0.655689,0.144903,0.431422,15.3939,38.85
0.0679021,0.636876,0.139171,0.391818,15.5615,38.8573
0.0677221,0.652781,0.146252,0.766342,15.2385,38.8586
0.0678829,0.636162,0.143245,0.757055,15.4635,38.8719
0.068258,0.612445,0.132171,0.969335,15.0668,38.8723
0.0680187,0.627212,0.135954,0.814091,15.2343,38.8819
0.0682903,0.60967,0.130757,0.11195,15.9914,38.8874
0.0678465,0.641481,0.146197,0.736443,15.3791,38.9029
0.0679587,0.638877,0.141355,0.318295,15.5043,38.9055
0.0679521,0.635042,0.133939,0.769641,15.6313,38.9239
0.0673491,0.694751,0.16033,0.225708,15.0239,38.9293
0.0675572,0.668761,0.155068,0.667116,15.4286,38.9494
0.0676619,0.669594,0.147346,0.485909,15.3851,38.9578
0.0675362,0.682117,0.150425,0.454922,15.2331,38.9782
0.0681837,0.622865,0.123713,0.607073,15.6412,38.9797
0.0684212,0.602645,0.118205,0.96012,15.081,38.9799
0.0675388,0.666251,0.156509,0.72749,15.0578,38.9837
0.0684098,0.603106,0.121204,0.408523,15.4487,38.9842
0.0677309,0.662988,0.146975,0.644308,15.672,38.9859
0.0679836,0.632347,0.130673,0.0842571,15.6771,38.9964
0.0676582,0.666351,0.141946,0.643834,15.4631,38.9975
0.0678959,0.649211,0.135824,0.0431417,15.2936,38.9993
0.067825,0.653714,0.135928,0.505845,15.7112,39.0037
0.0676779,0.669349,0.147713,0.47178,15.938,39.0067
0.0675309,0.684771,0.146531,0.199055,15.0685,39.0137
0.0675303,0.682927,0.14579,0.901295,15.1838,39.0141
0.0680033,0.638968,0.135836,0.113439,15.7452,39.0168
0.0678159,0.656465,0.14172,0.795899,15.9013,39.017
0.0678316,0.655759,0.139374,0.79324,15.2751,39.0174
0.0684019,0.602889,0.124803,0.945551,15.0802,39.0174
0.0674225,0.682431,0.161147,0.237451,15.3306,39.0177
0.0675561,0.677526,0.145253,0.334731,15.5861,39.0225
0.0679391,0.645499,0.136272,0.746146,15.1985,39.0266
0.0676911,0.668964,0.146635,0.845402,15.9221,39.0275
0.0676768,0.667678,0.139878,0.0136206,15.5386,39.0323
0.0681794,0.613284,0.133417,0.682131,15.5117,39.0331
0.0677631,0.660672,0.137432,0.0605436,15.591,39.0364
0.0672083,0.705884,0.163035,0.886443,15.0083,39.0381
0.067674,0.665967,0.139722,0.682154,15.2257,39.0418
0.0674686,0.687631,0.14749,0.939895,15.4896,39.0439
0.0673098,0.703288,0.160019,0.187013,15.5144,39.0444
0.0675436,0.686075,0.147342,0.759415,15.144,39.0463
0.06766,0.658963,0.142889,0.85431,15.5537,39.0528
0.0677657,0.655185,0.136863,0.586568,15.0116,39.0552
0.0675256,0.67186,0.159397,0.837468,15.5668,39.0564
0.0674258,0.687128,0.150253,0.164826,15.2574,39.0568
0.0683507,0.60656,0.118195,0.541938,15.8086,39.0612
0.0673904,0.685485,0.163854,0.811367,15.6056,39.0725
0.0679761,0.632976,0.129005,0.0759337,15.2254,39.0759
0.0667965,0.638833,0.119831,1.72824,15.565,39.0963
0.0674523,0.680352,0.151001,0.685935,15.5945,39.0981
0.0665583,0.655318,0.132398,1.35757,15.8505,39.0998
0.0666468,0.647795,0.129588,1.03777,15.7023,39.1048
0.0675834,0.68472,0.146439,0.687072,15.0987,39.1263
0.067654,0.669283,0.153227,0.340556,15.5414,39.1287
0.0674426,0.672941,0.155907,0.911354,15.0375,39.1299
0.0672756,0.705724,0.156905,0.488368,15.9522,39.1317
0.0680093,0.62406,0.141445,0.212684,15.1634,39.1318
0.067665,0.677607,0.141172,0.668522,15.8024,39.136
0.0680391,0.624132,0.130379,0.247394,15.3648,39.1368
0.0679687,0.645832,0.13485,0.328259,15.7475,39.142
0.0663384,0.672378,0.14148,1.60818,15.7185,39.1428
0.0675214,0.67455,0.161817,0.224967,15.8044,39.1488
0.0677995,0.643254,0.137924,0.415873,15.625,39.1546
0.0663645,0.668637,0.16287,1.64801,16.4026,39.1566
0.0675029,0.681373,0.144423,0.314989,15.9842,39.1579
0.0681532,0.630285,0.126091,0.598865,15.8737,39.1644
0.0681555,0.616086,0.139456,0.211024,15.7498,39.1649
0.0666332,0.646211,0.129828,1.29816,15.562,39.1658
0.0664679,0.667386,0.13243,1.34096,15.8852,39.1702
0.0672032,0.703094,0.162763,0.111231,15.539,39.1764
0.0663918,0.668579,0.135377,1.45315,15.0379,39.1792
0.0672969,0.706812,0.1577,0.243735,15.6144,39.1794
0.066875,0.634338,0.118501,1.90327,15.6616,39.1827
0.0662482,0.686328,0.142185,1.40658,15.8686,39.1845
0.0669843,0.624766,0.115432,1.16158,15.0089,39.1847
0.0663191,0.681453,0.139013,1.94111,15.1721,39.1852
0.0679318,0.628739,0.13869,0.277619,15.4145,39.1911
0.0663744,0.666429,0.137738,1.62466,15.3279,39.1925
0.0667298,0.646062,0.124548,1.72823,15.5612,39.1925
0.0672372,0.706896,0.157819,0.782462,15.8445,39.1939
0.0662287,0.689274,0.143796,1.14971,15.2497,39.1961
0.0681275,0.624309,0.121416,0.722956,15.1822,39.1977
0.0680583,0.618922,0.136035,0.546477,15.2992,39.2021
0.0667662,0.637937,0.119426,1.06774,15.2333,39.2049
0.0680849,0.635473,0.122718,0.613462,15.6039,39.2069
0.0689641,0.566621,0.0929898,0.518625,14.009,39.2117
0.0662815,0.683856,0.143768,1.08603,15.0255,39.2151
0.0662712,0.683092,0.144393,1.86926,15.9455,39.216
0.0685442,0.596497,0.112829,0.0979205,15.5571,39.2191
0.0662697,0.680741,0.144483,1.79034,15.5687,39.2198
0.0649503,0.695218,0.160928,2.1419,16.805,39.2201
0.0686481,0.595677,0.0970074,0.878896,14.8386,39.2224
0.0663871,0.672471,0.133827,1.08049,15.9733,39.2224
0.0675097,0.670726,0.16396,0.843195,15.5807,39.2225
0.0664615,0.669872,0.135627,1.40911,15.6249,39.2242
0.0666861,0.652698,0.122654,1.67504,15.4936,39.2256
0.0682731,0.62151,0.120881,0.140753,15.4379,39.2257
0.0664206,0.668006,0.140371,1.93029,15.7523,39.2301
0.0671193,0.61263,0.109913,1.16382,16,39.2305
0.0665609,0.663132,0.123995,1.35624,15.7832,39.2344
