beta,permeability,xi,init_days,delay,value
0.0629226,0.99669,0.132543,0.363377,16.3217,35.9877
0.0629968,0.994376,0.128985,0.632094,16.6563,36.0147
0.0628177,0.998896,0.149072,0.931668,16.8354,36.0239
0.0629232,0.995477,0.139259,0.583805,16.1044,36.0294
0.0632064,0.981924,0.124182,0.974748,16.6397,36.031
0.0628881,0.995626,0.142494,0.659336,16.9718,36.0431
0.0628549,0.996703,0.146305,0.621939,16.4229,36.062
0.0630809,0.990242,0.128238,0.418097,16.363,36.0768
0.0628091,0.998374,0.15265,0.393353,16.1807,36.1012
0.0632512,0.975655,0.163437,0.817342,17.7671,36.1023
0.0633118,0.976912,0.12189,0.929825,16.1321,36.1054
0.0633224,0.97672,0.121968,0.720453,16.0995,36.1099
0.0629987,0.990297,0.136771,0.0560723,16.1827,36.135
0.0632454,0.981792,0.12009,0.614979,16.9584,36.1399
0.0620373,0.988469,0.162115,1.89838,17.373,36.1431
0.0631712,0.985653,0.122038,0.245239,16.5761,36.1458
0.0632752,0.975701,0.159075,0.530023,17.7355,36.1644
0.0629429,0.99309,0.133373,0.0751676,16.3206,36.1737
0.0633919,0.972873,0.120341,0.779439,16.2405,36.1771
0.0634017,0.974449,0.101698,0.8321,15.3154,36.1834
0.0631874,0.979801,0.16135,0.841282,17.3727,36.1845
0.063031,0.988017,0.14322,0.869134,16.4295,36.1853
0.0630768,0.988764,0.133419,0.458115,16.1173,36.1967
0.0629004,0.997133,0.162563,0.207961,17.9327,36.2031
0.0631376,0.987822,0.1226,0.880994,16.8546,36.2042
0.0630643,0.986909,0.13452,0.0843606,16.6856,36.2071
0.0631294,0.984269,0.135384,0.435241,16.2675,36.2152
0.0629886,0.994029,0.136406,0.798601,16.9988,36.2163
0.0635583,0.966073,0.100724,0.969008,15.1398,36.2178
0.0634675,0.970332,0.116751,0.104489,16.2416,36.2202
0.0633086,0.97054,0.165134,0.0276849,17.6229,36.2217
0.0639461,0.949584,0.0877973,0.901542,15.6894,36.2242
0.0633997,0.968052,0.155594,0.966614,17.3842,36.2245
0.0631401,0.987686,0.127365,0.159883,16.1342,36.2275
0.0619204,0.998582,0.161507,1.53873,17.1043,36.2279
0.0620012,0.997189,0.116356,1.93077,16.5257,36.239
0.0621542,0.989906,0.110319,1.89401,16.6503,36.2463
0.0621269,0.984597,0.156457,1.74192,17.981,36.2465
0.0634446,0.966594,0.163101,0.238571,17.1537,36.2497
0.0628918,0.993374,0.146081,0.929941,16.2476,36.2509
0.0621721,0.990617,0.0976611,1.91349,15.2868,36.2552
0.0627951,0.996875,0.15182,0.902954,16.6435,36.2567
0.0633541,0.974929,0.108155,0.925441,15.532,36.2609
0.0632047,0.979569,0.136731,0.167323,16.3016,36.2618
0.0628235,0.996608,0.156022,0.592381,16.8252,36.2638
0.0630742,0.985948,0.135413,0.528587,16.2515,36.2667
0.0635266,0.958282,0.160951,0.0281092,17.5979,36.2686
0.0620998,0.984272,0.165094,1.36716,17.0298,36.2691
0.0629213,0.992194,0.151053,0.464462,16.5958,36.2705
0.0630709,0.986166,0.127195,0.811036,16.3077,36.2748
0.0632847,0.976546,0.123144,0.671614,16.6848,36.2779
0.0628978,0.992824,0.140097,0.277907,16.2108,36.2801
0.063164,0.982115,0.138156,0.0950205,16.8478,36.2816
0.062637,0.970304,0.0846843,1.5451,15.508,36.2818
0.062658,0.967207,0.0853539,1.68636,15.905,36.2833
0.0633885,0.9748,0.119399,0.780017,16.7129,36.2837
0.0638592,0.951699,0.09072,0.10139,15.1636,36.2861
0.0619933,0.99509,0.148273,1.77916,17.6418,36.2863
0.0630131,0.988393,0.163809,0.00438469,17.1642,36.2872
0.0625454,0.973283,0.0875858,1.0824,15.7438,36.2883
0.0630208,0.987973,0.163756,0.755884,17.0057,36.2888
0.0636382,0.962291,0.0956481,0.764059,15.7115,36.292
0.0630409,0.990291,0.160592,0.311114,17.3072,36.2936
0.0632671,0.978967,0.12793,0.888571,16.6171,36.2961
0.0620222,0.992794,0.147112,1.35793,17.1279,36.2978
0.063438,0.969665,0.117598,0.618116,16.6471,36.2987
0.0635459,0.960607,0.155881,0.967978,17.4315,36.3003
0.0630045,0.995451,0.126223,0.794845,16.6463,36.3013
0.0633374,0.974009,0.123137,0.00732533,16.7544,36.3022
0.0633993,0.967959,0.153729,0.990896,17.6906,36.3037
0.0628696,0.99446,0.139045,0.747403,16.2425,36.3044
0.0634083,0.976167,0.0977038,0.144845,15.2007,36.3102
0.0633445,0.975345,0.124676,0.993919,16.0053,36.3121
0.0624322,0.97666,0.0909898,1.9239,15.9038,36.3176
0.0628538,0.996401,0.164406,0.0104191,17.6244,36.3181
0.0629978,0.990428,0.128129,0.872043,16.526,36.3187
0.0629011,0.99182,0.141213,0.188979,16.4623,36.3206
0.0632374,0.978795,0.134473,0.652778,16.6205,36.3212
0.0640586,0.944812,0.0870008,0.336971,15.0147,36.3219
0.0630489,0.986139,0.14077,0.735286,16.1491,36.322
0.0634956,0.966337,0.119768,0.434764,16.3358,36.3229
0.062104,0.983241,0.161351,1.21731,17.9382,36.3234
0.0632618,0.977988,0.110875,0.921004,15.9984,36.3236
0.0632385,0.97445,0.164569,0.613246,17.864,36.3244
0.0630742,0.987295,0.11647,0.16153,15.471,36.3251
0.0633251,0.974393,0.155347,0.904517,17.6145,36.3264
0.0619655,0.997877,0.149084,1.62148,17.5942,36.3273
0.0620876,0.988592,0.160718,1.59135,17.7979,36.3315
0.0636079,0.953887,0.160759,0.408807,17.1374,36.3337
0.0633052,0.980092,0.117458,0.13011,16.3152,36.3339
0.0624137,0.978965,0.0884765,1.98494,15.9192,36.3342
