beta,permeability,xi,init_days,delay,value
0.0500409,0.997334,0.0501734,0.623682,18.6713,26.6672
0.0500123,0.995493,0.0522244,0.643701,18.5712,26.6855
0.0500946,0.988724,0.0508033,0.343105,18.2897,26.7049
0.0500214,0.998498,0.0520593,0.94889,18.5982,26.7114
0.0500389,0.99356,0.0525853,0.323916,18.6918,26.7121
0.0500179,0.993449,0.052075,0.766346,18.8871,26.7142
0.0502166,0.983713,0.0505176,0.844487,18.7235,26.7154
0.0500284,0.992638,0.0513505,0.692277,18.866,26.7172
0.0501154,0.987091,0.0501898,0.186278,18.6557,26.7212
0.05005,0.992208,0.052819,0.220779,18.2713,26.7284
0.0499472,0.997294,0.0540318,0.534289,18.9785,26.7287
0.0500937,0.997205,0.0507234,0.070474,19.2131,26.732
0.0500756,0.988754,0.0528926,0.225576,18.2899,26.732
0.0502217,0.977206,0.0512142,0.355458,18.1253,26.7378
0.0499629,0.998325,0.0503099,0.746089,18.2385,26.7406
0.0499537,0.996192,0.0519955,0.790118,18.9922,26.7421
0.0499479,0.9972,0.0517109,0.140179,18.6346,26.7426
0.0503985,0.964356,0.0502154,0.689447,18.7585,26.7464
0.0500875,0.996879,0.0506093,0.543072,19.0568,26.7472
0.0499491,0.996,0.0526515,0.651701,18.6802,26.748
0.0501089,0.98466,0.0505532,0.505137,18.0887,26.7501
0.0502666,0.978982,0.0508021,0.756442,18.3919,26.7512
0.0501192,0.98331,0.0505312,0.681681,18.2859,26.7558
0.0501561,0.989163,0.0517453,0.366522,19.4402,26.7572
0.0502615,0.972887,0.0511791,0.788169,18.8959,26.7588
0.0501616,0.992171,0.0509704,0.659475,19.9365,26.7591
0.0504068,0.963561,0.0508829,0.945507,18.852,26.7621
0.0502849,0.979465,0.0505036,0.235443,18.3037,26.7626
0.0499786,0.994477,0.0505,0.829237,18.2055,26.765
0.0501851,0.987674,0.0515397,0.140121,19.5528,26.7673
0.0500252,0.996258,0.0535836,0.199031,19.325,26.7677
0.0500689,0.985913,0.0512626,0.722552,18.9904,26.7681
0.0502349,0.973737,0.0519067,0.486158,18.9064,26.7694
0.050037,0.988698,0.0508627,0.987832,18.6384,26.7694
0.050069,0.986507,0.0504431,0.749628,18.0416,26.7713
0.0501465,0.987042,0.0522922,0.988488,18.8783,26.7737
0.0503197,0.975447,0.0510563,0.298717,19.0341,26.7768
0.0500625,0.993525,0.0529054,0.141915,19.2709,26.7788
0.0503687,0.963218,0.050909,0.386821,18.0478,26.7811
0.0499207,0.995497,0.0520198,0.599373,18.357,26.7814
0.0492901,0.992844,0.0501435,1.65797,19.7773,26.783
0.0500708,0.998906,0.0521735,0.598239,19.1219,26.7832
0.0499344,0.994985,0.0555844,0.514106,18.6882,26.7837
0.0504123,0.967403,0.0505266,0.343855,19.3077,26.7846
0.0503163,0.966248,0.0520278,0.265116,18.5254,26.785
0.0500555,0.998761,0.0524309,0.931418,18.7028,26.7865
0.0501271,0.992971,0.0519321,0.104238,18.9497,26.789
0.0499569,0.992748,0.0510234,0.104242,18.8566,26.79
0.0492494,0.988154,0.0528126,1.02681,19.6525,26.7909
0.0492568,0.987692,0.0522751,1.30968,19.5502,26.793
0.0504187,0.964473,0.0516,0.0597978,19.1698,26.7932
0.0502451,0.976422,0.0535111,0.343348,19.6437,26.7934
0.050386,0.968095,0.0517235,0.416072,19.8009,26.7934
0.0500269,0.991567,0.0557879,0.842874,19.2003,26.7938
0.0495076,0.967246,0.0502544,1.62896,19.7847,26.7942
0.0499759,0.997961,0.0541933,0.0285554,19.9665,26.7942
0.0504067,0.962122,0.0514602,0.483388,18.4277,26.7946
0.0503772,0.969024,0.0507767,0.229865,18.8769,26.7947
0.0500186,0.987716,0.0523969,0.564645,18.3249,26.7952
0.0492792,0.981815,0.0530163,1.38924,19.9609,26.7967
0.0502357,0.976119,0.053474,0.256497,19.0411,26.7967
0.0493637,0.973929,0.0525262,1.55466,19.3477,26.7972
0.050015,0.991336,0.0559619,0.443435,19.4727,26.7975
0.0492279,0.984918,0.0538752,1.92429,19.7523,26.7979
0.0503864,0.966676,0.0511661,0.776843,19.0198,26.7981
0.0491332,0.995942,0.0537933,1.78206,19.0741,26.7981
0.0505085,0.957016,0.0501516,0.0285489,18.2534,26.7984
0.0500784,0.994158,0.0534515,0.160341,19.2827,26.7988
0.0503599,0.966409,0.0525114,0.609634,19.9833,26.799
0.0502137,0.992182,0.0503602,0.787065,19.6939,26.7991
0.050551,0.950348,0.0514657,0.131101,19.9727,26.7997
0.0506728,0.938588,0.0510452,0.876534,19.1836,26.8009
0.0502337,0.97217,0.0514063,0.550337,18.8664,26.8011
0.0492547,0.983525,0.0537796,1.0775,19.1395,26.8022
0.0502864,0.969693,0.0541747,0.613489,19.2385,26.8022
0.0499782,0.992824,0.0567755,0.720856,19.993,26.803
0.0491763,0.990006,0.0538458,1.39965,19.5748,26.805
0.0502499,0.984235,0.0509188,0.720472,18.5427,26.8058
0.0502202,0.971038,0.0563476,0.211713,19.7216,26.8067
0.0500568,0.991506,0.0501093,0.320053,17.8123,26.8071
0.0500205,0.995661,0.0526021,0.199326,19.7963,26.8074
0.050483,0.949742,0.0537032,0.40937,19.4786,26.8075
0.0505409,0.947019,0.0528174,0.85528,19.5719,26.8077
0.050372,0.961135,0.050975,0.825878,18.4438,26.8092
0.0499937,0.995695,0.0546964,0.0792839,18.4707,26.8093
0.0500625,0.981967,0.0585951,0.691321,19.6661,26.8094
0.0500178,0.996592,0.0503401,0.23066,19.7327,26.8095
0.0498861,0.996393,0.0549906,0.282944,18.7699,26.8099
0.0502183,0.975988,0.0551981,0.782863,19.0042,26.81
0.0506582,0.941857,0.0510069,0.707275,19.7801,26.81
0.050529,0.947551,0.0526943,0.638375,19.5189,26.8102
0.0504684,0.959442,0.0506548,0.742436,19.8831,26.8109
0.0493678,0.973348,0.0530469,1.12262,19.95,26.8134
0.0500864,0.98978,0.050208,0.768296,17.9706,26.8135
0.0501131,0.975544,0.0582185,0.469619,19.8866,26.8143
0.0502712,0.973225,0.0525349,0.599778,19.7967,26.8144
0.0499521,0.991273,0.0553715,0.242844,18.0323,26.8157
0.0499129,0.995681,0.0508265,0.517178,18.5216,26.8161
0.0492049,0.993305,0.0511046,1.41553,19.5508,26.8166
0.0500456,0.985847,0.056494,0.51982,19.5787,26.8167
0.0504396,0.955397,0.0539643,0.175249,19.158,26.8168
0.0500665,0.98813,0.0546082,0.490087,18.642,26.817
0.0501388,0.986955,0.0541735,0.773703,19.2404,26.8173
0.0490263,0.998005,0.0570942,1.58155,19.0487,26.8175
0.0499322,0.997455,0.0559309,0.420325,18.5467,26.8181
0.0507561,0.934883,0.0501782,0.253284,19.5744,26.8182
