beta,permeability,xi,init_days,delay,value
0.0676231,0.00449043,0.118149,11.6836,19.2103,29.2153
0.068628,0.00613765,0.123733,10.107,19.5573,29.2363
0.0666005,0.0047333,0.109839,12.6544,19.8849,29.299
0.0667178,0.00313681,0.108645,12.9935,19.2865,29.3058
0.0675918,0.0118114,0.118605,11.2375,19.0098,29.3402
0.0665359,0.00434301,0.116124,12.5156,19.3444,29.3484
0.0675588,0.0043201,0.120606,11.6017,19.0848,29.3495
0.0647251,0.0066903,0.101329,14.7596,19.7965,29.3572
0.0637731,0.00312146,0.102569,15.5058,19.4954,29.3752
0.0685868,0.0107497,0.124165,10.1839,19.6757,29.4033
0.067663,0.0108356,0.115209,11.0883,19.349,29.4271
0.0665069,0.0171459,0.11368,12.6247,19.4717,29.4336
0.0676041,0.0126333,0.116397,11.7475,19.4178,29.4353
0.0655814,0.00617446,0.105237,13.3071,19.0703,29.448
0.0637553,0.0039355,0.104728,15.3363,19.0741,29.4546
0.0686264,0.00917883,0.12637,10.7238,19.4671,29.4557
0.0665049,0.0194953,0.115608,12.142,19.3691,29.4609
0.0666104,0.00662624,0.120167,12.8655,19.8397,29.4636
0.0666593,0.00689247,0.11507,12.0141,19.9433,29.4645
0.0665087,0.0175837,0.113007,12.6026,19.982,29.4751
0.0646993,0.00658981,0.106274,14.1347,19.7223,29.4818
0.0665278,0.0136798,0.111578,12.6145,19.2973,29.4833
0.0675694,0.00494529,0.114776,11.2998,19.7631,29.4957
0.064665,0.0029589,0.099826,14.7524,19.2539,29.5052
0.0677601,0.00493916,0.113386,11.6137,19.5793,29.5373
0.0645821,0.00343513,0.107903,14.4288,19.2798,29.5408
0.0675443,0.0200016,0.119092,11.0396,19.7078,29.5481
0.0686223,0.0121562,0.126675,10.4194,19.866,29.5494
0.0656031,0.0125533,0.112529,13.5301,19.6634,29.5505
0.0664834,0.0160072,0.117788,12.0053,19.6037,29.5506
0.0664912,0.0156309,0.117863,12.9255,19.3394,29.5528
0.0638522,0.00360534,0.0950247,15.4723,19.3333,29.5544
0.0664596,0.0213341,0.116558,12.4232,19.3955,29.5617
0.0636918,0.00313648,0.103335,15.5997,19.2589,29.5773
0.0647555,0.00909971,0.0996828,14.8534,19.1445,29.5819
0.0655512,0.00594768,0.11652,13.6904,19.1158,29.5831
0.0655142,0.021365,0.108012,13.6924,19.7632,29.5842
0.0637075,0.0115674,0.0994323,15.8386,19.6907,29.5858
0.068735,0.00540444,0.126976,10.7348,19.7469,29.5912
0.0654779,0.0206895,0.109952,13.2165,19.2995,29.5986
0.0686999,0.00810899,0.127141,10.672,19.8941,29.6033
0.0664506,0.0187974,0.114279,12.3151,19.2994,29.6118
0.0637029,0.0171807,0.103747,15.0347,19.8405,29.6118
0.0636824,0.0134232,0.102491,15.477,19.8299,29.6123
0.0676297,0.00346835,0.112239,11.5258,19.254,29.6165
0.0654779,0.0239906,0.111152,13.243,19.8533,29.617
0.0676311,0.0133955,0.114427,11.0979,19.6466,29.6258
0.0664346,0.0226748,0.116942,12.4273,19.4022,29.6269
0.063717,0.00985369,0.0977975,15.2896,19.4893,29.6338
0.0664555,0.0126542,0.118048,12.2794,19.4448,29.6362
0.0665712,0.0111718,0.108627,12.8962,19.6952,29.6366
0.0645684,0.0227259,0.107063,14.7824,19.7934,29.6388
0.0656009,0.0136957,0.114446,13.0488,19.1286,29.6437
0.0637659,0.00937875,0.105253,15.4834,19.869,29.6458
0.0686433,0.0120177,0.127704,10.7079,19.4536,29.6522
0.0666381,0.0110597,0.118092,12.7982,19.9765,29.6631
0.062857,0.00831474,0.101492,16.5629,19.3753,29.6648
0.064755,0.00846702,0.103878,14.683,19.966,29.6694
0.0697334,0.00777148,0.134085,9.51005,19.9491,29.6711
0.0675759,0.015674,0.125162,11.3714,19.3384,29.674
0.0646976,0.00771614,0.111927,14.5804,19.0984,29.6778
0.0655302,0.0196239,0.114841,13.4877,19.3624,29.6786
0.0666288,0.0170722,0.113144,12.4662,19.9962,29.6796
0.0686897,0.0103568,0.128188,10.4193,19.2619,29.6798
0.0685309,0.0143593,0.126937,10.8288,19.0934,29.6812
0.0647743,0.00963489,0.101637,14.7522,19.4595,29.6818
0.0675857,0.0234469,0.117873,11.0136,19.5842,29.6824
0.0657614,0.00699458,0.102398,13.5,19.3764,29.683
0.0687352,0.00736549,0.127484,10.1726,19.2219,29.6835
0.0675682,0.0181321,0.123813,11.2142,19.677,29.6865
0.065449,0.0215029,0.111405,13.6399,19.5106,29.6875
0.0645582,0.025482,0.107022,14.5503,19.1157,29.6892
0.0645506,0.024048,0.10809,14.7874,19.9356,29.6926
0.0685225,0.0240491,0.127108,10.4104,19.5333,29.6927
0.063689,0.00849262,0.0979662,15.172,19.4654,29.6979
0.0675908,0.0167172,0.125768,11.6411,19.1846,29.6982
0.0664573,0.0123374,0.113859,12.5642,19.2794,29.7029
0.0685322,0.015438,0.128298,10.4387,19.0673,29.7058
0.0674373,0.0227625,0.121342,11.6549,19.2197,29.7066
0.0620272,0.00394714,0.0946779,17.2713,19.2759,29.7074
0.0645924,0.0274806,0.105054,14.4332,19.5083,29.709
0.069851,0.00787332,0.128938,9.90236,19.7853,29.713
0.0664553,0.00571679,0.116426,12.8781,19.8743,29.7194
0.0645336,0.0102642,0.105645,14.933,19.0115,29.7195
0.0696807,0.0134529,0.134289,9.21783,19.0315,29.7246
0.0629345,0.00921411,0.0930553,16.9625,19.8608,29.7328
0.0645553,0.0193371,0.103344,14.4788,19.702,29.734
0.0628227,0.0178827,0.100095,16.784,19.1009,29.7373
0.0686327,0.0076352,0.134014,10.7043,19.7077,29.7388
0.0665042,0.0058336,0.11009,12.5411,19.0543,29.7391
0.0664924,0.00957534,0.110426,12.4413,19.8753,29.7399
0.0654453,0.0220883,0.109806,13.3981,19.6111,29.7441
0.0675388,0.00563797,0.126771,11.3453,19.3085,29.7489
0.062838,0.0105757,0.102269,16.9605,19.778,29.7498
0.0656844,0.00910625,0.111798,13.6039,19.5812,29.7519
0.0636652,0.0234988,0.104978,15.3995,19.7626,29.7543
0.0664463,0.00793016,0.116862,12.6158,19.5138,29.7551
0.0676514,0.0139825,0.121025,11.149,19.9139,29.7553
0.0629823,0.00565726,0.0942739,16.2099,19.1971,29.7574
0.0676286,0.0144654,0.113698,11.505,19.9826,29.7576
0.0698479,0.00660014,0.131231,9.73086,19.5925,29.7594
0.0665783,0.0247697,0.111514,12.5701,19.3293,29.7641
0.0647135,0.0186608,0.102657,14.1661,19.4327,29.7671
0.0688306,0.00673011,0.11923,10.3049,19.4839,29.7671
0.0638922,0.00313689,0.0934099,15.8219,19.4184,29.7699
0.0664423,0.0241871,0.113031,12.4333,19.1931,29.7709
0.0667255,0.00548336,0.113601,12.6342,19.5199,29.7734
