beta,permeability,xi,init_days,delay,value
0.0745056,0.333199,0.15902,0.831161,15.6318,25.3677
0.074926,0.306691,0.14651,0.551002,15.9932,25.4173
0.0747266,0.322606,0.15321,0.217539,15.0612,25.4429
0.0744636,0.32818,0.163175,0.667147,15.7222,25.4634
0.0751169,0.300317,0.142515,0.588794,15.7536,25.4665
0.0749113,0.307133,0.149072,0.669684,15.0634,25.4876
0.0744939,0.321386,0.15818,0.408744,15.1467,25.4941
0.0749151,0.313304,0.146367,0.511376,15.9268,25.5176
0.0748262,0.312763,0.147665,0.815594,15.0825,25.5183
0.0742619,0.354267,0.164315,0.15566,15.0186,25.5235
0.0749831,0.306223,0.143859,0.26035,15.4284,25.5461
0.0748395,0.308078,0.15193,0.387019,15.861,25.5585
0.0748267,0.305551,0.151618,0.846029,15.8091,25.561
0.0744895,0.34179,0.163424,0.23082,15.7142,25.5619
0.0744964,0.343004,0.162594,0.490771,15.607,25.564
0.0744674,0.325347,0.157739,0.906619,15.418,25.5802
0.074496,0.340136,0.165034,0.643407,15.877,25.6181
0.0746195,0.334654,0.153591,0.413873,15.3105,25.6242
0.0727684,0.334157,0.154296,1.94153,15.8143,25.6446
0.0729164,0.322778,0.147718,1.71552,15.5932,25.6656
0.0751141,0.289946,0.141826,0.0801447,15.694,25.6694
0.0725779,0.354062,0.159819,1.27706,15.1986,25.6833
0.0752608,0.293072,0.136778,0.482234,15.0271,25.6911
0.0744102,0.322319,0.161489,0.261257,15.4821,25.6995
0.0745948,0.339952,0.16113,0.079163,15.2001,25.712
0.075211,0.288305,0.141269,0.137221,15.5539,25.7237
0.0730422,0.316803,0.144105,1.03598,15.3713,25.7238
0.0725452,0.363663,0.159914,1.07262,15.9754,25.7257
0.0753012,0.288675,0.138422,0.876559,15.3861,25.7301
0.0724965,0.358351,0.163009,1.48879,15.3507,25.7377
0.0726051,0.34722,0.159702,1.76281,15.6839,25.7408
0.0746569,0.307308,0.154765,0.937734,15.8154,25.7426
0.0749611,0.299728,0.149977,0.953277,15.9271,25.7434
0.0750982,0.305727,0.14489,0.934618,15.9681,25.7436
0.074964,0.299977,0.150091,0.749297,15.0691,25.7527
0.0748315,0.321122,0.146751,0.920603,15.9655,25.7563
0.0729694,0.325373,0.1492,1.24717,15.6677,25.7577
0.0726284,0.343086,0.159398,1.36268,15.8793,25.7584
0.0750894,0.304332,0.146204,0.0996571,15.9924,25.7625
0.0730969,0.313603,0.143322,1.68386,15.891,25.7655
0.0743742,0.355217,0.161051,0.740553,15.2133,25.766
0.0733354,0.310481,0.137732,1.76776,15.4017,25.7726
0.0743698,0.356028,0.161338,0.586403,15.5751,25.7877
0.0731927,0.317077,0.142812,1.95879,15.6482,25.7922
0.0745332,0.319638,0.153464,0.758381,15.0345,25.7976
0.075173,0.295665,0.136488,0.528686,15.4324,25.7986
0.0747991,0.334268,0.151046,0.174675,15.0519,25.7988
0.0730304,0.327677,0.147658,1.38761,15.3293,25.8009
0.0745507,0.31763,0.163121,0.018572,15.4522,25.8138
0.0748307,0.297974,0.150717,0.791061,15.8682,25.8225
0.0746155,0.319175,0.165206,0.743403,15.2852,25.8226
0.0726021,0.350657,0.163251,1.38531,15.3248,25.8373
0.074888,0.299943,0.151682,0.64008,15.8352,25.8373
0.0751493,0.28385,0.142081,0.582819,15.7288,25.8453
0.0730634,0.311787,0.142612,1.36304,15.3255,25.8499
0.0728253,0.324474,0.151923,1.65424,15.9126,25.851
0.0728551,0.337482,0.154456,1.17621,15.0201,25.8512
0.0725733,0.344741,0.162247,1.64006,15.0995,25.8543
0.075218,0.294764,0.142791,0.871024,15.6353,25.8561
0.0729902,0.32021,0.149708,1.83819,15.1792,25.8657
0.0745606,0.310418,0.156372,0.649693,15.0013,25.8771
0.0745405,0.318943,0.164996,0.191762,15.3659,25.879
0.0750637,0.314302,0.14437,0.665666,15.1323,25.8852
0.0728452,0.340506,0.155667,1.1873,15.8808,25.8922
0.07509,0.313822,0.142888,0.117719,15.375,25.8963
0.0747928,0.324201,0.159329,0.88457,15.7552,25.9041
0.0727218,0.350204,0.15138,1.78031,15.1169,25.9073
0.0744805,0.349389,0.156343,0.577728,15.8862,25.9124
0.0729417,0.340599,0.149839,1.10051,15.7494,25.9124
0.0728406,0.33602,0.156239,1.8785,15.8641,25.9203
0.0727002,0.357114,0.152742,1.72278,15.3333,25.925
0.0747902,0.306247,0.157573,0.434987,15.5525,25.9282
0.0733294,0.314731,0.136136,1.62721,15.3127,25.9298
0.0731945,0.312901,0.144575,1.09593,15.256,25.9337
0.0726262,0.34608,0.15421,1.89094,15.362,25.9397
0.0748069,0.313118,0.160324,0.411628,15.6176,25.9469
0.0744286,0.328015,0.155598,0.939666,15.459,25.9562
0.0729014,0.335683,0.154896,1.63073,15.6367,25.958
0.0752442,0.296521,0.1428,0.330807,15.8364,25.968
0.0749108,0.313082,0.15681,0.942705,15.2263,25.9696
0.0729677,0.332813,0.143225,1.80585,15.5084,25.9728
0.0728562,0.348931,0.153092,1.94865,15.3464,25.9798
0.0754101,0.273042,0.132266,0.568996,15.6556,25.9842
0.074652,0.342369,0.162564,0.988265,15.9562,25.987
0.075331,0.27597,0.1383,0.544216,15.7068,25.9928
0.0727342,0.345507,0.150049,1.11582,15.0978,25.9938
0.0736368,0.288083,0.128779,1.40153,15.2352,25.9943
0.0722987,0.378443,0.165155,1.14365,15.2444,25.9966
0.0730405,0.312963,0.147389,1.39572,15.7299,25.9986
0.0748618,0.330755,0.152484,0.697294,15.5577,26.0032
0.0724071,0.356192,0.165544,1.80918,15.9137,26.0079
0.0729268,0.332054,0.155098,1.02878,15.0106,26.0101
0.0746351,0.341889,0.164589,0.0338201,15.0426,26.0122
0.0729481,0.334572,0.15473,1.01887,15.0266,26.0182
0.0682323,0.358539,0.163612,4.18277,16.8055,26.0223
0.0714006,0.323848,0.139049,2.09638,15.1108,26.0303
0.0725286,0.343017,0.161856,1.25773,15.6787,26.0328
0.0682326,0.362328,0.163813,4.69507,16.7091,26.0376
0.0748543,0.313581,0.141622,0.616205,15.4127,26.0463
0.0698016,0.344431,0.164515,3.3821,16.3656,26.0491
0.0732238,0.313472,0.135406,1.59894,15.371,26.052
0.0682394,0.360909,0.162631,4.36905,16.3748,26.0541
0.0753249,0.274325,0.134183,0.748877,15.1915,26.0564
0.0735308,0.290556,0.134017,1.58276,15.3238,26.0592
0.068153,0.361283,0.164151,4.82747,16.3035,26.067
0.0730064,0.33574,0.142523,1.87272,15.842,26.068
0.0714559,0.323644,0.139097,2.86324,15.9725,26.0755
0.0726703,0.355557,0.16555,1.433,15.6304,26.0755
0.0709717,0.368272,0.155341,2.48069,15.4171,26.0788
0.0716924,0.315981,0.131622,2.73112,15.794,26.0801
0.0744509,0.344494,0.154103,0.291643,15.0561,26.0804
0.0728678,0.318762,0.148753,1.71009,15.2932,26.0806
0.0708721,0.368686,0.157632,2.75362,15.6536,26.0827
0.0714981,0.328716,0.138293,2.8942,15.6441,26.0889
0.0710782,0.354868,0.152306,2.08282,15.7776,26.0905
0.0728426,0.34561,0.146822,1.53604,15.2895,26.0917
0.0749512,0.305612,0.138455,0.18746,15.7387,26.0928
0.0746023,0.310962,0.16201,0.00684656,15.683,26.0987
0.0728772,0.352088,0.152561,1.09922,15.9968,26.1049
0.0710722,0.344555,0.150691,2.52501,15.0195,26.1104
0.075601,0.274434,0.13016,0.111209,15.6819,26.114
0.0749063,0.309529,0.159316,0.633904,15.497,26.117
0.0730283,0.343719,0.144747,1.37047,15.9458,26.1172
0.0681758,0.355928,0.165489,4.32208,16.5105,26.1177
0.0727588,0.343208,0.148277,1.0763,15.8745,26.1187
0.0732277,0.310121,0.134602,1.57165,15.1864,26.1191
0.0751494,0.308247,0.144859,0.514931,15.3299,26.1198
0.0750645,0.296712,0.135287,0.711338,15.5261,26.1223
0.0732269,0.308804,0.134615,1.58305,15.0531,26.1235
0.0752755,0.285336,0.142532,0.892434,15.057,26.1268
0.0723104,0.377289,0.163147,1.98879,15.5471,26.1302
0.0715456,0.322051,0.137793,2.09732,15.5388,26.1331
0.072708,0.351789,0.165151,1.75042,15.1638,26.1345
