beta,permeability,xi,init_days,delay,value
0.0948895,0.421832,0.1028,16.5678,6.24231,209.887
0.115906,0.283639,0.0726879,9.0909,4.67239,211.744
0.107537,0.282141,0.0651824,12.1991,4.17675,212.323
0.0769465,0.542955,0.10302,26.9986,7.47711,215.447
0.110116,0.288528,0.065979,11.2828,4.746,216.582
0.0938752,0.383862,0.0736511,17.2204,4.41512,218.836
0.0818933,0.480878,0.0910978,23.591,6.66635,219.244
0.117265,0.23048,0.0507809,9.844,2.03336,219.514
0.124549,0.234685,0.0602968,7.71829,2.80453,219.53
0.0811589,0.423594,0.0718355,24.3125,6.64717,219.939
0.0931144,0.297333,0.0522182,18.7014,4.147,221.071
0.0869375,0.455885,0.0844189,20.1173,5.81578,221.845
0.104035,0.325452,0.0699806,13.1566,4.14869,222.311
0.116334,0.266642,0.0563727,9.77687,2.98837,222.607
0.12397,0.260808,0.0715861,7.52248,2.66104,223.593
0.104266,0.205723,0.0504765,14.1897,4.39898,223.915
0.0691197,0.642021,0.118921,32.9131,8.22289,223.929
0.116177,0.276389,0.0703006,9.6116,3.91663,224.539
0.0863148,0.491674,0.108532,20.968,6.69172,224.59
0.0729682,0.576473,0.105183,29.829,7.84484,224.8
0.149453,0.158224,0.0605887,2.10674,3.10248,224.948
0.0928791,0.327785,0.0554609,18.5242,4.63029,225.156
0.0820376,0.347758,0.0546283,24.4222,5.4086,225.495
0.0888525,0.427686,0.0745886,19.906,5.87805,225.994
0.090393,0.217504,0.0510061,20.0753,6.28731,226.268
0.0823507,0.529851,0.144044,22.4781,8.01895,226.488
0.0886335,0.341998,0.053139,20.0779,4.70578,226.6
0.116897,0.243301,0.0543386,9.46852,3.12962,226.606
0.104149,0.293938,0.0586576,13.2812,4.09369,226.766
0.0844777,0.394796,0.0631764,22.6515,5.54535,226.962
0.115129,0.310554,0.0871418,9.83044,4.74226,226.973
0.0911234,0.414721,0.0767588,18.8249,5.33333,227.01
0.102135,0.278728,0.0601961,14.7996,4.00948,227.015
0.127042,0.257026,0.0820485,6.81417,4.52617,227.134
0.0905192,0.443579,0.115146,18.9012,7.46378,227.382
0.0877177,0.491506,0.123504,19.7724,6.46364,227.478
0.127158,0.167752,0.0528241,7.52202,3.9107,228.072
0.087205,0.515506,0.155132,19.9319,7.73382,228.358
0.0998559,0.289014,0.0616283,15.0374,4.76757,228.389
0.113497,0.273439,0.0595504,10.1569,3.2739,228.824
0.0995718,0.400715,0.091062,14.1546,4.63007,228.849
0.075667,0.535939,0.0787106,27.12,5.18323,229.083
0.093832,0.375848,0.0651043,17.6172,4.11538,229.212
0.127388,0.172662,0.0521055,7.94068,2.0341,229.363
0.0927988,0.421237,0.0770935,17.1196,4.2984,229.69
0.0921594,0.452578,0.135347,17.7205,8.69317,229.732
0.0842326,0.292562,0.0515289,23.182,5.37592,230.082
0.0865767,0.479955,0.1235,20.8704,7.80794,230.129
0.122899,0.266686,0.0766754,7.58961,4.48995,230.168
0.0946526,0.321592,0.0540157,17.1845,4.28907,230.207
0.0736141,0.513174,0.084575,29.9168,7.34315,230.404
0.0805005,0.48611,0.0812408,24.467,5.67351,230.531
0.0680383,0.659906,0.12216,33.6502,8.96993,230.577
0.10854,0.335086,0.096128,11.9788,6.98571,230.715
0.0991268,0.419906,0.126576,14.9618,6.80431,230.726
0.109268,0.297524,0.0594002,11.5536,2.55572,230.943
0.0878127,0.294462,0.0504169,21.6215,4.58429,230.992
0.108681,0.232412,0.0544798,12.6299,3.19803,231.006
0.0813631,0.398659,0.0683087,24.1246,6.70703,231.111
0.0766385,0.572679,0.119901,26.3579,7.35775,231.126
0.113861,0.338095,0.0962756,9.73524,4.31599,231.172
0.110876,0.266433,0.0673114,11.0738,4.97751,231.195
0.0936254,0.4014,0.0876948,17.9616,5.59269,231.332
0.122442,0.278261,0.0735918,7.31014,2.30786,231.425
0.0958464,0.455417,0.132785,15.5977,6.65766,231.691
0.133699,0.190793,0.0569307,5.34836,2.41108,231.696
0.0814867,0.490329,0.079901,23.6929,5.43678,232.07
0.116539,0.274446,0.0684542,9.79758,2.29276,232.308
0.0846958,0.495364,0.132533,21.8321,8.07038,232.418
0.142913,0.192346,0.0638105,3.50778,2.46945,232.436
0.0770444,0.282835,0.0504449,28.6143,6.41102,232.454
0.127053,0.259561,0.0711859,6.06421,2.9929,232.661
0.11359,0.279057,0.0607933,10.0672,2.77347,232.758
0.0963968,0.346775,0.0769579,16.0856,5.03411,232.802
0.107555,0.163513,0.0501921,13.743,5.45075,232.844
0.0853644,0.53474,0.154969,20.6179,7.74196,232.943
0.0981713,0.376148,0.0929318,15.543,6.95679,233.145
0.0877005,0.283449,0.0560793,21.6091,6.41584,233.166
0.123124,0.2755,0.0830516,7.24314,4.61218,233.216
0.118573,0.290052,0.0796981,8.0953,3.78836,233.316
0.103342,0.342235,0.0656097,13.6677,3.38961,233.325
0.154845,0.154579,0.0574948,1.98125,2.01594,233.383
0.0917193,0.382196,0.0774114,18.6203,6.40523,233.545
0.114166,0.32342,0.0870103,9.30837,4.58863,233.697
0.101941,0.39971,0.12234,13.9023,6.59,233.896
0.136713,0.223221,0.0684134,4.85455,3.66007,233.93
0.101707,0.402944,0.131103,13.815,7.02298,233.976
0.0628965,0.743289,0.157918,38.7104,9.57317,234.185
0.102395,0.264437,0.0525497,14.1959,3.5756,234.288
0.095011,0.395801,0.0777207,16.7237,5.52873,234.361
0.0789592,0.500335,0.090521,25.2047,6.04395,234.586
0.0738685,0.483529,0.0658524,29.9617,6.32767,234.587
0.102306,0.288921,0.0655261,14.4525,4.2687,234.629
0.0651106,0.677553,0.107273,36.2985,8.91476,234.631
