beta,permeability,xi,init_days,delay,value
0.0564119,0.573687,0.120891,1.88508,11.8867,16.0708
0.057956,0.538592,0.118002,0.108043,11.5802,16.0759
0.0580101,0.527632,0.116403,0.574799,11.503,16.0774
0.0567738,0.519202,0.113036,1.24274,11.9888,16.0886
0.0581689,0.494675,0.112903,0.159437,11.3037,16.0938
0.0579154,0.532858,0.122495,0.281255,11.6107,16.0947
0.0576404,0.54544,0.130057,0.72826,12.5908,16.0964
0.0577228,0.560035,0.123805,0.895662,11.1107,16.0973
0.057679,0.560755,0.144654,0.570094,12.0759,16.0987
0.0576611,0.563193,0.145522,0.944495,12.1029,16.0996
0.0578278,0.541204,0.120506,0.0432077,11.722,16.1001
0.0565031,0.555024,0.121554,1.29882,11.1329,16.1008
0.0576587,0.559135,0.146195,0.102271,12.6597,16.1015
0.0565016,0.570425,0.121196,1.43784,11.614,16.1025
0.056665,0.527197,0.115483,1.93432,11.6378,16.1028
0.0575847,0.556397,0.134719,0.634206,12.7201,16.1029
0.0569703,0.49035,0.1081,1.00149,11.0627,16.1053
0.0582098,0.493587,0.110575,0.294199,11.1716,16.1069
0.0576538,0.551136,0.134261,0.343284,12.3522,16.1074
0.0562769,0.57186,0.127536,1.13759,12.5673,16.1093
0.0567413,0.528421,0.115485,1.17057,11.5555,16.11
0.0574973,0.569122,0.136648,0.220736,12.9071,16.1112
0.0582045,0.505364,0.113181,0.890695,11.7804,16.1115
0.0567532,0.517382,0.109799,1.28068,11.6219,16.1116
0.0578842,0.544255,0.116377,0.286128,11.6316,16.1157
0.0580415,0.515252,0.120091,0.211511,11.5877,16.1165
0.0577251,0.549521,0.131228,0.127165,12.8663,16.1177
0.0575974,0.569201,0.143301,0.67528,12.1623,16.1189
0.0579207,0.530533,0.123418,0.353049,11.6091,16.1195
0.0565332,0.567582,0.120837,1.71598,11.5071,16.1202
0.0576332,0.566592,0.139592,0.405131,12.2379,16.1203
0.0579011,0.529427,0.137072,0.789257,12.9646,16.1232
0.0575637,0.578944,0.149258,0.250117,12.7813,16.1233
0.0569744,0.490228,0.107029,1.04122,11.465,16.1234
0.0576339,0.58145,0.128395,0.444624,11.7687,16.1237
0.0583553,0.470509,0.108757,0.0108032,11.9237,16.126
0.0562815,0.576528,0.144049,1.61891,12.8424,16.1264
0.05776,0.538581,0.133975,0.377375,12.5385,16.1278
0.0565689,0.551855,0.121235,1.85768,11.3918,16.1299
0.0561576,0.583863,0.135169,1.18134,12.8953,16.1301
0.0576657,0.547654,0.126973,0.207883,12.4039,16.1301
0.0553259,0.560771,0.111932,2.9368,11.288,16.1307
0.0568029,0.509165,0.107253,1.03749,11.5473,16.1317
0.0562004,0.571633,0.128007,1.83303,12.1032,16.1342
0.056464,0.535629,0.121945,1.65118,12.9027,16.1347
0.0575892,0.578112,0.144915,0.0387239,12.7379,16.1348
0.0578857,0.554405,0.125022,0.021179,11.0824,16.1385
0.0561512,0.580241,0.129846,1.1497,12.4397,16.1386
0.0576513,0.539006,0.132044,0.344,12.5749,16.1387
0.0550171,0.585907,0.128301,2.06401,12.136,16.1391
0.0564028,0.560822,0.137424,1.86074,12.6114,16.1392
0.0577963,0.560658,0.128039,0.213491,11.3151,16.1398
0.057493,0.581294,0.146397,0.239584,12.4164,16.14
0.0583433,0.466319,0.106138,0.875712,11.6971,16.1405
0.0577756,0.542468,0.122813,0.819958,11.6145,16.1407
0.0567817,0.531052,0.112694,1.92483,11.1267,16.1419
0.0578706,0.536064,0.113775,0.0934518,11.4811,16.142
0.0550111,0.593283,0.136939,2.47339,12.2418,16.1421
0.0584441,0.45749,0.105749,0.516972,11.896,16.1428
0.0579517,0.516598,0.130166,0.0909742,12.3289,16.1433
0.0578355,0.543713,0.136144,0.411716,12.6445,16.1442
0.0549588,0.601159,0.137134,2.14791,12.4994,16.1442
0.0563635,0.559705,0.135898,1.24091,12.4895,16.1447
0.0562801,0.579497,0.132466,1.47187,12.7969,16.1453
0.0549936,0.591561,0.13749,2.69828,12.3503,16.1461
0.0577022,0.549397,0.126936,0.284171,11.6176,16.1464
0.0567759,0.504619,0.109494,1.2198,11.7588,16.1474
0.058406,0.464071,0.103788,0.78421,11.8062,16.1477
0.0581937,0.502654,0.109346,0.803267,11.8641,16.148
0.058427,0.46258,0.109083,0.416336,11.7892,16.149
0.0574446,0.579759,0.142899,0.926206,12.9503,16.1497
