beta,permeability,xi,init_days,delay,value
0.0678468,0.293947,0.165919,0.472581,11.1184,23.965
0.067715,0.29397,0.161811,0.936391,11.6715,23.9754
0.067565,0.306849,0.163037,0.0495178,11.7545,23.9759
0.0675831,0.311452,0.165233,0.404996,11.0791,23.9862
0.0659618,0.317095,0.166086,1.24309,11.9661,24.0094
0.0678084,0.289479,0.160342,0.929482,11.0443,24.0246
0.0677313,0.297727,0.161434,0.374099,11.1881,24.0267
0.0676692,0.291587,0.160934,0.835765,11.6879,24.029
0.0678306,0.287885,0.163374,0.938882,11.5554,24.0408
0.0676929,0.304919,0.164315,0.72672,11.3363,24.0543
0.0677014,0.291752,0.157281,0.852401,11.9325,24.0724
0.0677216,0.288215,0.160945,0.583746,11.11,24.0785
0.0660475,0.31091,0.162334,1.26653,11.1681,24.0816
0.0679619,0.287013,0.166259,0.579551,11.8363,24.0967
0.0676388,0.312104,0.166436,0.669751,11.6055,24.1176
0.0677925,0.291078,0.156706,0.301778,11.1439,24.1219
0.067773,0.284855,0.154792,0.775545,11.0627,24.1325
0.067706,0.291018,0.165636,0.0028216,11.2113,24.1389
0.0661197,0.30379,0.159096,1.44238,11.6601,24.1428
0.0679382,0.276245,0.154375,0.761591,11.2019,24.1508
0.0680194,0.279701,0.162531,0.263003,11.899,24.157
0.0660298,0.323887,0.166428,1.6661,11.2179,24.1605
0.0673883,0.320631,0.166459,0.531976,11.8937,24.1675
0.067562,0.310762,0.161644,0.402433,11.3078,24.169
0.066084,0.315518,0.162039,1.35782,11.3706,24.1729
0.067846,0.27825,0.155668,0.104047,11.4518,24.1747
0.0659732,0.326242,0.164718,1.88656,11.3616,24.1748
0.0677815,0.287512,0.166327,0.177088,11.8912,24.1778
0.0661566,0.300273,0.157296,1.29746,11.1977,24.1782
0.0661414,0.306054,0.157942,1.25041,11.3959,24.182
0.0660546,0.313106,0.158967,1.2319,11.2364,24.1886
0.0661418,0.302991,0.163528,1.82963,11.5286,24.1972
0.0661484,0.306565,0.15806,1.26531,11.8571,24.1993
0.066305,0.302596,0.164911,1.12265,11.218,24.2079
0.067888,0.277255,0.157735,0.242023,11.556,24.2112
0.0678997,0.285206,0.155749,0.223073,11.8834,24.2122
0.0661369,0.316605,0.164376,1.3254,11.5103,24.224
0.0661997,0.297234,0.157412,1.87914,11.678,24.2246
0.0645494,0.325873,0.166388,2.452,11.9023,24.2269
0.0662536,0.297406,0.162432,1.94079,11.7218,24.2329
0.0679112,0.277037,0.159995,0.0146483,11.0007,24.2351
0.0678695,0.296408,0.162427,0.294439,11.1709,24.2355
0.0678229,0.289798,0.154886,0.469209,11.3394,24.2359
0.0674487,0.322842,0.166536,0.0971112,11.9152,24.2368
0.0677228,0.296041,0.15589,0.971417,11.4886,24.2372
0.0677473,0.303373,0.160747,0.709302,11.448,24.2381
0.0660124,0.326773,0.166396,1.57292,11.6624,24.2439
0.0659756,0.324505,0.162079,1.19395,11.8022,24.2513
0.0658578,0.317252,0.164441,1.25201,11.9941,24.2573
0.0660859,0.304654,0.164818,1.95128,11.4039,24.2663
0.0674903,0.298483,0.166057,0.707497,11.7012,24.2761
0.0659087,0.314032,0.161314,1.76598,11.3195,24.2808
0.067087,0.336543,0.156657,0.674156,10.585,24.2815
0.0663989,0.292909,0.160519,1.83466,11.3835,24.2834
0.0659482,0.322284,0.160815,1.68344,11.9003,24.2884
0.0679477,0.271096,0.148793,0.864434,11.5357,24.2899
0.0680491,0.270016,0.155864,0.0608988,11.8397,24.2905
0.0680164,0.278083,0.156295,0.14113,11.0834,24.2926
0.0676995,0.28881,0.166171,0.471677,11.537,24.293
0.0678014,0.282433,0.162937,0.67182,11.3996,24.2934
0.0659664,0.308023,0.162892,1.30464,11.4821,24.2985
0.0663001,0.290048,0.155488,1.91103,11.5105,24.2987
0.067775,0.279513,0.158275,0.790257,11.2271,24.3005
0.0643938,0.341985,0.164931,2.52806,11.9167,24.3054
0.0671052,0.332283,0.154905,0.404183,10.0965,24.3056
0.0673897,0.314542,0.146055,0.0756541,10.509,24.3077
0.0663651,0.297374,0.160125,1.2038,11.3537,24.308
0.0670298,0.338274,0.158069,0.930308,10.0414,24.309
0.0661457,0.318715,0.164304,1.35772,11.2746,24.3103
0.064615,0.314265,0.157995,2.87793,11.901,24.3151
0.0646412,0.315768,0.159569,2.3283,11.3963,24.316
0.0676725,0.302354,0.156831,0.4068,11.9437,24.3186
0.06805,0.277725,0.157836,0.193571,11.2279,24.3191
0.0679273,0.282162,0.151906,0.185799,11.5772,24.3252
0.0661828,0.303462,0.154448,1.11012,11.0439,24.3289
0.0672608,0.318381,0.148929,0.650836,10.0219,24.3299
0.066071,0.323329,0.164355,1.89713,11.7116,24.3301
0.0680745,0.272542,0.155102,0.0294653,11.9326,24.3306
0.0658912,0.316654,0.160756,1.03759,11.3014,24.332
0.0675059,0.296393,0.164181,0.72065,11.5627,24.3332
0.0644861,0.339533,0.166422,2.27329,11.5025,24.3341
0.0662985,0.293957,0.164592,1.87029,11.5844,24.3363
0.0680252,0.273676,0.151209,0.965076,11.6104,24.3406
0.0661116,0.301441,0.154142,1.30978,11.3247,24.3424
0.0662591,0.291437,0.158576,1.00238,11.8614,24.3433
0.064618,0.32361,0.160302,2.14252,11.3081,24.3452
0.0673357,0.313859,0.148345,0.260344,10.7601,24.3453
0.0645994,0.316739,0.162723,2.7759,11.924,24.3467
0.0668386,0.355213,0.165997,0.316683,10.8614,24.3486
0.0659246,0.314251,0.159533,1.81375,11.2525,24.349
0.0645029,0.337555,0.164766,2.24017,11.7657,24.3504
0.0629813,0.350842,0.166296,3.08082,11.7299,24.351
0.0674814,0.305068,0.143254,0.750813,10.7021,24.3515
0.0675285,0.30958,0.159652,0.954653,11.085,24.3526
0.0663497,0.300326,0.159988,1.38939,11.2462,24.3553
0.0671707,0.323529,0.149985,0.85531,10.5338,24.3568
0.0669819,0.344354,0.162827,0.120824,10.4917,24.357
0.0669736,0.341203,0.157754,0.429032,10.993,24.3579
0.0671927,0.325929,0.149145,0.78793,10.8318,24.3627
0.0670064,0.344739,0.16239,0.385079,10.1709,24.3643
0.0669032,0.346741,0.161387,0.939607,10.0306,24.3657
0.0675243,0.302577,0.142302,0.950042,10.4764,24.3679
0.0645476,0.324078,0.157487,2.34908,11.9683,24.3715
0.0669682,0.348167,0.16377,0.760998,10.9707,24.3718
0.067127,0.332559,0.151837,0.280632,10.0323,24.3733
0.06731,0.317969,0.164859,0.117474,11.2012,24.3754
0.0680682,0.283337,0.163568,0.647557,11.6472,24.3759
0.064378,0.346972,0.166452,2.20829,11.1816,24.3764
0.0669898,0.345341,0.163156,0.671356,10.7894,24.3767
0.0668526,0.348831,0.165416,0.0161236,10.7866,24.3778
0.0680251,0.269514,0.158892,0.830554,11.4078,24.3783
0.0664541,0.279899,0.151672,1.44805,11.633,24.3787
0.0677665,0.28409,0.151799,0.80713,11.6907,24.3791
0.0664491,0.28381,0.157697,1.23995,11.6384,24.3796
0.0673934,0.311388,0.142948,0.588737,10.5271,24.3811
0.0664344,0.286818,0.159701,1.2837,11.434,24.3845
0.0661219,0.299104,0.153253,1.74531,11.2693,24.3845
0.0663851,0.293438,0.15642,1.51256,11.4077,24.3848
0.0630328,0.347784,0.165464,3.03249,11.1013,24.3858
0.0670882,0.329592,0.155681,0.629704,10.9686,24.3867
0.0672311,0.332248,0.153169,0.766124,10.9367,24.389
0.0646988,0.319559,0.160161,2.00575,11.1911,24.3899
0.0669402,0.350433,0.160801,0.242708,10.4026,24.3926
0.0647105,0.32047,0.164389,2.9857,11.2036,24.3929
0.0646726,0.310003,0.158754,2.23641,11.2516,24.3941
0.0680524,0.266283,0.15557,0.577778,11.3208,24.3943
0.0678106,0.291428,0.152863,0.96251,11.7588,24.3944
0.0674206,0.315259,0.162155,0.129765,11.3784,24.3951
0.0669148,0.346507,0.157956,0.778415,10.7103,24.3952
0.0643915,0.337569,0.162041,2.87084,11.4517,24.396
0.0643559,0.330605,0.163756,2.64171,11.8073,24.3977
0.0674328,0.310222,0.141677,0.0617065,10.6449,24.3985
0.067337,0.315144,0.143876,0.139925,10.2288,24.3985
0.0673354,0.312473,0.163848,0.391085,11.0126,24.4028
0.0673759,0.316831,0.163038,0.506341,11.7823,24.4034
0.0646363,0.326711,0.161572,2.25472,11.8715,24.4038
0.0675232,0.293998,0.162184,0.955784,11.3983,24.4054
0.0671183,0.339473,0.154902,0.953671,10.5465,24.407
0.0672292,0.332964,0.152398,0.444911,10.3719,24.408
0.0659333,0.325357,0.160514,1.25625,11.6557,24.411
0.0662786,0.287644,0.157088,1.41649,11.9434,24.4125
0.067633,0.300759,0.139852,0.215017,10.6338,24.4141
0.0669669,0.337883,0.161787,0.682516,10.6162,24.4173
0.0643843,0.341896,0.163461,2.00298,11.4856,24.4179
0.0669368,0.35341,0.16487,0.868618,10.245,24.4185
0.0681411,0.265757,0.152534,0.295804,11.0282,24.4206
0.06581,0.325159,0.162271,1.24526,11.6566,24.4214
0.065829,0.335157,0.164908,1.17052,11.6496,24.423
0.0681296,0.276629,0.162407,0.0617389,11.1912,24.4231
0.0679517,0.283781,0.151201,0.508864,11.2222,24.4233
0.0664127,0.287607,0.152869,1.57503,11.6174,24.4237
0.066991,0.333549,0.152401,0.427461,10.2941,24.4256
0.0630633,0.346258,0.162328,3.46677,11.8034,24.4261
0.0670707,0.34323,0.156348,0.868927,10.7145,24.4263
0.0676924,0.292313,0.137892,0.685417,10.8576,24.4279
0.0678462,0.288386,0.151602,0.449565,11.3036,24.4282
0.0665048,0.281426,0.156595,1.54262,11.358,24.4309
0.0676315,0.297449,0.141879,0.796628,10.0746,24.4325
0.0677274,0.28728,0.136801,0.630199,10.6625,24.4339
0.0675249,0.298341,0.157634,0.781751,11.4878,24.4349
0.0679471,0.280895,0.149924,0.281698,11.7759,24.4353
0.0681171,0.265398,0.149178,0.955841,11.3004,24.4366
0.0672924,0.315089,0.142611,0.387549,10.7415,24.4369
0.0664415,0.277013,0.147342,1.04719,11.7442,24.4371
0.0672018,0.33431,0.151356,0.783405,10.9577,24.4375
0.0630364,0.345709,0.161829,3.23243,11.0439,24.4387
0.0675964,0.304572,0.144021,0.28682,10.3729,24.4394
0.0647686,0.310764,0.156246,2.11476,11.1191,24.4394
0.0662839,0.312343,0.163239,1.12742,11.7526,24.44
0.0664168,0.27528,0.146561,1.62415,11.5613,24.4401
0.063132,0.331926,0.158869,3.51286,11.2609,24.4403
0.0676005,0.304777,0.143733,0.629485,10.4547,24.4413
0.0678202,0.292885,0.152851,0.011579,11.4016,24.4416
0.0671126,0.324624,0.150746,0.96352,10.1198,24.4422
0.0679631,0.270597,0.15966,0.154744,11.936,24.4427
0.066505,0.281113,0.156815,1.7743,11.7209,24.4428
0.0670486,0.338337,0.152547,0.835635,10.6985,24.4455
0.0672356,0.318422,0.143581,0.793364,10.0133,24.4466
0.0664749,0.27386,0.147615,1.22255,11.3055,24.4468
