beta,permeability,xi,init_days,delay,value
0.10082,0.101718,0.0622204,3.74694,11.4281,46.0112
0.104247,0.0544357,0.0596737,2.82106,11.4111,46.0156
0.100134,0.127032,0.0683083,3.45505,11.8678,46.4274
0.0947136,0.069846,0.0530637,6.10056,11.7048,46.561
0.101192,0.0819806,0.0588658,3.95653,11.5741,46.566
0.104408,0.0564421,0.0566459,2.24137,11.6305,46.5717
0.10259,0.123315,0.0708431,2.26789,11.068,46.6619
0.102534,0.137911,0.0687903,2.05123,11.5466,46.7408
0.097864,0.130178,0.0655215,4.37464,11.4199,46.747
0.110397,0.0268601,0.0587926,0.912128,11.7441,46.7854
0.102345,0.026486,0.0519242,3.14825,11.85,46.9187
0.102341,0.147964,0.0697144,2.11932,11.7637,46.9255
0.108034,0.015448,0.0514107,1.40986,11.9981,46.9576
0.102512,0.00394159,0.0535579,3.02618,11.9081,46.9607
0.0990598,0.0580008,0.0579649,4.57487,11.9226,47.0413
0.110014,0.0673421,0.0572933,0.733983,10.9123,47.052
0.0970452,0.0453792,0.0536699,5.85748,11.7181,47.1333
0.104923,0.149869,0.0762946,1.93727,11.5254,47.149
0.102124,0.155607,0.0759844,2.80291,11.8852,47.1957
0.104558,0.0410289,0.0555295,2.10866,11.7619,47.2191
0.100804,0.0934803,0.0613316,3.42547,11.8206,47.269
0.101538,0.0696898,0.0539767,3.51166,11.8372,47.2757
0.0916315,0.136605,0.0573355,7.72824,11.714,47.2822
0.102072,0.148273,0.0746195,2.21752,11.6898,47.3499
0.101054,0.0758614,0.062158,3.61602,11.0153,47.3766
0.102676,0.139708,0.0709301,2.08869,11.0063,47.3805
0.108039,0.126297,0.0777319,0.596496,11.7419,47.4206
0.100119,0.130819,0.0659215,3.6855,11.4797,47.4477
0.108336,0.11635,0.0740744,0.891708,11.0765,47.492
0.104602,0.153013,0.0784118,1.95838,11.0903,47.553
0.0920393,0.108608,0.0538024,7.75975,11.871,47.5762
0.100335,0.112858,0.0678213,3.17141,11.5267,47.6276
0.0963318,0.0886576,0.0597052,5.63279,11.5233,47.6624
0.0935621,0.142437,0.0585984,6.68945,11.9939,47.6664
0.10641,0.0836304,0.0660254,1.17551,11.4884,47.7099
0.0992118,0.178993,0.0744399,3.58335,11.3274,47.7828
0.109618,0.0625184,0.0594191,0.463316,11.2209,47.7981
0.109904,0.0626709,0.0602527,0.35915,11.4332,47.8174
0.100559,0.099192,0.0632193,3.85885,11.626,47.8962
0.108216,0.118634,0.0710083,0.579837,11.2114,48.0141
0.0987352,0.0880867,0.0608343,4.13928,11.4404,48.0501
0.101785,0.0427314,0.0586787,3.35866,11.5681,48.0965
0.104549,0.157876,0.0817971,1.11093,11.8638,48.154
0.095647,0.12267,0.0632193,5.01528,12.8474,48.2315
0.0969236,0.0594371,0.051102,5.41123,11.4337,48.2531
0.105871,0.111129,0.069996,1.91417,11.1661,48.2845
0.109939,0.0732144,0.0583061,0.839877,10.6177,48.312
0.0984864,0.108418,0.0621546,4.56134,11.979,48.334
0.0946229,0.178179,0.072211,5.23839,12.8524,48.3533
0.106992,0.0749875,0.0538995,1.79548,10.4003,48.3785
0.109036,0.0789045,0.0641309,0.717803,12.3172,48.3971
0.103998,0.0530876,0.0611702,2.79646,11.4013,48.4476
0.1098,0.0687505,0.0610804,0.138109,11.0467,48.4643
0.0963961,0.0836594,0.0564726,5.1103,12.2325,48.5044
0.0979911,0.116117,0.0615594,4.24487,11.0409,48.5207
0.100516,0.10488,0.0637781,3.13728,12.5192,48.5214
0.0960084,0.105694,0.0601251,5.81245,12.5808,48.5923
0.0991134,0.0528081,0.0556591,4.34391,12.594,48.6139
0.0888664,0.172946,0.0670287,8.07268,12.5442,48.6363
0.103036,0.10169,0.06359,2.80874,12.4858,48.6809
0.0966707,0.0515733,0.0566368,5.76226,12.678,48.7378
0.0868911,0.18047,0.0672202,9.0531,12.4781,48.7432
0.1104,0.0222371,0.0565374,0.795444,12.9852,48.765
0.0931438,0.146293,0.0638682,6.04032,11.4276,48.7785
0.105779,0.117652,0.0627567,1.00844,11.9801,48.7878
0.109997,0.0378673,0.0629092,0.167713,11.9833,48.8105
0.103101,0.0975131,0.0645642,2.60896,12.1163,48.8257
0.107255,0.162872,0.0793875,0.220934,11.4901,48.8259
0.107658,0.0189621,0.0532064,1.05273,12.6231,48.8886
0.107934,0.129033,0.0704183,0.493942,11.3105,48.9112
0.0927849,0.172628,0.0672471,6.32372,11.7947,48.9343
0.104636,0.15065,0.074612,1.50496,11.7359,48.9502
0.0948204,0.178272,0.0713447,5.95717,11.1385,48.9881
0.0924532,0.181716,0.0740246,6.84966,12.3439,48.9884
0.0935892,0.111157,0.0598314,6.5774,12.1391,49.0172
0.104625,0.1489,0.0754408,1.42467,11.5479,49.0234
0.107745,0.130814,0.0814831,0.966047,11.6927,49.0327
0.0910703,0.165438,0.0598031,7.11643,11.3187,49.042
0.101717,0.180437,0.0736913,2.55098,11.1985,49.063
0.0869231,0.193289,0.0636233,9.24987,12.9292,49.1171
0.109253,0.0789087,0.0595215,0.0341826,11.1926,49.1907
0.0878729,0.122673,0.0581259,9.64204,12.4594,49.2103
0.106423,0.0649677,0.0665409,1.37623,11.2482,49.281
0.109906,0.0324127,0.0598648,0.684384,12.2014,49.299
0.106518,0.0594148,0.0652529,1.97166,11.182,49.3287
0.105289,0.113979,0.0715163,1.86426,12.341,49.3337
0.082263,0.177737,0.0581454,12.6473,12.7399,49.3394
0.0923916,0.212073,0.0693085,6.33763,11.1712,49.3497
0.0902459,0.196244,0.072533,7.32013,12.9632,49.3689
0.102017,0.157045,0.0694097,2.60686,11.961,49.3723
0.100943,0.0735076,0.0639692,3.98248,12.7861,49.4686
0.100049,0.15429,0.0658493,3.9654,11.595,49.4851
0.110524,0.0634054,0.0525885,0.521095,10.6351,49.559
0.0897254,0.0889834,0.0591202,8.34096,13.7072,49.561
0.104675,0.0177425,0.055971,2.26969,11.5599,49.5669
0.0924976,0.175604,0.069478,6.62089,12.1047,49.5856
0.103671,0.0800477,0.0568468,2.35262,11.9255,49.5916
0.110326,0.0611081,0.0513861,0.0359346,10.5384,49.6169
0.100471,0.10694,0.0611839,3.98329,11.8701,49.6228
0.0920343,0.0984187,0.0560534,7.32118,12.4266,49.6277
0.0995571,0.168732,0.0761037,3.29316,11.367,49.6333
0.0920936,0.194624,0.078017,6.11868,12.7118,49.6557
0.108573,0.118983,0.066913,0.278167,11.4681,49.6597
0.100891,0.0747514,0.0599592,3.33433,12.5714,49.7261
0.0993225,0.0283975,0.0570762,4.98218,12.6166,49.7399
0.107058,0.0361601,0.0625009,1.0425,11.8614,49.7457
0.0950774,0.162158,0.066276,5.95846,12.6235,49.7526
0.0914396,0.0976822,0.0626902,7.70227,13.9711,49.7529
0.106505,0.0836471,0.0562864,1.72619,10.8806,49.7657
0.0956518,0.106855,0.061743,5.16899,12.7597,49.783
0.0948427,0.155327,0.0744477,5.19698,12.9887,49.7868
0.0918532,0.129023,0.0534686,7.66245,11.4266,49.8453
0.105896,0.0957865,0.0665118,1.49206,12.5602,49.8461
0.0915665,0.10728,0.0583846,7.17382,12.0784,49.8551
0.0897048,0.22962,0.0858184,7.15987,12.4912,49.8699
0.0899886,0.0807751,0.0551178,8.29746,12.5163,49.8887
0.110256,0.0219233,0.0584507,0.825381,11.7198,49.8947
0.085209,0.0420229,0.0524895,11.5777,12.6845,49.895
0.100327,0.121077,0.0668686,3.35282,12.505,49.9058
0.0955691,0.104981,0.0649365,5.40569,13.6367,49.9073
0.0866699,0.203252,0.0647868,9.08103,12.7046,49.9109
0.098472,0.072226,0.0619994,4.46585,12.4916,49.9118
0.0942315,0.209828,0.0762704,5.05049,11.005,49.9128
0.094547,0.0382665,0.0550622,6.54224,12.9073,49.9571
0.0915171,0.120408,0.0599577,7.29796,11.2075,49.9583
0.102133,0.0132761,0.0541005,3.9584,11.9202,49.9803
0.07852,0.228463,0.0656146,14.7683,13.0897,49.9853
0.107516,0.0389748,0.0512491,1.42867,10.0664,49.9863
0.103691,0.0636239,0.064209,2.92608,12.4818,49.9988
0.0964416,0.0570071,0.0587947,5.44536,12.5946,49.9989
0.108864,0.093789,0.0736228,0.431028,11.1053,50
0.107333,0.141906,0.0813295,0.519208,11.9752,50.017
0.0877123,0.107659,0.0595201,9.80474,13.4542,50.0637
0.0867134,0.048238,0.0519012,10.0542,12.9429,50.0637
0.101823,0.1543,0.0798171,2.29905,11.2035,50.0767
0.101707,0.0595976,0.0517058,3.49768,11.0815,50.079
