beta,permeability,xi,init_days,delay,value
0.0554796,0.980604,0.0778833,1.18894,9.32832,26.4364
0.0562643,0.9726,0.09857,0.286022,10.0027,26.447
0.0561121,0.984315,0.102612,0.452215,10.4667,26.4537
0.0561238,0.982326,0.104103,0.676213,10.0691,26.4607
0.0564906,0.957274,0.0838666,0.213613,9.46072,26.4611
0.0548157,0.985121,0.0678439,2.34576,9.98508,26.4758
0.0554658,0.984554,0.0775315,1.84353,9.11939,26.4764
0.0558955,0.998084,0.124687,0.449474,11.1241,26.4782
0.0556439,0.969588,0.0747386,1.80719,9.04892,26.4832
0.0562292,0.977332,0.0995676,0.115268,10.212,26.4892
0.0563294,0.970331,0.087673,0.651768,9.60861,26.4928
0.0563974,0.966972,0.0940918,0.670593,10.3592,26.5072
0.0558852,0.999351,0.143602,0.102403,12.9606,26.5076
0.0572766,0.915409,0.0613619,0.227574,8.91052,26.5181
0.0563706,0.968972,0.0950714,0.387953,10.067,26.5201
0.0546836,0.990307,0.0709734,2.38646,9.05993,26.5212
0.0556673,0.968517,0.0758034,1.37939,9.94791,26.5286
0.0559888,0.987376,0.110863,0.95507,10.3435,26.529
0.0560416,0.982869,0.109419,0.410177,10.4255,26.5299
0.0560454,0.983952,0.110562,0.688907,10.46,26.5301
0.0559893,0.991881,0.123425,0.578887,11.2681,26.5317
0.0564119,0.967045,0.0829465,0.813181,9.91797,26.5327
0.0560693,0.982851,0.120489,0.471486,11.1084,26.5334
0.0559523,0.954795,0.0682947,1.4197,9.20323,26.5359
0.0568432,0.941071,0.0736753,0.0657993,9.3281,26.5367
0.0560426,0.9852,0.105695,0.693406,10.1247,26.5383
0.0559643,0.988805,0.126635,0.199751,11.5279,26.5386
0.055934,0.997681,0.107827,0.509349,10.3744,26.5431
0.0554386,0.984454,0.0858032,1.34706,10.0175,26.544
0.0569605,0.93633,0.0652437,0.173582,8.26124,26.5442
0.0560569,0.980608,0.110592,0.594375,10.5202,26.5465
0.055918,0.999372,0.108462,0.916234,10.2582,26.5468
0.0560827,0.988931,0.102748,0.883977,10.0752,26.5474
0.0568575,0.939137,0.0683068,0.0750542,8.32726,26.5479
0.0560343,0.985894,0.123438,0.872454,11.3577,26.548
0.0547672,0.990287,0.0680072,2.95622,9.95355,26.5484
0.0559475,0.99202,0.108703,0.714524,10.4625,26.5491
0.0564853,0.9646,0.0819802,0.634155,9.80848,26.551
0.0555688,0.979545,0.0745187,1.26044,9.6987,26.5516
0.0558564,0.995657,0.133262,0.433998,11.575,26.5528
0.0565986,0.957213,0.0799513,0.358178,9.17306,26.5543
0.0557931,0.999522,0.136722,0.858175,11.253,26.5571
0.0560172,0.989259,0.136335,0.223575,12.2599,26.5605
0.0559406,0.989435,0.129662,0.149092,11.1749,26.5608
0.0561552,0.945941,0.058637,1.65413,8.74644,26.5615
0.0568262,0.938823,0.0752811,0.146705,9.06332,26.562
0.0557019,0.971518,0.0728421,1.83858,9.91726,26.5645
0.0560217,0.984469,0.107337,0.757886,10.3851,26.5654
0.0558922,0.99641,0.143006,0.585247,12.5577,26.5656
0.0554888,0.98327,0.0843654,1.67426,10.6881,26.5659
0.0568948,0.935338,0.0680976,0.828679,8.48516,26.5659
0.0557519,0.964897,0.0714481,1.05749,9.21104,26.5676
0.0553137,0.995143,0.0799203,1.83772,9.70087,26.5682
0.0548928,0.978267,0.0665872,2.41751,9.72211,26.5684
0.0571502,0.925281,0.0636593,0.859505,8.88942,26.5684
0.0553839,0.990261,0.0877435,1.79995,10.1532,26.57
0.0570604,0.928259,0.0655586,0.324881,8.66395,26.5707
0.0561627,0.982648,0.0912617,0.366738,9.89812,26.5708
0.0545585,0.999228,0.0801769,2.12189,10.6256,26.5708
