beta,permeability,xi,init_days,delay,value
0.0477498,0.011596,0.158923,76.5693,17.6084,336.132
0.0477496,0.00609224,0.154343,76.2384,17.5318,339.101
0.0477472,0.0115455,0.153399,76.9582,17.1617,342.93
0.0473845,0.0622749,0.165568,77.9542,17.488,345.011
0.0468624,0.0634412,0.155426,79.8483,17.9953,345.245
0.0474649,0.00951225,0.165541,77.0802,18.0827,345.976
0.0461081,0.0512555,0.137585,82.2151,17.7206,347.576
0.0465861,0.0797933,0.152226,80.2541,17.6952,347.665
0.0479771,0.0360957,0.165106,75.2457,17.7439,348.292
0.0468735,0.0528842,0.15438,79.551,17.8772,348.35
0.0471548,0.0494087,0.16608,78.2108,17.3499,348.926
0.0471999,0.00268371,0.163051,78.8917,18.6995,349.567
0.0450004,0.168613,0.165608,86.8029,18.0726,350.011
0.0498591,0.0138628,0.166229,69.6426,16.9005,350.141
0.0477221,0.00439936,0.162317,76.8049,18.6153,350.299
0.0482826,0.00396552,0.164912,74.1143,17.015,350.708
0.0463796,0.0469135,0.14438,81.4977,17.9782,350.732
0.0471519,0.0268612,0.162784,78.4445,18.4426,350.909
0.0469417,0.0239751,0.132369,79.0704,16.2071,350.911
0.0457595,0.131157,0.157185,83.3981,17.813,351.037
0.0471988,0.0292727,0.15284,78.6786,17.6552,351.187
0.0450381,0.154575,0.147316,86.038,17.6367,351.339
0.0471178,0.0302344,0.163246,78.1528,19.8001,351.425
0.0466043,0.0678788,0.145194,80.8446,17.3663,351.462
0.0458215,0.0938536,0.156584,83.6746,18.4009,351.53
0.0455171,0.115265,0.160816,84.0692,18.4104,351.554
0.0452723,0.147262,0.145531,85.8472,17.0888,351.589
0.0477024,0.0193783,0.159385,76.9312,18.7701,351.604
0.0461479,0.0327223,0.145789,82.3952,18.3402,351.609
0.0466849,0.00662515,0.14615,80.0174,18.9939,351.609
0.0457868,0.113001,0.157627,83.0113,18.3759,351.677
0.0479492,0.0193411,0.158716,75.8697,18.9569,351.724
0.0463143,0.0798481,0.148241,81.3397,17.9526,351.757
0.0448279,0.140076,0.1366,87.8669,17.9254,351.967
0.0460562,0.095253,0.158547,82.2259,17.0152,352.009
0.0445723,0.164482,0.139226,88.3949,17.3356,352.122
0.045315,0.112811,0.15288,85.9961,18.3911,352.179
0.0474766,0.0175006,0.138589,77.4547,16.061,352.308
0.0461081,0.058744,0.138426,82.1109,17.7877,352.34
0.0474582,0.0252681,0.135536,77.5539,16.0831,352.349
0.0450002,0.164113,0.165744,86.2584,18.9182,352.41
0.0468657,0.0425974,0.13625,79.9777,17.6592,352.514
0.0473858,0.0558908,0.156033,77.677,17.4705,352.681
0.0457803,0.10139,0.150332,83.0834,18.914,352.887
0.0470963,0.0794924,0.159578,78.442,17.6818,352.897
0.0480124,0.00597003,0.146611,75.5745,16.7329,353.035
0.0466172,0.0438834,0.15639,80.9168,18.9113,353.2
0.0463326,0.0517147,0.150485,81.3675,18.0038,353.237
0.0465852,0.0610611,0.159842,80.0142,18.9391,353.335
0.0488929,0.0111291,0.161032,72.3745,17.6656,353.39
0.0457717,0.125988,0.162571,83.9309,17.9853,353.44
0.0482672,0.0322511,0.16581,74.5252,17.5321,353.545
0.0482801,0.0245354,0.160527,74.7381,16.8008,353.554
0.0466058,0.0493618,0.146825,80.5696,18.085,353.554
0.0470913,0.050402,0.151231,78.6071,18.3183,353.837
0.0489371,0.00409908,0.157289,72.4906,17.082,353.894
0.048275,0.0190318,0.16287,74.4488,16.8484,353.904
0.0462724,0.0836516,0.163404,81.2712,19.586,353.955
0.0477517,0.0103998,0.161951,76.2996,18.1313,354.018
0.0467887,0.0915874,0.166282,79.5179,17.5957,354.024
0.0461695,0.0120017,0.120615,82.9194,17.4136,354.063
0.046948,0.00861239,0.128321,79.5289,16.0948,354.095
0.0466004,0.0808561,0.141209,80.1371,16.6665,354.259
0.0499548,0.027905,0.160531,69.0369,17.321,354.266
0.0463682,0.0698899,0.140265,81.0547,17.8562,354.283
0.0474435,0.0410619,0.151956,77.0712,16.1095,354.408
0.0474373,0.00858831,0.150681,77.0314,17.8321,354.478
0.0469014,0.0103929,0.16541,79.5708,18.2574,354.537
0.0471512,0.0129547,0.158611,78.2488,19.6706,354.567
0.0461991,0.00134494,0.126309,82.9939,17.0741,354.614
0.0469069,0.0490388,0.143806,79.1634,17.9737,354.72
0.0468874,0.0428019,0.152091,79.7075,18.1384,354.772
0.0483057,0.00643981,0.148628,74.9636,17.4063,354.777
0.0466305,0.0436084,0.151372,80.1721,18.8491,354.825
0.0474404,0.0413805,0.166396,77.8339,18.0667,354.844
0.0469314,0.0260182,0.133831,79.3678,16.8451,355.147
0.0442942,0.218771,0.158408,89.9828,17.0201,355.163
0.0458486,0.084666,0.15334,83.6538,18.841,355.255
0.0445583,0.180937,0.145822,88.9014,17.1185,355.306
0.0468596,0.0528933,0.150258,79.9925,18.5612,355.332
0.0474691,0.013086,0.155408,77.1867,18.3261,355.417
0.0475111,0.00112088,0.154954,77.3558,18.1057,355.477
0.0471127,0.0427486,0.162399,78.0251,17.8152,355.532
0.0457218,0.135516,0.164626,83.0149,18.8399,355.557
0.0465639,0.0487535,0.16486,80.4964,19.5623,355.622
0.0452678,0.156406,0.151866,85.7224,17.5411,355.627
0.0460516,0.074406,0.150885,82.7086,18.0129,355.676
0.047715,0.00242583,0.132125,76.4977,17.2082,355.683
0.0460827,0.0603884,0.159956,82.0358,18.2,355.704
0.0452467,0.154076,0.153304,85.2342,17.6575,355.722
0.046865,0.0247321,0.16234,79.2649,19.8237,355.82
0.0471037,0.0371027,0.15983,78.7239,18.3257,355.839
0.0463048,0.0766237,0.155383,81.1077,17.5549,355.846
0.0447925,0.164638,0.145642,87.7742,17.6566,355.878
0.046144,0.0362912,0.126507,82.5796,17.3794,355.917
0.0457625,0.105016,0.157003,83.7273,19.6645,355.942
0.0457093,0.155562,0.166449,83.7278,17.5962,356.016
0.0477126,0.0572164,0.159958,76.8233,17.7137,356.043
0.0466222,0.0624522,0.143868,80.4579,16.8448,356.116
0.0482004,0.0176988,0.159929,74.8189,19.542,356.136
0.0463623,0.0430212,0.12902,81.8088,17.8693,356.144
0.045325,0.111394,0.132726,85.7565,17.4152,356.2
0.0460166,0.0961369,0.156748,82.7321,18.1966,356.229
0.0457606,0.106404,0.159742,83.1087,18.2114,356.274
0.0476645,0.00083103,0.145611,76.8863,19.7125,356.339
0.0486409,0.000331787,0.146842,73.3556,16.8646,356.372
0.0464108,0.0329836,0.141284,81.4395,17.4567,356.438
0.0468336,0.0411763,0.162792,79.4499,19.7603,356.448
0.0462322,0.118073,0.160849,81.1883,18.8462,356.5
0.0474711,0.00701715,0.128906,77.4717,16.2679,356.507
0.0480081,0.0200776,0.162171,75.6801,16.4468,356.52
