beta,permeability,xi,init_days,delay,value
0.0529653,0.994387,0.0505374,0.715171,17.1221,35.2916
0.0527873,0.997982,0.0510302,0.814525,16.8701,35.4067
0.0527688,0.996586,0.0523673,0.940205,17.2383,35.4148
0.0528477,0.988928,0.0523158,0.291177,17.3113,35.433
0.0529531,0.980307,0.0509007,0.731391,17.4429,35.4834
0.0526876,0.998763,0.0524143,0.0222796,16.5106,35.5135
0.05281,0.990645,0.052484,0.954503,17.3385,35.5244
0.0527786,0.99373,0.0519531,0.623478,17.1789,35.5389
0.052769,0.996348,0.0514443,0.780409,17.1293,35.553
0.0527643,0.993688,0.0526894,0.865567,17.6985,35.5684
0.0528105,0.989954,0.0511655,0.501384,16.5822,35.6
0.052113,0.994416,0.0501589,1.83446,17.0861,35.6028
0.0528235,0.992708,0.0536722,0.566842,17.8165,35.6121
0.0528106,0.988153,0.0535303,0.550102,17.2486,35.6147
0.0529917,0.995044,0.0514131,0.59086,18.8489,35.6209
0.0530611,0.991342,0.050541,0.385643,18.9682,35.6234
0.0521905,0.994929,0.0504222,1.23292,18.2875,35.6285
0.0528439,0.988673,0.0508489,0.848732,16.1489,35.6348
0.0528508,0.985847,0.053215,0.307602,17.5672,35.6387
0.0530998,0.984999,0.0502431,0.14187,18.2021,35.6751
0.0528143,0.990336,0.0539236,0.190507,17.4834,35.6764
0.0530451,0.985071,0.051438,0.739251,18.4009,35.686
0.0530705,0.972341,0.050485,0.635619,17.6612,35.6953
0.0529876,0.973349,0.0512437,0.547718,17.9794,35.6987
0.0529131,0.996553,0.0535848,0.277011,18.7798,35.7138
0.0529907,0.987296,0.0526204,0.338753,18.3655,35.7254
0.0520709,0.998201,0.0524895,1.60811,18.24,35.7319
0.0527171,0.991864,0.0523634,0.515015,16.57,35.7416
0.0520606,0.994983,0.0512746,1.85911,17.8341,35.7435
0.0520167,0.994879,0.0509694,1.0039,17.9352,35.7497
0.0530512,0.983064,0.0513525,0.754735,18.5016,35.75
0.0528632,0.995222,0.0538817,0.889799,18.2846,35.753
0.0528473,0.995271,0.0510166,0.266955,16.0161,35.756
0.0530822,0.981292,0.0501841,0.183853,17.9349,35.7605
0.0527865,0.986232,0.0514263,0.36106,16.874,35.766
0.0526328,0.998329,0.055644,0.689888,17.0603,35.7782
0.0528269,0.996932,0.0543983,0.716664,18.1199,35.7799
0.0521825,0.989612,0.0511397,1.9629,18.0692,35.7812
0.0531405,0.974731,0.0505961,0.882781,18.1448,35.7826
0.052722,0.993908,0.055633,0.977069,17.2939,35.7907
0.0529724,0.995453,0.0506209,0.793081,18.3199,35.7932
0.053106,0.996795,0.0503169,0.0932434,18.2241,35.8075
0.0520952,0.988965,0.0507862,1.0878,17.0627,35.8104
0.0528803,0.981723,0.0508299,0.230793,16.0952,35.8137
0.0529487,0.97515,0.0522749,0.67388,17.4083,35.8151
0.0529451,0.983401,0.0525433,0.965455,17.0008,35.8228
0.0528866,0.989013,0.054172,0.679304,18.0319,35.8235
0.0527009,0.996907,0.056216,0.159967,17.6304,35.8379
0.0528819,0.991188,0.0549825,0.912575,18.4322,35.8415
0.0529896,0.998625,0.0525283,0.427343,18.2469,35.8436
0.0530349,0.988007,0.0507958,0.400045,17.0606,35.8484
0.0529763,0.9955,0.0502847,0.298255,18.7707,35.8507
0.0521805,0.989365,0.051487,1.78955,18.55,35.8534
0.0528911,0.982535,0.0501891,0.979099,17.1186,35.8743
0.0529195,0.998318,0.0511426,0.0828044,18.8485,35.875
0.0529749,0.986644,0.0519625,0.879851,17.9939,35.875
0.0530472,0.974366,0.0513533,0.743735,17.9218,35.8779
0.0521129,0.991399,0.0521774,1.01619,18.15,35.8803
0.053182,0.968135,0.0502789,0.198311,18.838,35.8827
0.0521037,0.986965,0.0510111,1.68251,17.9484,35.9028
0.0527108,0.997928,0.0579196,0.0351841,18.191,35.9031
0.0526473,0.998911,0.0572809,0.288016,17.8718,35.9072
0.0520057,0.997238,0.0526583,1.12754,17.8617,35.9161
